"Teryt";"Province";"Commune code";"Commune";"Commune type";"Precinct No.";"Address";"Precinct type";"Location accessible for the handicapped";"Boundaries"
"180000";"podkarpackie";"186101";"Krosno";"urban commune";"1";"Zespół Szkół Ponadgimnazjalnych Nr 5, ul. Rzeszowska 10, Krosno";"General";"No";"Krosno - ulice: ALEJA JANA PAWŁA II, Gen. J. BEMA, DŁUGA, JASNA, KLONOWA, , J. KOCHANOWSKIEGO, S. KONARSKIEGO, LEŚNA, MALINOWA GÓRA, ODRZYKOŃSKA, W. POLA, M. REJA, RZESZOWSKA, SPORTOWA, , S. WYSPIAŃSKIEGO."
"180000";"podkarpackie";"186101";"Krosno";"urban commune";"2";"Miejski Zespół Szkół Nr 3 (Szkoła Podstawowa) ul. Ks. S. Decowskiego 9, Krosno";"General";"Yes";"Krosno - ulice: B. CHROBREGO, KRYSZTAŁOWA, PLATYNOWA, PODKARPACKA (nr parzyste od 30 do 38, nr nieparzyste od 9 do 31), Ks. J. POPIEŁUSZKI, SZKLARSKA."
"180000";"podkarpackie";"186101";"Krosno";"urban commune";"3";"Miejski Zespół Szkół Nr 3 (Szkoła Podstawowa), ul. Ks. S. Decowskiego 9, Krosno";"General";"Yes";"Krosno - ulice: K. BACZYŃSKIEGO, BATALIONÓW CHŁOPSKICH, Ks. S. DECOWSKIEGO, JESIONOWA, KRÓTKA, L. KRUCZKOWSKIEGO, Gen. S. MACZKA, , Gen. L. OKULICKIEGO (nr parzyste od 6 do 20), L. RAYSKIEGO, M. SKŁODOWSKIEJ-CURIE, TYSIĄCLECIA (nr parzyste od 24 do 28), ZRĘCIŃSKA (nr parzyste)."
"180000";"podkarpackie";"186101";"Krosno";"urban commune";"4";"Szkoła Podstawowa Nr 3, ul. M. Konopnickiej 5, Krosno";"General";"No";"Krosno - ulice: HUTNICZA, JELENIÓWKA, M. KONOPNICKIEJ, KRAKOWSKA (nr parzyste od 2 do 362, nr nieparzyste od 47 do 199), MOSTOWA, E. ORZESZKOWEJ, , Ks. P. ŚCIEGIENNEGO, TYSIĄCLECIA (nr 11, nr parzyste od 16 do 22)."
"180000";"podkarpackie";"186101";"Krosno";"urban commune";"5";"Szkoła Podstawowa Nr 3, ul. M. Konopnickiej 5, Krosno";"General";"No";"Krosno - ulice: BIAŁOBRZESKA (nr parzyste od 4 do 98, nr nieparzyste od 11 do 105), , K. CZŁOWIEKOWSKIEGO, M. DRZYMAŁY, S. GOSZCZYŃSKIEGO (nr parzyste od 14 do 22, nr nieparzyste od 17 do 31), M. KOPERNIKA, S. MONIUSZKI, OPŁOTKI, , Ks. W. SARNY, SĄSIEDZKA, SKRAJNA, M. SZUBY, WIERZBOWA, ZAŚCIANEK, ŻWIROWA."
"180000";"podkarpackie";"186101";"Krosno";"urban commune";"6";"Miejski Zespół Szkół Nr 1, ul. J. i S. Magurów 1, Krosno";"General";"No";"Krosno - ulice: KRAKOWSKA (nr nieparzyste od 13 do 45), J. i S. MAGURÓW, MIRANDOLI PIKA, W. WRÓBLEWSKIEGO."
"180000";"podkarpackie";"186101";"Krosno";"urban commune";"7";"Regionalne Centrum Kultur Pogranicza, ul.Kolejowa 1, Krosno";"General";"Yes";"Krosno - ulice: J. CZUCHRY, KOLEJOWA, KRAKOWSKA (nr nieparzyste od 1 do 11), , A. LEWAKOWSKIEGO (nr parzyste), R. MIELCZARSKIEGO, NAFTOWA, TYSIĄCLECIA (nr parzyste od 2 do 14, nr nieparzyste od 1 do 7), WOLNOŚCI, WYZWOLENIA"
"180000";"podkarpackie";"186101";"Krosno";"urban commune";"8";"Miejski Zespół Szkół Nr 6, ul. Kletówki 1, Krosno";"General";"No";"Krosno - ulice: CMENTARNA, KLETÓWKI, T. KOŚCIUSZKI, A. LEWAKOWSKIEGO (nr nieparzyste), LNIARSKA, I. ŁUKASIEWICZA, M. MIĘSOWICZA, OGRODOWA, , Gen. L. OKULICKIEGO (nr nieparzyste od 1 do 13a), I. PADEREWSKIEGO (nr nieparzyste od 5 do 9), J. PIŁSUDSKIEGO (nr parzyste od 44 do 76, nr nieparzyste od 27 do 55), PODKARPACKA (nr parzyste od 2 do 22), K. PUŻAKA."
"180000";"podkarpackie";"186101";"Krosno";"urban commune";"9";"Zespół Szkół Kształcenia Ustawicznego, ul. F. Czajkowskiego 49, Krosno";"General";"No";"Krosno - ulice: BALKONOWA, F. CZAJKOWSKIEGO (nr parzyste od 8 do 96, nr nieparzyste od 17 do 53), JAGIELLOŃSKA, J. KRUKIERKA, NAD LUBATÓWKĄ, OLEJARSKA, , E. PLATER, POCHYŁA, Ks. S. SZPETNARA."
"180000";"podkarpackie";"186101";"Krosno";"urban commune";"10";"Miejski Zespół Szkół Nr 8, ul. Prochownia 7, Krosno";"General";"No";"Krosno - ulice: BIAŁOBRZESKA (nr nieparzyste od 1 do 9), S. BIESZCZADA, CICHA, , A. FREDRY, S. GOSZCZYŃSKIEGO (nr parzyste od 2  do 12, nr nieparzyste od 1 do 15), M. KARŁOWICZA, J. KILIŃSKIEGO, A. i D. MAZURKIEWICZÓW, S. OKRZEI, PROCHOWNIA, PRZĄDKI, ZAGÓRZE, ZIELONA, Hetm. S. ŻÓŁKIEWSKIEGO"
"180000";"podkarpackie";"186101";"Krosno";"urban commune";"11";"Miejski Zespół Szkół Nr 8, ul. Prochownia 7, Krosno";"General";"No";"Krosno - ulice: S. BERGMANA, GRANICZNA, KOPALNIANA (nr nieparzyste), KORCZYŃSKA, KRĘTA, KWIATOWA, A. LENIKA, NADBRZEŻNA, NIEPODLEGŁOŚCI (nr parzyste od 52 do 64, nr nieparzyste od 29 do 49), PIESZA, SPACEROWA, SPOKOJNA, , J. STAPIŃSKIEGO, Św. WOJCIECHA, P. TEBICHA, WILLOWA, WISZE."
"180000";"podkarpackie";"186101";"Krosno";"urban commune";"12";"Państwowa Wyższa Szkoła Zawodowa, ul. K. Wielkiego 4, Krosno";"General";"No";"Krosno - ulice: BLICH, F. CZAJKOWSKIEGO (nr parzyste 2 i 4, nr nieparzyste od 1 do 15), FORTECZNA, FRANCISZKAŃSKA, GRODZKA (nr parzyste od 2 do 22, nr nieparzyste od 3 do 23), KAZIMIERZA WIELKIEGO, LEGIONÓW, ORDYNACKA, , I. PADEREWSKIEGO (nr 1, nr parzyste 2 i 4), PAWŁA z KROSNA, J. PIŁSUDSKIEGO (nr parzyste od 2 do 42, nr nieparzyste od 1 do 25), PLAC KONSTYTUCJI 3 MAJA, PODWALE, W. PORTIUSA, RYNEK, H. SIENKIEWICZA, J. SŁOWACKIEGO, SPÓŁDZIELCZA, J. SZCZEPANIKA, WISŁOCZA, ZJAZDOWA."
"180000";"podkarpackie";"186101";"Krosno";"urban commune";"13";"Miejski Zespół Szkół Nr 5, ul. Ks. P. Skargi 3, Krosno";"General";"No";"Krosno - ulice: BURSAKI, KAPUCYŃSKA, KRZYWA, J. LENARTA, NIEPODLEGŁOŚCI (nr parzyste od 28 do 50, nr nieparzyste od 1 do 23), LWOWSKA (nr parzyste od 2 do 8, nieparzyste od 1 do 9), PARKOWA (nr 2), POWSTAŃCÓW WARSZAWSKICH (nr parzyste od 2 do 16, nr nieparzyste od 5 do 101), Ks. P. SKARGI, Ks. S. STASZICA, SZARYCH SZEREGÓW, TKACKA, T. WALSLEBENA."
"180000";"podkarpackie";"186101";"Krosno";"urban commune";"14";"Zarząd Osiedla ""Stefana Grota-Roweckiego"", ul. Piastowska 58, Krosno";"General";"No";"Krosno - ulice: BIESZCZADZKA (nr 2 i nr 7), GRODZKA (nr parzyste od 24 do 80, nr nieparzyste od 25 do 67), LWOWSKA (nr parzyste od 10 do 58, nr nieparzyste od 29 do 49), NIEPODLEGŁOŚCI (nr parzyste od 2 do 14), PARKOWA (nr nieparzyste), PIASTOWSKA, PODKARPACKA (nr nieparzyste 1a, 1b), Kard. S. WYSZYŃSKIEGO (nr parzyste od 2 do 30, nr nieparzyste od 1 do 19)."
"180000";"podkarpackie";"186101";"Krosno";"urban commune";"15";"Dzielnicowy Dom Ludowy PUCHATEK, ul. F. Chopina 8, Krosno";"General";"No";"Krosno - ulice: A. ASNYKA, F. CHOPINA, K. I. GAŁCZYŃSKIEGO, KOPALNIANA (nr parzyste od 20 do końca), LUNARIA, ŁĄKOWA, POWSTAŃCÓW ŚLĄSKICH (nr nieparzyste od 1 do 75), RÓŻANA, Gen. W. SIKORSKIEGO (nr parzyste od 36 do 48, nr nieparzyste od 11 do 15), ŚLĄCZKA (nr parzyste od 4 do 12, nr nieparzyste od 1 do 33), , H. WIENIAWSKIEGO (nr parzyste od 4 do 52, nr nieparzyste od 51 do 73), WIKLINOWA, S. ŻEROMSKIEGO."
"180000";"podkarpackie";"186101";"Krosno";"urban commune";"16";"Miejski Zespół Szkół Nr 4, ul. S. Kisielewskiego 18, Krosno";"General";"Yes";"Krosno - ul. S.Batorego"
"180000";"podkarpackie";"186101";"Krosno";"urban commune";"17";"Miejski Zespół Szkół Nr 4, ul. S. Kisielewskiego 18, Krosno";"General";"Yes";"Krosno - ulice: GUZIKÓWKA, S. KISIELEWSKIEGO, M. LANGIEWICZA, LOTNIKÓW, MAŁA, SKŁADOWA, R. TRAUGUTTA, W. WITOSA, F. ŻWIRKI i S. WIGURY."
"180000";"podkarpackie";"186101";"Krosno";"urban commune";"18";"II Liceum Ogólnokształcące, ul. S. Kisielewskiego 18, Krosno";"General";"No";"Krosno - ulice: J. LELEWELA, PODKARPACKA (nr nieparzyste od 1 do 7)."
"180000";"podkarpackie";"186101";"Krosno";"urban commune";"19";"Szkoła Podstawowa nr 5, ul. Grunwaldzka 15, Krosno";"General";"No";"Krosno - ulice: BIESZCZADZKA (nr parzyste od 4 do 116, nr nieparzyste od 9 do 117), DEBRZA, DĘBOWA, F. DMOCHOWSKIEGO, GRUNWALDZKA, IKARA, LWOWSKA (nr 25 i 27), NAD BADONIEM, S. PIGONIA, POLNA, B. PRUSA, W. REYMONTA,  Gen. W. SIKORSKIEGO (nr parzyste od 54 do 88, nr nieparzyste od 23 do 35), SŁONECZNA, SUCHODOLSKA, WIEJSKA, Kard. S. WYSZYŃSKIEGO (nr parzyste od 34 do 88, nr nieparzyste od 25 do 135), Ks. J. ZAWRZYCKIEGO, ŻNIWNA."
