"Teryt";"Province";"Commune code";"Commune";"Commune type";"Precinct No.";"Address";"Precinct type";"Location accessible for the handicapped";"Boundaries"
"060000";"lubelskie";"066101";"Biała Podlaska";"urban commune";"1";"Przedszkole Samorządowe nr 11, ul. Sidorska 20, Biała Podlaska";"General";"No";"Aleja Tysiąclecia 21, 23, 25, 26, 27, 29, Łomaska 3, 5, 6, 7A, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 28A, 30, Sidorska 1, 3, 8, 10, 12, 14, 16, 23, 25, 27, Zdanowskiego"
"060000";"lubelskie";"066101";"Biała Podlaska";"urban commune";"2";"Szkoła Podstawowa nr 5, ul. Sidorska 30, Biała Podlaska";"General";"Yes";"Aleja Tysiąclecia 28A, 30, 31, 32, 33, 35, Asnyka, Kościuszki, Lotnicza, Reja, Rondo Romana Dmowskiego, Składowa, Torowa"
"060000";"lubelskie";"066101";"Biała Podlaska";"urban commune";"3";"Lubelskie Samorządowe Centrum Doskonalenia Nauczycieli, ul. Kolejowa 8, Biała Podlaska";"General";"Yes";"Kolejowa, Łomaska 34, 38, 40, 42, 46, 48, 48A, 48B, 52A, 54, 56, 58, Sienkiewicza, Sikorskiego"
"060000";"lubelskie";"066101";"Biała Podlaska";"urban commune";"4";"Przedszkole Samorządowe nr 7, ul. Waryńskiego 1, Biała Podlaska";"General";"No";"Aleja Jana Pawła II 157, 158, 160, 165, 166, 172, 174, 176, 178, 180, 180A, 180B, 182, 182A,  184, 184A, 186, 188, Grabowa, Mickiewicza, Parkowa, Sidorska 31, 32, 33, 34, 34A, 35, 37, 39-43, 43A, 45, 47, 49, Waryńskiego"
"060000";"lubelskie";"066101";"Biała Podlaska";"urban commune";"5";"Przedszkole Samorządowe nr 14, ul. Łukaszyńska 34, Biała Podlaska";"General";"No";"Leszczynowa 17, 17A, 19, 21, 23, 25, 25A, 26, 26A, 27, 28, 29, 31, Łukaszyńska 15, 17, 19, 20, 20A, 21, 22, 23, 24, 25, 26, 27, 28, 28A, 29, 30, 31, 32, 34, 36, 37, 38, 39, 40, 41, 42, 43, 46, 46A, 46B, 46C, Na Skarpie, Plażowa, Słowicza"
"060000";"lubelskie";"066101";"Biała Podlaska";"urban commune";"6";"Zespół Szkół Ogólnokształcących nr 2, ul. Leszczynowa 16, Biała Podlaska";"General";"No";"Brzozowa, Kąpielowa 7, 9-13 , 15, 17, 19, 21, 23, Leszczynowa 2, 2B, 4, 5, 6, 7-13, 8, 10, 10A , Piaskowa,  Pływacka"
"060000";"lubelskie";"066101";"Biała Podlaska";"urban commune";"7";"Klub Kultury ""Eureka"", ul. Orzechowa 34, Biała Podlaska";"General";"No";"Łukaszyńska 2, 2A, 4, 5, 5A, 5B, 6, 6A, 7, 8, 9, 10A, 11, 12, 13, 14, 16, 18, Orzechowa 2F, 4, 6, 6A, 8, 12, 14, 16, 18, 20, 22, 22B, 24, 24A, 26, 30, 32, 36, 40, 42, 44, 46, 48,  50, 52, 54, 56, Rybna"
"060000";"lubelskie";"066101";"Biała Podlaska";"urban commune";"8";"Państwowa Szkoła Wyższa, ul. Sidorska 95/97, Biała Podlaska";"General";"No";"Brzegowa, Fabryczna, Handlowa, Kardynała Wyszyńskiego 51, 53, 53/55, 57, 58, 59, 60, 61, Młyńska, Sidorska 36, 38, 40, 40A, 40B, 40C, 46A, 48, 48A, 50, 52, 56A, 56B, 58, 58A, 60, 60A, 62, 62A, 62B, 63, 65, 71, 75, 75A, 77, 79, 81, 85, 87, 89, 91, 92, 93, 99, 99A, 99B, 99C, 99D, 101, 101A, 101B, 103, 103A, 103B, 103C, 106, 108, 112, 113, 118, 119, 119A, 120, Włoska"
"060000";"lubelskie";"066101";"Biała Podlaska";"urban commune";"9";"Szkoła Podstawowa nr 7, ul. Langiewicza 44, Biała Podlaska";"General";"No";"Aleja Solidarności, Gruntowa, Langiewicza, Sidorska 121, 121A, 121B, 124, 125, 126, 126A, 127, 128, 129, 130, 131A,  132, 133, 134, 135, 137, 138, 140, 141, 144, 145, 149, 150, 151, 152, 153, 154, 155, 156, 156A, 158, 159, 160, 161, 163, 164, 168, 169A, 171, 173, 173A, 175, 175A, 176, 177, 179, 180, 181, 182, 184, 185, 186, 187, 188, 190, 191, 191A, 192, 193, 194, 196, 198, 199, 200, 201, 202, 203, 203A, 204, 205, 205A, 206, 207, 208, 209, 210, 211, 212, 214, 216, 218, 220, 220A, 220B, 222, 222A,  224, 224A, 228, 230, 232, 234A, 236, 238, 240, 242, 244, 246, 248, 250, 250A, 254, 256, 258, 260, Sielczyk, Zagrodowa"
"060000";"lubelskie";"066101";"Biała Podlaska";"urban commune";"10";"Zespół Szkół Zawodowych nr 1, ul. Piłsudskiego 36, Biała Podlaska";"General";"No";"Artyleryjska  2, 4, 7, 8, Budkiewicza, Garncarska, Janowska 7, 10, 10A, 12, 13, 15, 16, 19, 19A, 19B, 21, 21A, 23, 24, 25, 26, 31, 32, 33, Krótka, Piłsudskiego, Plac Wolności, Pocztowa, Reymonta, Sitnicka 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 22A, 23, 24, 25, 27A, 29, 29A, 31, 33, 35, 37, 39, 41, 41A, 43, 45, 47, 49, 49A, 51, Warszawska 1, 3, 3C, 4, 5, 7, 13, Zamkowa"
