"Teryt";"Province";"Commune code";"Commune";"Commune type";"Precinct No.";"Address";"Precinct type";"Location accessible for the handicapped";"Boundaries"
"200000";"podlaskie";"206101";"Białystok";"urban commune";"1";"Zespół Szkół Technicznych ul. Stołeczna 21";"General";"No";"Kardynała Stefana Wyszyńskiego"
"200000";"podlaskie";"206101";"Białystok";"urban commune";"2";"Białostocka Spółdzielnia Mieszkaniowa ul. Św. Rocha 11/1";"General";"No";"Bohaterów Monte Cassino, Św. Rocha numery nieparzyste, "
"200000";"podlaskie";"206101";"Białystok";"urban commune";"3";"Publiczne Gimnazjum Nr 7 ul. Stołeczna 6";"General";"No";"Krakowska numery parzyste, Marmurowa, Stołeczna, Sukienna."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"4";"Szkoła Podstawowa Nr 2 ul. Bohaterów Monte Cassino 25";"General";"No";"Bażantarska, Bliska, Brukowa, Ciechanowska, Grunwaldzka, Kaliska, Kopernika od nr 24/1 do końca numery parzyste, Łomżyńska, Młynowa od nr 19 do końca numery nieparzyste i od nr 40 do końca końca numery parzyste, Opatowska, Pokorna, Równoległa, Sosnowa, Szczuczyńska, Warecka."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"5";"""Wodociągi Białostockie"" Spółka z o. o. ul. Młynowa 52/1";"General";"No";"Angielska, Bema od nr 1 - 61/1 numery nieparzyste i od nr 2 - 58 numery parzyste, Chełmska, Cieszyńska, Czarna, Jasna, Kielecka, Kijowska numery nieparzyste, Kochanowskiego, Kopernika od nr 2-24A numery parzyste, Krótka, Kurpiowska, Lubelska, Łukowska, Mazowiecka numery parzyste, Mławska, Mohylowska, Ostrowiecka, Przechodnia, Toruńska, Witebska, Żółta."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"6";"Szkoła Podstawowa Nr 6 ul. Wesoła 11a";"General";"No";"Waszyngtona numery: 23, 23a, 23b, 25, 25a, 25b, 25c, 25d, 27, 28, 29, 30, 32, 34, 36,  Wołodyjowskiego numery parzyste, Żelazna numery parzyste."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"7";"IV Liceum Ogólnokształcące ul. Zwierzyniecka 9a";"General";"No";"Mazowiecka od nr 13 do końca numery nieparzyste, Wesoła."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"8";"IV Liceum Ogólnokształcące ul. Zwierzyniecka 9a";"General";"No";"Zwierzyniecka od nr 1-21/1 numery nieparzyste"
"200000";"podlaskie";"206101";"Białystok";"urban commune";"9";"Przedszkole Samorządowe Nr 25 ul. Waszyngtona 4";"General";"No";"Akademicka numery parzyste, Czackiego, Krasińskiego. M.C. Skłodowskiej, Waszyngtona od nr 1 - 11 numery nieparzyste i od nr 4 - 10 numery parzyste."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"10";"Przedszkole Samorządowe Nr 52 ul. Waszyngtona 16";"General";"No";"Waszyngtona numery: 13, 14, 14b, 16, 17, 18, 22, 22a, 24."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"11";"Publiczne Gimnazjum Nr 2 ul. Legionowa 7";"General";"No";"Bułgarska, Legionowa numery nieparzyste, Mazowiecka od nr 1 - 11 numery nieparzyste, Olszowa, Rybny Rynek, Sucha, Szpitalna, Waszyngtona numery: 12, 14a, Wojskowa, Żelazna numery nieparzyste."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"12";"Politechnika Białostocka ul. Wiejska 45a";"General";"No";"Prosta, Przekątna, Świerkowa numery parzyste, Wiejska bez numerów: 62, 70, 74a, 78, Zwierzyniecka od nr 2-44/1 numery parzyste, "
"200000";"podlaskie";"206101";"Białystok";"urban commune";"13";"Szkoła Podstawowa Nr 34 ul. Pogodna 12";"General";"No";"Bydgoska, Celownicza, Dzielna, Kanonierska, Kopernika numery nieparzyste, Lisia, Pińska, Pogodna bez numerów: 7, 9, 11, 11A, 11B, 11C, 11D, 11E, 11F, 11G, 11H, 21, 23, 25, 27, 27A, 27B, 27C, 27D, 29, 29A, 29B, 29C, 29D, Tęczowa, Wojsk Ochrony Pogranicza, Zdrojowa."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"14";"Zarząd Mienia Komunalnego ul. Bema 89/1";"General";"No";"Bema od nr 60 do końca numery parzyste i od nr 75-89, 89a, 89b, 89c, 89/3 numery nieparzyste."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"15";"Zespół Szkół Handlowo-Ekomicznych ul. Bema 105";"General";"No";"Bema od nr 91 do końca numery nieparzyste."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"16";"Uniwersytet Muzyczny Fryderyka Chopina ul. Kawaleryjska 5";"General";"No";"Braterska, Grażyny, Horodniańska, Kawaleryjska, Kominek, Mrówcza, Nowa, Paderewskiego, Pajęcza, Pancerna, Plater, Południowa, Pszczela, Sławińskiego, Słoneczna, Gen. J. Sowińskiego, Wiadukt, Wiosenna, Zapiecek."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"17";"Szkoła Podstawowa Nr 14 ul. Pułaskiego 25";"General";"Yes";"Gołębia, Harcerska, Kredytowa, Pracownicza, Pułaskiego od nr 1 - 45/1 numery nieparzyste i od nr 2 - 34 numery parzyste, Równa, Strzelecka, Ułańska, Wspólna, Zachodnia od nr 1-15A bez nr 9/1 numery nieparzyste i od nr 2-2D numery parzyste, Zielna."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"18";"Szkoła Podstawowa Nr 14 ul. Pułaskiego 25";"General";"Yes";"Ks. Abp E. Kisiela, Kręta, Krucza, Wiejska numery: 62, 70, 74a, 78, Żeromskiego."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"19";"Szkoła Podstawowa Nr 14 ul. Pułaskiego 25";"General";"Yes";"Pogodna numery: 7, 9, 11, 11A, 11B, 11C, 11D, 11E, 11F, 11G, 11H, 21, 23, 25, 27, 27A, 27B, 27C, 27D, 29, 29A, 29B, 29C, 29D."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"20";"Przedszkole Samorządowe Nr 64 ul. Dubois 12";"General";"No";"Dubois"
"200000";"podlaskie";"206101";"Białystok";"urban commune";"21";"Szkoła Podstawowa Nr 50 ul. Pułaskiego 96";"General";"Yes";"Rzymowskiego"
"200000";"podlaskie";"206101";"Białystok";"urban commune";"22";"Przedszkole Samorządowe nr 32 ul. Pułaskiego 55";"General";"No";"Pułaskiego od nr 47/1-93 numery nieparzyste i od nr 36-94 numery parzyste, "
"200000";"podlaskie";"206101";"Białystok";"urban commune";"23";"Szkoła Podstawowa Nr 50 ul. Pułaskiego 96";"General";"Yes";"Pułaskiego od nr 95 do końca numery nieparzyste i od nr 96 do końca numery parzyste."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"24";"Szkoła Podstawowa Nr 50 ul. Pułaskiego 96";"General";"Yes";"Zachodnia od nr 2/5 do końca numery parzyste i nr 9/1, "
"200000";"podlaskie";"206101";"Białystok";"urban commune";"25";"Szkoła Podstawowa Nr 50 ul. Pułaskiego 96";"General";"Yes";"Cementowa, Ekologiczna, Handlowa, Hurtowa, P. Łodzińskiego, Magazynowa, Oboźna, Octowa, Przyrodnicza, Sejneńska, Składowa, Starosielce, Ścianka, Św. Kingi, Transportowa, Wapienna, Zakątek."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"26";"Przedszkole Samorządowe Nr 10 Al. J. Piłsudskiego 34";"General";"No";"Biała, Malmeda, Spółdzielcza, Zamenhofa, "
"200000";"podlaskie";"206101";"Białystok";"urban commune";"27";"Szkoła Podstawowa Nr 4 ul. Częstochowska 6a";"General";"No";"Lipowa od nr 20 do końca numery parzyste, Al. J. Piłsudskiego od nr 2-12 numery parzyste, Przejazd, Waryńskiego od nr 1-17 numery nieparzyste i od nr 2-22 numery parzyste."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"28";"Szkoła Podstawowa Nr 4 ul. Częstochowska 6a";"General";"No";"Częstochowska od nr 1-15 numery nieparzyste i od nr 2-10 numery parzyste, Nowy Świat, Al. J. Piłsudskiego od nr 14-24 numery parzyste."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"29";"Zespół Szkół Nr 16 ul. Lipowa 41d";"General";"No";"Dr I. Białówny, Lipowa od nr 2-18a numery parzyste, Al. J. Piłudskiego od nr 26-30a numery parzyste, Piotrkowska."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"30";"VI Liceum Ogólnokształcące im. Zygmunta Augusta ul. Warszawska 8";"General";"No";"Al. J. Piłsudskiego od nr 32 do końca numery parzyste, Elektryczna nr 12 i od nr 13-17 numery nieparzyste, Kilińskiego, Kościelna, Mickiewicza od nr 2-4 numery parzyste, Plac Jana Pawła II, Rynek Kościuszki numery parzyste, Sienkiewicza od nr 3-35 numery nieparzyste i od nr 4-26a numery parzyste."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"31";"Regionalna Dyrekcja Lasów Państwowych ul. Lipowa 51";"General";"No";"Ks. A. Abramowicza, Dąbrowskiego numery nieparzyste, Kalinowskiego, Krakowska numery nieparzyste, Lipowa numery nieparzyste, Plac Niepodległości im. Romana Dmowskiego, Św. Rocha numery parzyste."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"32";"Publiczne Gimnazjum Nr 2 ul. Legionowa 7";"General";"No";"Akademicka numery nieparzyste, Cygańska, Grochowa, Kijowska numery parzyste, Legionowa numery parzyste, Liniarskiego, Marjańskiego, Młynowa od nr 7-17 numery nieparzyste i od nr 2-36 numery parzyste, Odeska, Ołowiana, Piękna, Rynek Kościuszki numery nieparzyste, Sienkiewicza od nr 1-1/1 numery nieparzyste i nr 2, Sienny Rynek, Suraska, Św. Mikołaja, Świętojańska od nr 12 do końca numery parzyste."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"33";"Szkoła Podstawowa Nr 12 ul. Waryńskiego 30";"General";"No";"Czysta, Grajewska, Proletariacka, Waryńskiego od nr 19 do końca numery nieparzyste i od 24 do końca numery parzyste, Żabia od nr 7 do końca numery nieparzyste i od nr 16 do końca numery parzyste."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"34";"Miejski Ośrodek Sportu i Rekreacji ul. Włókiennicza 4";"General";"No";"Częstochowska od nr 17 do końca numery nieparzyste i od nr 12 do końca numery parzyste, Poleska od nr 49-57 numery nieparzyste i od nr 46 do końca numery parzyste, Włókiennicza, Żytnia."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"35";"Administracja Osiedla BSM ""Centrum"" ul. Al. J. Piłsudskiego 19/1";"General";"No";"Bohaterów Getta, Al. J. Pilsudskiego numery nieparzyste."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"36";"Szkoła Podstawowa Nr 12 ul. Waryńskiego 30";"General";"No";"Artyleryjska, Botaniczna, Dąbrowskiego numery parzyste, Poleska od nr 59 do końca numery nieparzyste, Północna, Żabia od nr 1-5 numery nieparzyste i od 2-14 numery parzyste."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"37";"Publiczne Gimnazjum Nr 4 ul. Ciepla 32";"General";"No";"Ciepła, Chmielna, Kaszubska, Poleska od 1-47 numery nieparzyste i od nr 2-44 numery parzyste, Topolowa."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"38";"Szkoła Podstawowa Nr 11 ul. Poleska 27";"General";"No";"Jurowiecka, Nowogródzka numery nieparzyste bez nr 5/1"
"200000";"podlaskie";"206101";"Białystok";"urban commune";"39";"Publiczne Gimnazjum Nr 4 ul. Ciepła 32";"General";"No";"Fabryczna od nr 1-81 numery nieparzyste i od nr 2-50 numery parzyste."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"40";"Zespół Szkół Technicznych i Ogólnokształcących ul. Sienkiewicza 57";"General";"No";"Jagienki, Ogrodowa od nr 1-7/1 numery nieparzyste i od nr 2-8 numery parzyste, Plac Wyzwolenia, Sienkiewicza od nr 37 do końca numery nieparzyste, Wąska od nr 1-29 numery nieparzyste i od 2-24 numery parzyste."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"41";"Administracja Os. ""Sienkiewicza"" BSM ul. Nowogródzka 6/1";"General";"No";"Nowogródzka numery parzyste i Nowogródzka nr 5/1."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"42";"Klub Osiedlowy BSM ""Miraż"" ul. Kozłowa 4";"General";"No";"Bielska, Giżycka, Gołdapska, Hajnowska, Kozłowa, Olecka, Siemiatycka, Sitarska bez numrów: 52, 64, 68, Suwalska."
"200000";"podlaskie";"206101";"Białystok";"urban commune";"43";"Szkoła Podstawowa Nr 26 ul. Radzymińska 11";"General";"No";"Plac Bł. Ks. Michała Sopoći, Radzymińska"
"200000";"podlaskie";"206101";"Białystok";"urban commune";"44";"Szkoła Podstawowa Nr 26 ul. Radzymińska 11";"General";"No";"Białostoczek od nr 1-19a numery nieparzyste i od nr 2-20 numery parzyste."
