"Teryt";"Province";"Commune code";"Commune";"Commune type";"Precinct No.";"Address";"Precinct type";"Location accessible for the handicapped";"Boundaries"
"240000";"śląskie";"246101";"Bielsko-Biała";"urban commune";"1";"Gimnazjum Nr 14, ul. Mazańcowicka 34";"General";"Yes";"""KOMOROWICE ŚLĄSKIE"" - ulice: Akademicka, Aktorów, Albatrosów, Astronomów, Biblioteczna, Biedronki, Botaniczna, Burzliwa, Centralna, Chochołowska, Czeladnicza, Grażyńskiego nr nieparzyste od 125 do końca, parzyste od 126 do końca, Hajduczka, Harfowa, Husarska, Katowicka, Konwojowa, Królewska, Książęca, Kustosza, Kwiatkowskiego nr nieparzyste od 1 do 67, Kwietniowa, Lekarska, Mazańcowicka nr parzyste od 10 do końca, nr nieparzyste od 9 do końca, Miłosna, Mistrzowska, Młodej Polski, Ogrodników, Opłotek, Orna, Papierowa, Pedagogiczna, Piechurów nr parzyste od 16 do końca, nr nieparzyste od 61 do końca, Poligonowa nr parzyste od 2 do 166 i nr nieparzyste od 1 do 165 , Ponętna, Produkcyjna, Szarych Szeregów, Szlachecka, Terenowa, Uczniowska, Warszawska nr parzyste od 112 do końca, nr nieparzyste od 199 do końca, Węglowa, Wołodyjowskiego, Ziołowa, Złocista, Żołnierska."
"240000";"śląskie";"246101";"Bielsko-Biała";"urban commune";"2";"""AQUA"" S.A. Oczyszczalnia Ścieków, ul. Bestwińska 63";"General";"No";"""KOMOROWICE KRAKOWSKIE"" - ulice: Barkowska nr nieparzyste od 1 do 175a, Bestwińska nr parzyste od 2 do końca, nr nieparzyste od 29 do końca, Borowików, Bystra, Chłopska, Cybernetyków, Dumna, Dusznicka nr parzyste od 100 do końca, nr nieparzyste od 99 do końca, Finałowa, Fredry, Gliwicka, Groszkowa, Gwardzistów, Jasna Rola, Jęczmienna, Koniczynki, Kromparecka, Maślaków, Muchomorów, Na Fermie, Napędowa,  Rakietowa, Samotna, Sejmowa, Świtezianki, Trawiasta, Za Kuźnią, Żeglarska, Żeńców."
"240000";"śląskie";"246101";"Bielsko-Biała";"urban commune";"3";"Przedszkole Nr 40, ul. Komorowicka 338";"General";"No";"""KOMOROWICE KRAKOWSKIE"" - ulice: Daszyńskiego nr nieparzyste 99a i 101, Komorowicka nr parzyste od 332 do 338 , Olimpijska nr 35, Rodziewiczówny, Serenady, Stażystów."
"240000";"śląskie";"246101";"Bielsko-Biała";"urban commune";"4";"Szkoła Podstawowa Nr 29, ul. Czereśniowa 20";"General";"No";"""KOMOROWICE KRAKOWSKIE"" - ulice: Bagażowa, Barkowska nr nieparzyste od 177 do 251a, Barkowska nr parzyste od 2 do końca , Bestwińska nr nieparzyste od 1 do 27 , Czereśniowa nr nieparzyste od 13 do końca , nr parzyste od 18 do końca , Czorsztyńska nr nieparzyste od 23 do 37 , nr parzyste , Daszyńskiego nr nieparzyste od 55 do 97 i 97a oraz od 113 do końca , nr parzyste od 56 do końca, Dragonów, Drobna, Dusznicka nr nieparzyste od 21 do 97 , nr parzyste od 22 do 98 , Fizylierów, Garncarska, Groblowa, Hałcnowska nr nieparzyste od 1 do 159 , Inżynierska, Kaletnicza, Kirasjerów, Komorowicka nr nieparzyste od 201 do końca , nr parzyste od 252 do 330 oraz od 340 do końca, Lansjerów, Laurowa, Mazańcowicka nr nieparzyste od 1 do 7, nr parzyste od 2 do 8 , Młynówka, Na Stawach, Odrowąża, Olimpijska bez nr 35, Ostowa, Plac Józefa  Niemczyka, Romańska, Rybacka, Syreny, Syrokomli, Szwoleżerów, Śliska, Światowida, Świętego Jana Chrzciciela, Taksówkarzy, Ułanów"
"240000";"śląskie";"246101";"Bielsko-Biała";"urban commune";"5";"Szkoła Podstawowa Nr 29, ul. Czereśniowa 20";"General";"No";"""KOMOROWICE KRAKOWSKIE "" - ulice: Architektów nr parzyste od 2 do końca , Architektów nr nieparzyste od 67 do końca, Bliźniacza, Boczna , Braterska, Budrysów, Cegielniana nr nieparzyste od nr 53 do końca , Ceramiczna nr nieparzyste , Czarna , Czereśniowa nr parzyste od 2 do 16, nr nieparzyste od 1 do 11, Czorsztyńska 1 , Daszyńskiego nr parzyste od 2 do 54, nr nieparzyste od 1 do 53 , Dusznicka nr parzyste od 2 do 20, nr nieparzyste od 1 do 19, Gładka, Hałcnowska nr parzyste od 2 do 162Z, Kamieniarzy , Komorowicka nr parzyste od 182 do 250, nr nieparzyste od 127 do 199 , Niepodległości nr 54, Przeciętna nr parzyste od 90 do końca, nr nieparzyste od 91 do końca, Przyległa, Rondo, Samodzielna, Siostrzana, Wajdeloty, Wąska, Wernyhory, Żabiniec"
"240000";"śląskie";"246101";"Bielsko-Biała";"urban commune";"6";"Świetlica OSP, ul.Janowicka 9";"General";"No";"""HAŁCNÓW"" - ulice: 13 Zakrętów, Architektów nr nieparzyste od 1 do 65, Barkowska nr nieparzyste od 253 do końca, Chemików, Elektryków, Fizyków , Grenady, Hałcnowska nr parzyste od 164do końca, nr nieparzyste od 161 do końca, Helska, Iliady, Janowicka nr nieparzyste od 1 do końca, Kaszubska, Kolonia, Macierzanki, Marynarska, Murarzy, Muzealna, Obca, Odysei, Oksywska, Pod Dębem, Pod Kasztanem , Pucka, Rodzinna, Romantyczna, Spartakusa, Tysiąclecia, Walecznych, Wyzwolenia nr nieparzyste od 201 do 291, Wyżynna, Żurawinowa, Żywa."
"240000";"śląskie";"246101";"Bielsko-Biała";"urban commune";"7";"Szkoła Podstawowa Nr 28, ul.Wyzwolenia 343";"General";"No";"""HAŁCNÓW""- ulice: Brzechwy, Deszczowa, Do Lasu, Głośna, Janowicka nr parzyste, Jasińskiego, Jowisza, Kubika, Leszka Czarnego, Majora Henryka Sucharskiego, Nad Słonicą, Nowy Świat, Okręgowa, Pisarska, Siostry Małgorzaty Szewczyk, Taternicza, Teligi, Wawelska, Wyzwolenia nr nieparzyste od 293 do końca, Zagrody, Zalotników, Zbyszka z Bogdańca."
"240000";"śląskie";"246101";"Bielsko-Biała";"urban commune";"8";"Szkoła Podstawowa Nr 28, ul.Wyzwolenia 343";"General";"No";"""HAŁCNÓW"" - ulice: Agronomówka, Braka, Czecza, Dąbrowskiej , Krasnoludków, Krzemionki, Księdza Skiby, Księżycowa, Księży Las nr nieparzyste od 1 do 59, Księży Las nr parzyste od 2 do końca, Marglowa, Miejska, Ojcowska, Porąbki, Przyjaźni, Serdeczna, Skrzatów, Suchy Potok, Witosa nr nieparzyste od 1 do 55, Wyzwolenia nr parzyste od 150 do końca."
"240000";"śląskie";"246101";"Bielsko-Biała";"urban commune";"9";"Gimnazjum Nr 6, ul. Wincentego Witosa 96";"General";"No";"""HAŁCNÓW"" - ulice: Ametystowa, Bobka, Bojki, Bzowa, Cedrowa, Chryzantemowa, Czeremchowa, Czerwona nr parzyste od 110 do końca , nr nieparzyste od 151 do końca , Jarzębinowa, Kaczeńców, Kępna, Kiernika, Krańcowa nr 171, Kryształowa, Księży Las nr nieparzyste od 61 do końca, Lawendowa, Magnolii, Mikołajczyka, Oliwkowa, Orchidei, Pasażerska, Rataja, Saska, Sieroszewskiego, Szlak, Witosa wszystkie nr parzyste, nr nieparzyste od 57 do końca, Wysłouchów, Wysoka, Wyzwolenia nr parzyste od 80 do 148, nr nieparzyste od 111 do 199, Zakole."
"240000";"śląskie";"246101";"Bielsko-Biała";"urban commune";"10";"Świetlica Rady Osiedla "" Biała Północ"" ,ul.Anieli  Krzywoń 17a";"General";"No";""" BIAŁA PÓŁNOC"" - ulice: Baczyńskiego, Bazaltowa, Bursztynowa, Cegielniana wszystkie nr parzyste i nr nieparzyste od 1 do 51, Ceramiczna wszystkie nr parzyste, Chałubińskiego, Czerwona nr nieparzyste od 1 do 149, Dekerta, Generała Chłopickiego, Generała Sowińskiego, Jordana, Komorowicka nr parzyste od 152 do 180, nr nieparzyste od 85 do 125, Krausa, Krzywoń, Kwiatkowkiego nr nieparzyste od 69 do końca, Majora Hubala, Przeciętna nr parzyste od 2 do 88, nr nieparzyste od 1 do 89, Żwirowa."
