"Teryt";"Province";"Commune code";"Commune";"Commune type";"Precinct No.";"Address";"Precinct type";"Location accessible for the handicapped";"Boundaries"
"260000";"świętokrzyskie";"266101";"Kielce";"urban commune";"1";"Gimnazjum nr 3, ul. S. Toporowskiego nr 40";"General";"No";"ULICE: Kasztanowa, Klonowa od nr 21 do nr 45 (nieparzyste) i od nr 22 do nr 38 (parzyste), Ludwika Zamenhofa, Miodowa, Modrzewiowa, Piesza, Stanisława Toporowskiego nr 34 i od nr 43 do nr 57B (nieparzyste), Topolowa numery: 33, 36, Turystyczna od nr 9 do nr 17 (nieparzyste), Wiśniowa."
"260000";"świętokrzyskie";"266101";"Kielce";"urban commune";"2";"Przedszkole Samorządowe nr 6, ul. Bukowa nr 8";"General";"No";"ULICE: Bukowa, Jesionowa (numery parzyste), Stanisława Toporowskiego od nr 40 do nr 68 (parzyste), Stara, Studzienna, Szydłówek Dolny, Turystyczna od nr 1 do nr 3 (nieparzyste), Warszawska od nr 91 do nr 113 (nieparzyste)."
"260000";"świętokrzyskie";"266101";"Kielce";"urban commune";"3";"Przedszkole Samorządowe nr 1, ul. C. K. Norwida nr 5";"General";"No";"ULICE: Cypriana Kamila Norwida, Marii Konopnickiej od nr 1 do nr 5 (nieparzyste), Stanisława Wyspiańskiego."
"260000";"świętokrzyskie";"266101";"Kielce";"urban commune";"4";"Przedszkole Samorządowe nr 32, ul. J. Kasprowicza nr 5";"General";"No";"ULICE: Aleksandry Dobrowolskiej, Domaniówka od nr 1 do nr 3A (nieparzyste) i od nr 4 do nr 6 (parzyste), Elizy Orzeszkowej od nr 2A , do nr 14 (parzyste), Gabrieli Zapolskiej od nr 23 do nr 41 (nieparzyste), Jana Kasprowicza, Leopolda Staffa od nr 4 do nr 8 (parzyste), Masłowska numer 5, Szydłówek Górny, Warszawska od nr 146 do nr 148 (parzyste)."
"260000";"świętokrzyskie";"266101";"Kielce";"urban commune";"5";"Szkoła Podstawowa nr 1, ul. L. Staffa nr 7";"General";"No";"ULICE: Konstantego Ildefonsa Gałczyńskiego, Leopolda Staffa od nr 1 do 7 (nieparzyste), Marii Konopnickiej od nr 7 do nr 11 (nieparzyste)., "
"260000";"świętokrzyskie";"266101";"Kielce";"urban commune";"6";"Zespół Szkół Ogólnokształcących nr 4 Integracyjnych, ul. Jasna nr 20/22";"General";"No";"ULICE: 1 Maja od nr 51 do nr 75 (nieparzyste) i od nr 54 do nr 106A (parzyste), Czarnowska (numery parzyste), Głęboczka, Jasna, Kąpielowa, Krzywa, Mostowa, Robotnicza numery: 1, 8, 10, 10A, 49, Sabinówek, Składowa, Stefana Okrzei, Stolarska, Zagnańska od nr 1 do nr 61 (parzyste , i nieparzyste) i od nr 66 do nr 84B (parzyste), Żelazna od nr 20 do nr 22 (parzyste) i od nr 3/5 do nr 9A (nieparzyste)."
"260000";"świętokrzyskie";"266101";"Kielce";"urban commune";"7";"Integracyjne Przedszkole Samorządowe nr 27, ul. S. Toporowskiego nr 11a";"General";"Yes";"ULICE: Dębowa, Jarzębinowa, Jaworowa, Jesionowa (numery nieparzyste), Klonowa od nr 1 do nr 15A (nieparzyste), Nowowiejska , numer 15, Przelot, Stanisława Toporowskiego od nr 11 do nr 35 (nieparzyste), Topolowa od nr 4 do nr 18 (parzyste), Wierzbowa, Wiosenna od nr 1 do nr 7 (nieparzyste) i od nr 6 do nr 16 (parzyste), Wojewódzka od nr 11 do nr 25 (nieparzyste) i od nr 12 do nr 22 (parzyste)."
"260000";"świętokrzyskie";"266101";"Kielce";"urban commune";"8";"Przedszkole Samorządowe nr 25, ul. Wojewódzka nr 12b";"General";"No";"ULICE: Aleja 1000-Lecia Państwa Polskiego od nr 7 do nr 23 (nieparzyste), Biskupa Wincentego Kadłubka, Józefa Szermentowskiego, Mikołaja Reja, Nowowiejska od nr 14 do nr 24A (parzyste) i od nr 5 do nr 11 (nieparzyste), Pocieszka od nr 11 do nr 17 (nieparzyste), Stanisława Toporowskiego od nr 6A do nr 16 (parzyste), Studencka, Warszawska numery: 47 i 49 i od nr 90 do nr 96 (parzyste), Wojewódzka od nr 3 do nr 7 (nieparzyste)., "
"260000";"świętokrzyskie";"266101";"Kielce";"urban commune";"9";"Przedszkole Samorządowe nr 16, ul. Nowy Świat nr 34";"General";"No";"ULICE: Dąbrowska, Nowy Świat, Pocieszka od nr 3 do nr 5 (nieparzyste), Przechodnia, Stanisława Toporowskiego od nr 1 do nr 5 (nieparzyste), Targowa od nr 2 do nr 20 (parzyste), Wiosenna numer 2."
"260000";"świętokrzyskie";"266101";"Kielce";"urban commune";"10";"Zespół Szkół Elektrycznych, ul. Niska nr 6";"General";"No";"ULICE: Aleja 1000-Lecia Państwa Polskiego od nr 4 do nr 20 (parzyste), Aleja IX Wieków Kielc od nr 15 do nr 35 (nieparzyste), Aleja Solidarności od nr 5 do nr 23 (nieparzyste), Lotnicza, Niska, Pocieszka od nr 10 do nr 20 (parzyste), Polna, Przecznica, Radiowa, Starodomaszowska, Szpitalna, Tadeusza Kościuszki od nr 23 do nr 33B (nieparzyste) i od nr 36 do nr 52 (parzyste), Targowa od nr 3 do nr 23 (nieparzyste), Warszawska od nr 17 do nr 37 (nieparzyste) i od  nr 20B do nr 46 (parzyste)."
