"Teryt";"Province";"Commune code";"Commune";"Commune type";"Precinct No.";"Address";"Precinct type";"Location accessible for the handicapped";"Boundaries"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"1";"Ośrodek Rehabilitacyjno-Edukacyjno-Wychowawczy Koło PSOUU, ul. Szarych Szeregów 32, Elbląg";"General";"Yes";"ŁUBINOWA, MAZURSKA, PSZENICZNA, RODZINY NALAZKÓW od 16 do końca, RZEPAKOWA, SŁONECZNIKOWA, SZARYCH SZEREGÓW, ŻYTNIA"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"2";"Szkoła Podstawowa Nr 9, ul. Rodziny Nalazków 20, Elbląg";"General";"No";"ARMII LUDOWEJ, RODZINY NALAZKÓW od początku do 15"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"3";"Przedszkole Niepubliczne ""Akademia Krasnoludków"", ul. Macieja Kalenkiewicza 24, Elbląg";"General";"Yes";"ALEJA ODRODZENIA, MACIEJA KALENKIEWICZA"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"4";"Przedszkole Nr 21, ul. Wiejska 6, Elbląg";"General";"No";"PODGÓRNA, WIEJSKA"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"5";"Spółdzielczy Dom Kultury, ul. Robotnicza 246, Elbląg";"General";"No";"MARCINA KASPRZAKA, LEOPOLDA OKULICKIEGO, ROBOTNICZA od 246 do końca (parzyste)"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"6";"Szkoła Podstawowa Nr 18, ul. Węgrowska 1, Elbląg";"General";"No";"PUŁKOWNIKA STANISŁAWA DĄBKA od 113 do końca (nieparzyste), PUŁKOWNIKA STANISŁAWA DĄBKA od 132 do końca (parzyste), KATOWICKA, SPOŁECZNA, TARNOWSKA, WĘGROWSKA, WIŚLICKA, ZAKOPIAŃSKA, ŻYRARDOWSKA"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"7";"Zespół Szkół Inżynierii Środowiska i Usług, ul. Obrońców Pokoju 44, Elbląg";"General";"No";"BROWARNA od 45 do 72, ELEKTRYCZNA, KRAKUSA, OBROŃCÓW POKOJU od początku do 7C, OBROŃCÓW POKOJU od 33 do końca, PIŁAWSKA, POPRZECZNA"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"8";"Szkoła Podstawowa Nr 18, ul. Węgrowska 1, Elbląg";"General";"No";"DZIAŁDOWSKA, HELSKA, OBROŃCÓW POKOJU od 8 do 32, PŁOCKA, ROBOTNICZA od 197 do końca (nieparzyste, ) ROBOTNICZA od 226 do 244 (parzyste), STEFANA BATOREGO, TOPOLOWA od 21 do końca (nieparzyste), TOPOLOWA od 26 do końca (parzyste)"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"9";"Świetlica w Próchniku, ul. Strumykowa 35, Elbląg";"General";"No";"DWORKOWA, FROMBORSKA od 24 do końca (parzyste), FROMBORSKA od 45 do końca (nieparzyste), GŁOGOWA, POLI GOJAWICZYŃSKIEJ, JAROSŁAWA IWASZKIEWICZA, JELENIA DOLINA, KORNELA MAKUSZYŃSKIEGO, RUMIANKOWA, SARNIA, STAWOWA, STRUMYKOWA, WILCZA, WRZOSOWA, ZAKĄTEK"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"10";"Zespół Szkół Nr 1, ul. Janusza Korczaka 34, Elbląg";"General";"No";"JANA BRZECHWY, JANUSZA KORCZAKA, LUBELSKA, JANINY PORAZIŃSKIEJ"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"11";"Zespół Szkół nr 1, ul. Janusza Korczaka 34, Elbląg";"General";"No";"WŁADYSŁAWA BRONIEWSKIEGO, OGÓLNA"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"12";"Przedszkole Nr 24, ul. Jana Brzechwy 5, Elbląg";"General";"No";"PIOTRA KŁOCZOWSKIEGO, STANISŁAWA LESZCZYŃSKIEGO, WŁADYSŁAWA ŁOKIETKA, JANA MYLIUSA"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"13";"Przedszkole Nr 24, ul. Jana Brzechwy 5, Elbląg";"General";"No";"ALEJA JANA PAWŁA II, KRZYSZTOFA KAMILA BACZYŃSKIEGO, ANTONIEGO CZUCHNOWSKIEGO,  BOLESŁAWA KRZYWOUSTEGO, TADEUSZA BOYA ŻELEŃSKIEGO, DRUSKIENNICKA, GRODZIEŃSKA, JANA III SOBIESKIEGO, JANA KASPROWICZA, KOWIEŃSKA, LEONA KRUCZKOWSKIEGO, EUGENIUSZA KWIATKOWSKIEGO, LWOWSKA, MIESZKA I, ZOFII NAŁKOWSKIEJ, JULIANA URSYNA NIEMCEWICZA, NOWOGRÓDZKA, WŁADYSŁAWA ORKANA, PIŃSKA, HALINY POŚWIATOWSKIEJ, STANISŁAWA PRZYBYSZEWSKIEGO, MICHAŁA ROSNOWSKIEGO, LEOPOLDA STAFFA, STANISŁAWA SULIMY, WŁADYSŁAWA SYROKOMLI, TARNOPOLSKA, JULIANA TUWIMA, WILEŃSKA, STANISŁAWA WITKIEWICZA"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"14";"Szkoła Podstawowa Nr 15, ul. Modlińska 39, Elbląg";"General";"No";"KRAKOWSKA, LEGIONÓW od początku do 14 (parzyste), LEGIONÓW od początku do 47 (nieparzyste), BOLESŁAWA LEŚMIANA, LUCJANA RYDLA, SKIERNIEWICKA, SZCZECIŃSKA, JANA SZUCHA"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"15";"Szkoła Podstawowa Nr 15, ul. Modlińska 39, Elbląg";"General";"No";"GDYŃSKA, HODOWLANA, KALISKA, KAMIENNA, MARII KONOPNICKIEJ, ŁOWICKA, MODLIŃSKA, NIEPODLEGŁOŚCI, OSTRÓDZKA, PAWIA, POMORSKA, SUWALSKA, SZCZYGLA"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"16";"Przedszkole Niepubliczne ""Wiki"", ul. Częstochowska 5, Elbląg";"General";"No";"CZĘSTOCHOWSKA, FORMIERZY, KASZUBSKA, LEGIONÓW od 16 do końca (parzyste), LEGIONÓW od 49 do końca (nieparzyste), LEŚNA, WALERIANA ŁUKASIŃSKIEGO, METALOWCÓW, ODLEWNIKÓW, POZNAŃSKA, SMOLNA, TURBINOWCÓW, LUDWIKA WARYŃSKIEGO"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"17";"Rejon Energetyczny Oddziału Elbląskich Zakładów Energetycznych, Aleja Józefa Piłsudskiego 19, Elbląg";"General";"Yes";"BUKOWA, CISOWA, GRABOWA, JAGODOWA, JARZĘBINOWA, JAWOROWA, JEMIOŁOWA, JESIONOWA, JODŁOWA, KALINOWA, TADEUSZA KOŚCIUSZKI od 140 do końca (parzyste), KRÓLEWIECKA od 162 do końca (parzyste), KRÓLEWIECKA od 191 do końca (nieparzyste), LESZCZYNOWA, LIPOWA, MARYMONCKA, MODRZEWIOWA, GABRIELA NARUTOWICZA, OKRĘŻNA, OLCHOWA, ORZECHOWA, IGNACEGO PADEREWSKIEGO, WŁADYSŁAWA SIKORSKIEGO, WIĄZOWA, WINCENTEGO WITOSA"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"18";"Przedszkole Niepubliczne ""Bajka"", ul. Rypińska 3, Elbląg";"General";"No";"BRZESKA, LUBRANIECKA, PORTOWA, RYPIŃSKA"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"19";"Gimnazjum Nr 2, ul. Robotnicza 173, Elbląg";"General";"No";"KS. ANDRZEJA KLIMUSZKI, JANA MATEJKI, POKORNA, TOPOLOWA od początku do 19 (nieparzyste), TOPOLOWA od początku do 24 (parzyste)"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"20";"Gimnazjum Nr 2, ul. Robotnicza 173, Elbląg";"General";"No";"PUŁKOWNIKA STANISŁAWA DĄBKA od 37 do 111 (nieparzyste), STEFANA OKRZEI, ROBOTNICZA od 159 do 195 (nieparzyste), ROBOTNICZA od 190 do 224 (parzyste)"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"21";"Szkoła Podstawowa Nr 1, ul. Ignacego Daszyńskiego 1, Elbląg";"General";"No";"HENRYKA BARONA, IGNACEGO DASZYŃSKIEGO, DONIMIRSKICH, JAŚMINOWA (nieparzyste), ADAMA PRÓCHNIKA"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"22";"Szkoła Podstawowa Nr 1, ul. Ignacego Daszyńskiego 1, Elbląg";"General";"No";"BROWARNA od 27 do 44, BROWARNA od 73 do 94, GRAŻYNY, TADEUSZA RECHNIEWSKIEGO, ROBOTNICZA od 107 do 157 (nieparzyste), ROBOTNICZA od 142 do 188 (parzyste)"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"23";"Przedszkole Nr 23, ul. Pułkownika Stanisława Dąbka 49, Elbląg";"General";"No";"PUŁKOWNIKA STANISŁAWA DĄBKA od 32 do 130 (parzyste)"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"24";"Świetlica ESM ""Sielanka"", ul. Gwiezdna 26/27, Elbląg";"General";"No";"BRZOZOWA, GWIEZDNA, ROBOTNICZA od 45 do 105 (nieparzyste), ROBOTNICZA od 88 do 140 (parzyste)"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"25";"Gimnazjum Nr 9, ul. Browarna 1, Elbląg";"General";"No";"BOŻEGO CIAŁA, BROWARNA od początku do 26, BROWARNA od 95 do końca, DOLNA, JAŚMINOWA (parzyste), NISKA, PŁYWACKA, ROBOTNICZA od początku do 43 (nieparzyste), ROBOTNICZA od początku do 86 (parzyste), RÓŻANA, SKWER OFIAR SPRAWY ELBLĄSKIEJ"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"26";"Szkoła Podstawowa Nr 6, Aleja Józefa Piłsudskiego 4, Elbląg";"General";"Yes";"ALEJA JÓZEFA PIŁSUDSKIEGO, MAURYCEGO BENIOWSKIEGO, BOHATERÓW WESTERPLATTE, JULIANA FAŁATA od 30 do końca, MICHAŁA KAJKI, ALEKSANDRA KRZYŻANOWSKIEGO, LUBARTOWSKA, OSIEDLE MARYNARZY, MAJORA HENRYKA SUCHARSKIEGO, ŚWIERKOWA"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"27";"Zespół Szkół Gospodarczych, ul. Królewiecka 128, Elbląg";"General";"No";"FRYDERYKA CHOPINA, MARII CURIE-SKŁODOWSKIEJ, KRÓLEWIECKA od 116 do 160 (parzyste), KRÓLEWIECKA od 135 do 189 (nieparzyste), STANISŁAWA MONIUSZKI, CYPRIANA KAMILA NORWIDA, SKWER JANKA KRASICKIEGO, SPACEROWA, KAROLA SZYMANOWSKIEGO"
"280000";"warmińsko-mazurskie";"286101";"Elbląg";"urban commune";"28";"Szkoła Podstawowa Nr 19, ul. Urocza 4, Elbląg";"General";"No";"BOSMAŃSKA, CICHA, JULIANA FAŁATA od początku do 29, OWOCOWA, PIONIERSKA, UROCZA, ŻEGLARSKA"
