"Electoral institution";"Teritorial code";"Constituency no";"Mandates quantity";"Committees quantity";"Candidates quantity";"Electorals quantity";"Constituency boundaries"
"Sejmik Województwa Lubelskiego";"060000";"1";"5";"13";"110";"274320";"Miasto na prawach powiatu - Lublin"
"Sejmik Województwa Lubelskiego";"060000";"2";"9";"13";"161";"502752";"Powiaty: Janowski, Kraśnicki, Lubartowski, Lubelski, Opolski, Puławski, Rycki"
"Sejmik Województwa Lubelskiego";"060000";"3";"6";"13";"120";"303781";"Powiaty: Bialski, Parczewski, Radzyński i Łukowski oraz miasto na prawach powiatu - Biała Podlaska"
"Sejmik Województwa Lubelskiego";"060000";"4";"6";"13";"111";"316045";"Powiaty: Chełmski, Łęczyński, Krasnostawski, Świdnicki i Włodawski oraz miasto na prawach powiatu - Chełm"
"Sejmik Województwa Lubelskiego";"060000";"5";"7";"12";"132";"358010";"Powiaty: Biłgorajski, Hrubieszowski, Zamojski i Tomaszowski oraz miasto na prawach powiatu - Zamość"
"Rada Powiatu Bialskiego";"060100";"1";"3";"4";"22";"10289";"gm. Rokitno, gm. Konstantynów, gm. Janów Podlaski, "
"Rada Powiatu Bialskiego";"060100";"2";"4";"4";"31";"13968";"gm. Zalesie, gm. Terespol, m. Terespol, "
"Rada Powiatu Bialskiego";"060100";"3";"4";"4";"30";"14874";"gm. Wisznice, gm. Tuczna, gm. Sosnówka, gm. Kodeń, gm. Sławatycze"
"Rada Powiatu Bialskiego";"060100";"4";"3";"4";"23";"12219";"gm. Rossosz, gm. Piszczac, gm. Łomazy"
"Rada Powiatu Bialskiego";"060100";"5";"3";"4";"23";"12403";"gm. Międzyrzec Podlaski, gm. Drelów"
"Rada Powiatu Bialskiego";"060100";"6";"3";"4";"24";"14015";"m. Międzyrzec Podlaski"
"Rada Powiatu Bialskiego";"060100";"7";"3";"4";"23";"13606";"gm. Biała Podlaska, gm. Leśna Podlaska"
"Rada Powiatu w Biłgoraju";"060200";"1";"6";"6";"69";"22096";"Miasto Biłgoraj"
"Rada Powiatu w Biłgoraju";"060200";"2";"3";"6";"34";"10194";"Gmina Biłgoraj"
"Rada Powiatu w Biłgoraju";"060200";"3";"3";"5";"30";"11603";"Gmina Aleksandrów, Gmina Józefów, Gmina Tereszpol"
"Rada Powiatu w Biłgoraju";"060200";"4";"4";"6";"44";"13400";"Gmina Biszcza, Gmina Potok Górny, Gmina Tarnogród"
"Rada Powiatu w Biłgoraju";"060200";"5";"4";"7";"48";"14653";"Gmina Frampol, Gmina Goraj, Gmina Turobin"
"Rada Powiatu w Biłgoraju";"060200";"6";"3";"6";"34";"12387";"Gmina Łukowa, Gmina Obsza, Gmina Księżpol"
"Rada Powiatu w Chełmie                  ";"060300";"1";"6";"6";"56";"18570";"Miasto Rejowiec Fabryczny, Gmina Rejowiec Fabryczny, Gmina Rejowiec, Gmina Siedliszcze"
"Rada Powiatu w Chełmie                  ";"060300";"2";"3";"4";"20";"10811";"Gmina Chełm"
"Rada Powiatu w Chełmie                  ";"060300";"3";"3";"6";"28";"8843";"Gmina Dorohusk, Gmina Kamień"
"Rada Powiatu w Chełmie                  ";"060300";"4";"5";"6";"45";"14143";"Gmina Biłopole, Gmina Dubienka, Gmina Leśniowice, Gmina Wojsławice, Gmina Żmudź"
"Rada Powiatu w Chełmie                  ";"060300";"5";"4";"6";"35";"12836";"Gmina Ruda-Huta, Gmina Sawin, Gmina Wierzbica"
"Rada Powiatu w Hrubieszowie";"060400";"1";"5";"7";"58";"15595";"Miasto Hrubieszów"
"Rada Powiatu w Hrubieszowie";"060400";"2";"3";"6";"30";"8628";"Gmina Hrubieszów"
"Rada Powiatu w Hrubieszowie";"060400";"3";"4";"7";"43";"11579";"Gmina Dołhobyczów, Gmina Mircze"
"Rada Powiatu w Hrubieszowie";"060400";"4";"4";"6";"44";"12751";"Gmina Trzeszczany, Gmina Uchanie, Gmina Horodło"
"Rada Powiatu w Hrubieszowie";"060400";"5";"3";"6";"30";"8366";"Gmina Werbkowice"
"Rada Powiatu Janowskiego";"060500";"1";"3";"5";"26";"7710";"Batorz, Godziszów"
"Rada Powiatu Janowskiego";"060500";"2";"4";"5";"37";"7938";"Chrzanów, Dzwola"
"Rada Powiatu Janowskiego";"060500";"3";"6";"6";"72";"13373";"Janów Lubelski "
"Rada Powiatu Janowskiego";"060500";"4";"4";"6";"44";"9880";"Modliborzyce, Potok Wielki"
