"Electoral institution";"Teritorial code";"Constituency no";"Mandates quantity";"Committees quantity";"Candidates quantity";"Electorals quantity";"Constituency boundaries"
"Sejmik Województwa Świętokrzyskiego";"260000";"1";"8";"10";"119";"269963";"Sandomierski, Opatowski, Ostrowiecki, Staszowski"
"Sejmik Województwa Świętokrzyskiego";"260000";"2";"6";"10";"94";"215450";"Starachowicki, Skarżyski, Konecki"
"Sejmik Województwa Świętokrzyskiego";"260000";"3";"9";"11";"149";"327967";"Kielecki (ziemski), m. Kielce (p. grodzki)"
"Sejmik Województwa Świętokrzyskiego";"260000";"4";"7";"10";"111";"236477";"Włoszczowski, Jędrzejowski, Pińczowski, Buski, Kazimierski"
"Rada Powiatu Buskiego";"260100";"1";"8";"5";"73";"27254";"Miasto i Gmina Busko Zdrój"
"Rada Powiatu Buskiego";"260100";"2";"4";"4";"25";"13416";"Gminy: Gnojno, Stopnica, Tuczępy"
"Rada Powiatu Buskiego";"260100";"3";"4";"4";"28";"10591";"Gminy: Pacanów, Solec Zdrój"
"Rada Powiatu Buskiego";"260100";"4";"3";"4";"22";"10209";"Gminy: Nowy Korczyn, Wiślica"
"Rada Powiatu Jędrzejowskiego";"260200";"1";"7";"5";"64";"23911";"Jędrzejów"
"Rada Powiatu Jędrzejowskiego";"260200";"2";"3";"5";"26";"9380";"Małogoszcz"
"Rada Powiatu Jędrzejowskiego";"260200";"3";"3";"4";"17";"11734";"Nagłowice, Oksa, Słupia Jędrzejowska"
"Rada Powiatu Jędrzejowskiego";"260200";"4";"5";"5";"37";"17085";"Sędziszów, Wodzisław"
"Rada Powiatu Jędrzejowskiego";"260200";"5";"3";"4";"18";"10418";"Sobków, Imielno"
"Rada Powiatu Kazimierskiego";"260300";"1";"3";"6";"33";"6737";"Gminy: Bejsce, Opatowiec"
"Rada Powiatu Kazimierskiego";"260300";"2";"5";"7";"61";"9079";"Gminy: Czarnocin, Skalbmierz"
"Rada Powiatu Kazimierskiego";"260300";"3";"7";"6";"73";"14050";"Gmina Kazimierza Wielka"
"Rada Powiatu w Kielcach";"260400";"1";"4";"6";"41";"22238";"Łopuszno, Mniów, Strawczyn"
"Rada Powiatu w Kielcach";"260400";"2";"5";"5";"48";"29963";"Piekoszów, Chęciny, Sitkówka-Nowiny"
"Rada Powiatu w Kielcach";"260400";"3";"5";"5";"46";"26829";"Miedziana Góra, Zagnańsk, Masłów"
"Rada Powiatu w Kielcach";"260400";"4";"4";"5";"39";"19746";"Bodzentyn, Górno"
"Rada Powiatu w Kielcach";"260400";"5";"4";"5";"37";"21640";"Nowa Słupia, Bieliny, Łagów"
"Rada Powiatu w Kielcach";"260400";"6";"4";"5";"37";"23018";"Daleszyce, Morawica"
"Rada Powiatu w Kielcach";"260400";"7";"3";"5";"24";"18000";"Raków, Pierzchnica, Chmielnik"
"Rada Powiatu Koneckiego";"260500";"1";"9";"6";"108";"30827";"Miasto i Gmina Końskie"
"Rada Powiatu Koneckiego";"260500";"2";"5";"6";"60";"15324";"Miasto i Gmina Stąporków"
"Rada Powiatu Koneckiego";"260500";"3";"4";"7";"49";"14342";"Gminy: Radoszyce, Ruda Maleniecka, Fałków"
"Rada Powiatu Koneckiego";"260500";"4";"3";"5";"30";"9658";"Gminy: Gowarczów, Słupia, Smyków"
"Rada Powiatu w Opatowie";"260600";"1";"5";"5";"49";"13835";"Opatów, Sadowie"
