"Electoral institution";"Teritorial code";"Constituency no";"Mandates quantity";"Committees quantity";"Candidates quantity";"Electorals quantity";"Constituency boundaries"
"Rada Powiatu Krapkowickiego";"160500";"2";"3";"2";"10";"10280";"Miasto i Gmina Gogolin"
"Rada Powiatu Krapkowickiego";"160500";"3";"5";"5";"30";"13460";"Miasto i Gmina Zdzieszowice"
"Rada Powiatu Krapkowickiego";"160500";"4";"4";"3";"17";"10969";"Gmina Strzeleczki, Gmina Walce"
"Rada Powiatu Namysłowskiego";"160600";"1";"6";"8";"87";"13307";"miasto Namysłów"
"Rada Powiatu Namysłowskiego";"160600";"2";"6";"8";"76";"11403";"obszar wiejski gminy Namysłów i gmina Wilków"
"Rada Powiatu Namysłowskiego";"160600";"3";"5";"7";"58";"10391";"gminy: Domaszowice, Świerczów i Pokój"
"Rada Powiatu w Nysie";"160700";"1";"6";"7";"79";"24910";"Gmina Nysa Miasto Nysa- ulice: , 11 Listopada, , 17 Września, Augustowska, , Baczyńskiego, , Baligrodzka, , Bończyka, , Borelowskiego, , Boya -Żeleńskiego, , Broniewskiego, , Brzechwy, , Bzów, , Chabrów, , Chłopickiego, , Chocimska, , Czarneckiego, , Damrota, , Długosza, , Dwernickiego, , Dygasińskiego, , Falskiego, , Fałata, , Fredry, , Gałczyńskiego, , Gdańska, , Głuchołaska, , Gombrowicza, , Grunwaldzka, , Grzegorza z Sanoka, , Herlinga-Grudzińskiego, , Iwaszkiewicza, , Karpacka, , Karpińskiego, , Kasprowicza, , Kisielewskiego, , Kochanowskiego, , Komisji Edukacji Narodowej, , Konarskiego, , Konopnickiej, , Korczaka, , Kossaka, , Kozarzewskiego, , Kozielska, , Krasińskiego, , Krawiecka, , Kruczkowskiego, , ks. Ściegiennego, , Kusocińskiego, , Kwiatowa, , Lelewela, , Leśmiana, , Makuszyńskiego, , Mickiewicza, , Modrzewskiego, , Morcinka, , Nałkowskiej, , Narcyzów, , Niezapominajek, , Nowowiejska, , Opawska, , Osmańczyka, , Plebiscytowa, , Pobożnego, , Podolska, , Pomorska, , Powstańców Śląskich, , Prusa, , Przemyska, , Przerwy - Tetmajera, , Pułaskiego, , Reja, , Rejtana, , Reymonta, , Rodziewiczówny, , Róż, , Sandomierska, , Sanocka, , Sienkiewicza, , Skargi, , Słowackiego, , Staffa, , Stawowa, , Stokrotek, , Strzelców Bytomskich, , Sudecka, , Szczecińska. , Świętojańska, , Traugutta, , Tuwima, , Unii Lubelskiej, , Wańkowicza, , Waryńskiego, , Wasylewskiego, , Zapolskiej, , Zawiszy Czarnego, , Zbaraska, , Zwycięstwa, , Zygmuntowska, , Żeromskiego, , 22 - go Stycznia, , Aleja Duńczyków, , Bielawska, , Biskupa Jarosława, , Celna, , Chodowleckiego, , Dąbrowskiego, , Drzymały, , Dubois, , Grodzka, , Grzybowa, , Jagiellońska, , Kolberga, , Koszarowa, , Kowalska, , Krakowska, , Kramarska, , Kraszewskiego. , Królowej Jadwigi, , Krzywoustego, , ks. Kądziołki, , Kupiecka, , Lompy, , Łukasińskiego, , Marcinkowskiego. , Mariacka, , Miarki, , Moniuszki, , Niemcewicza, , Obrońców Westerplatte, , Ojców Werbistów, , Orkana, , Piastowska, , Piłsudskiego, , Plac 50-lecia Armii Krajowej, , Plac Katedralny, , Plac Kościelny, , Plac Lüdinghausen, , Prudnicka, , Racławicka, , Rynek Garncarski, , Rynek Solny, , Rynek, , Sobieskiego, , Staszica, , Sucharskiego, , Sukiennicza, , Św. Arnolda Jansena, Tadka Jasińskiego, , Teatralna, , Tkacka, , Toruńska, , Towarowa, , Wałowa, , Warszawska, , Wrocławska, , Wyzwolenia, , Zjednoczenia, , Żwirki i Wigury, , Czesława Miłosza, , Plac Jana Pawła II"
"Rada Powiatu w Nysie";"160700";"2";"5";"7";"66";"23673";"Gmina Nysa Miasto Nysa -ulice:, 3 - Maja, , Aleja Roosevelta. , Aleja Wojska Polskiego, , Armii Krajowej, , Asnyka, , Azaliowa, , Batalionów Chłopskich, , Bema, , Berberysowa, , Bohaterów Warszawy, , Bolesława Śmiałego, , Braci Gierymskich, , Bracka, , Bramy Grodkowskiej, , Brata Dionizego Wegnera, , Brata Ferdynanda Fludera, Brata Gotfryda Bochnigha, , Brata Kazimierza Froncka, , Brata Rajmunda Kasperczyka, , Brodzińskiego, , Bukszpanowa, , Chełmońskiego, , Chodkiewicza, , Dunikowskiego, , Dzierżonia, , Forteczna, , Franciszkańska, , gen. St. Maczka, , gen. K. Sosnkowskiego, , gen. T. Bora- Komorowskiego, , gen. L. Okulickiego, , gen. Wł. Andersa, , Gierczak, , Głowackiego, , Gołębia, , Grodkowska, , Grottgera, , J. von Eichendorffa, , Jagiełły, , Jaskółcza, , Jastrzębia, , Jaśminowa, , Jeziorna, , Kaczkowskiego, , Kadłubka, , Kalinowa, , Karugi, , Kmicica, , Kolejowa. , Kołłątaja, , Kordeckiego, , Korfantego, , Kościuszki, , Krasickiego, , Krucza, , Krzemieniecka, , Kukułcza, , Leszczynowa, , Ligonia, , Lwowska, , Łąkowa, , Łokietka, , Malczewskiego, , marsz. Rydza - Śmigłego, , Matejki, , Mazowiecka, , Merkert, , Michałowskiego, , Mieczysława I, , Mieleckiego, , Mostowa, , Norwida, , Nowogródzka, , Obrońców Tobruku, , Ogrodowa, , Ojca Benno Sonsalli, Orla, , Orląt Lwowskich, , Orzeszkowej, , Osiedle Sikorskiego, , Oś. Podzamcze Sek. A, , Oś. Podzamcze Sek. B, , Oś. Podzamcze Sek. C, , Oświęcimska, , Otmuchowska, , Parkowa, , Partyzantów, , Wandy Pawlik, , Piękna, , Pionierów, , Plac im. Kazimierza Albina Zalewskiego, , Plac Kilińskiego, , Plac Kopernika, , Plac Paderewskiego, , Plac Sikorskiego, , Plac Staromiejski, , Poniatowskiego, , Porzeczkowa, , Poziomkowa, , Poznańska, Prądzyńskiego, , Saperska, , Siemiradzkiego, , Skłodowskiej Curie, , Słoneczna, , Słowiańska, , Słowicza, , Sokola, , Stanisławowska, , Stęczyńskiego, , Szkolna, , Szlak Chrobrego, , Szopena, , Szymanowskiego, , Św. Piotra, , Św. Elżbiety, Tarnopolska, , Torowa, , Ujejskiego, , Wileńska, , Wincentego Pola, , Wiosenna, , Wita Stwosza, , Witkiewicza, , Własta, , Wolności, , Wyczółkowskiego, , Wyspiańskiego, , Zagłoby, , Zamoyskiego, , Złotogłowicka, , Żytomierska, , Bazaltowa, , Bursztynowa, , Gen. Fieldorfa pseudonim ""Nil"", , Granitowa, , Diamentowa, , Kamienna, , Kryształowa, , Piaskowa, , Rubinowa, , SOŁECTWA: , Biała Nyska, , Domaszkowice, , Głębinów, , Goświnowice, , Hajduki Nyskie, , Hanuszów, , Iława, , Jędrzychów, , Kępnica, , Konradowa, , Koperniki, , Kubice, , Lipowa, , Morów, , Niwnica, , Podkamień, , Przełęk, , Radzikowice, , Regulice, , Rusocin, , Sękowice, , Siestrzechowice, , Skorochów, , Wierzbięcice, , Wyszków Śląski, , Złotogłowice, , Złotogłowice-Rochów, "
"Rada Powiatu w Nysie";"160700";"3";"5";"7";"69";"21099";"Gmina Głuchołazy"
"Rada Powiatu w Nysie";"160700";"4";"5";"7";"68";"22571";"Gmina Otmuchów, Gmina Paczków"
"Rada Powiatu w Nysie";"160700";"5";"3";"7";"41";"14038";"Gmina Korfantów, Gmina Łambinowice"
"Rada Powiatu w Nysie";"160700";"6";"3";"7";"37";"11236";"Gmina Kamiennik, Gmina Pakosławice, Gmina Skoroszyce"
"Rada Powiatu w Oleśnie";"160800";"1";"6";"4";"39";"18620";"Gmina PRASZKA, Gmina RUDNIKI"
"Rada Powiatu w Oleśnie";"160800";"2";"4";"6";"30";"9778";"Gmina GORZÓW ŚL., Gmina RADŁÓW"
"Rada Powiatu w Oleśnie";"160800";"3";"4";"5";"20";"11434";"Gmina DOBRODZIEŃ, Gmina ZĘBOWICE"
"Rada Powiatu w Oleśnie";"160800";"4";"5";"6";"40";"15044";"Gmina OLESNO"
"Rada Powiatu Opolskiego";"160900";"1";"5";"6";"42";"22936";"Gmina: Dąbrowa, Gmina: Niemodlin, Gmina: Tułowice"
"Rada Powiatu Opolskiego";"160900";"2";"4";"7";"41";"17036";"Gmina: Ozimek"
"Rada Powiatu Opolskiego";"160900";"3";"3";"5";"25";"13397";"Gmina: Chrząstowice, Gmina: Tarnów Opolski"
"Rada Powiatu Opolskiego";"160900";"4";"4";"5";"32";"18595";"Gmina: Dobrzeń Wielki, Gmina: Popielów"
"Rada Powiatu Opolskiego";"160900";"5";"4";"6";"29";"16901";"Gmina: Komprachcice, Gmina: Prószków"
"Rada Powiatu Opolskiego";"160900";"6";"5";"6";"39";"20372";"Gmina: Łubniany, Gmina: Murów, Gmina: Turawa"
"Rada Powiatu w Prudniku";"161000";"1";"8";"5";"63";"23347";"Gmina Prudnik"
"Rada Powiatu w Prudniku";"161000";"2";"4";"6";"35";"11306";"Gmina Głogówek"
"Rada Powiatu w Prudniku";"161000";"3";"5";"7";"49";"12691";"Gmina Biała, Gmina Lubrza"
"Rada Powiatu Strzeleckiego";"161100";"1";"9";"6";"76";"30315";"Miasto i Gmina Strzelce Opolskie oraz Gmina Izbicko"
"Rada Powiatu Strzeleckiego";"161100";"2";"3";"3";"14";"11176";"Miasto i Gmina Kolonowskie oraz Gmina Jemielnica"
"Rada Powiatu Strzeleckiego";"161100";"3";"3";"4";"15";"10246";"Miasto i Gmina Zawadzkie"
"Rada Powiatu Strzeleckiego";"161100";"4";"4";"2";"11";"11766";"Miasto i Gmina Leśnica oraz Miasto i Gmina Ujazd"
"Rada Miasta Opola";"166101";"1";"5";"7";"55";"19217";"Miasto Opole - ulice: Świętej Anny, Astrów, Księdza Stefana Baldego, Bałtycka, Profesora Stefana Banacha, Beskidzka, Bierkowicka, Księdza Norberta Bonczyka, Stanisława Bronicza, Budowlanych, Bytomska, Bzów, Ceglana, Jana Chełmońskiego, Daniela Chodowieckiego, Fryderyka Chopina, Chorzowska, Cicha, Cmentarna, Józefa Cygana, Czarnowąska, Daleka, Kazimierza Deyny, Dobra, Księdza Bolesława Domańskiego numery nieparzyste od 1 do 77 i numery parzyste od 2 do 80, Domowa, Działkowa, Dziewanny, Etnografów, Gawędy, Teodora Glenska, Gliwicka, Bartosza Głowackiego, Gminna, Profesora Stefana Golachowskiego, Gościnna, Kazimierza Górskiego, Marka Grechuty, Grodzka, Stefana Grota-Roweckiego numery od 2 do 11L, Artura Grottgera, Józefa Hallera numery parzyste, Harcerska, Huculska, Irysów, Jana Stanisława Jankowskiego, Jasna, Jaśminów, Anny Jantar, Kaletnicza, Kanałowa, Karpacka, Katedralna numery parzyste, Plac Katedralny, Plac Jana Kazimierza, Kępska, Księdza Czesława Klimasa, Kluczborska, Profesora Józefa Kokota, Profesora Stanisława Kolbuszewskiego, Kolegiacka, Władysława Komara, Kardynała Bolesława Kominka, Marii Konopnickiej, Plac Konstytucji 3 Maja, Konwalii, Juliusza Kossaka, Szymona Koszyka, Profesora Tadeusza Kotarbińskiego, Kozielska, Księdza Karola Koziołka, Krapkowicka numery parzyste od 2 do 10, Krzanowicka, Książąt Opolskich numery nieparzyste od 19 do końca i numery parzyste od 32 do końca, Profesora Leszka Kuberskiego, Rondo płk. Ryszarda Kuklińskiego, Jerzego Kukuczki, Profesora Stanisława Kulczyńskiego, Franciszka Kurpierza, Kurpiowska, Janusza Kusocińskiego, Lajkonika, Leśnicka, Licealna, Księdza Alojzego Ligudy, Józefa Lompy, Lubiniecka, Luboszycka numery parzyste od 10 do końca, Ludowa, Jana Łangowskiego numery nieparzyste, Łąkowa, Magazynowa, Maków, Marzanny, Stefanii Mazurek, Andrzeja Mielęckiego, Mikołaja, Miła, Stanisława Moniuszki, Nadbrzeżna, Adama Napieralskiego, Narcyzów, Piotra Niedurnego, Niemodlińska numery nieparzyste od 1 do 57 i numery parzyste od 2 do 60 i 60a, Niezapominajek, Nizinna, Feliksa Nowowiejskiego, Nysy Łużyckiej numery nieparzyste od 1 do 7 i numery parzyste od 8 do 30, Ogrodowa, Stefana Okrzei, Leopolda Okulickiego, Plac Oleandrów, Oleska numery nieparzyste od 51 do 127 i numery parzyste od 64 do 118 i 118A, Osadnicza, Agnieszki Osieckiej, Partyzancka, Plac Józefa Piłsudskiego, Grzegorza Piramowicza, Pisankowa, Profesora Kazimierza Piwarskiego, Podhalańska, Portowa, Haliny Poświatowskiej, Powstańców Warszawskich, Północna, Prudnicka, Przyjazna, Przylesie, Ptasia, Raciborska, Macieja Rataja, Rodła, Rolna, Profesora Eugeniusza Romera, Plac Róż, Plac Ludomira Różyckiego, Wandy Rutkiewicz, Rybacka, Sądowa, Słowiańska, Składowa, Jana Sobieskiego, Sobótki, Sołtysów, Spokojna, Stanisława Spychalskiego, Stefana Stoińskiego, Stokrotek, Jana Styki, 10 Sudeckiej Dywizji Zmechanizowanej, Plac Księdza Józefa Szafranka, Karola Szymanowskiego, Księdza Piotra Ściegiennego, Śluza - Wróblin, Tarnogórska, Profesora Witolda Taszyckiego, Profesora Władysława Tatarkiewicza, Tatrzańska, Tulipanów, Urodzaju, Usługowa, Wandy, Wiankowa, Wielkanocna, Wiśniowa, Wodociągowa, Wrocławska, Wróblińska, Wspólna, Leona Wyczółkowskiego, Jana Wyglendy, Zabrzańska, Zakładowa, Zakopiańska, Zamiejska, Zamknięta, Zbożowa, Żerkowicka."
"Rada Miasta Opola";"166101";"2";"5";"7";"57";"20305";"Miasto Opole - ulice: Agrestowa, Akacjowa, Aleja „Solidarności”, Aleja Wincentego Witosa, Amarantowa, Armii Krajowej numery od 21 do końca, Adama Asnyka, Beżowa, Biała, Bielska, Bieszczadzka, Błękitna, Boczna, Profesora Henryka Borka, Borówkowa, Borysławska, Arki Bożka, Władysława Broniewskiego, Brzozowa, Budziszyńska, Bukowa, Cementowa, Chabrów, Chełmska, Chłodnicza, Cieszyńska, Cisowa, Czeremchowa, Czereśniowa, Częstochowska, Dębowa, Diamentowa, Dolnośląska, Drobiarska, Dzikiej Róży, Józefa Elsnera, Fabryczna, Fiołkowa, Gajowa, Gdańska, Głogowska, Gosławicka, Górna, Górnośląska, Granatowa, Grobla, Grodzieńska, Grudzicka, Gryczana, Grzybowa, Halicka, Romana Horoszkiewicza, Jaglana, Jagodowa, Jałowcowa, Jarzębinowa, Jaskółcza, Jastrzębia, Jaworowa, Jeleniogórska, Jesienna, Jesionowa, Jeżynowa, Jęczmienna, Jodłowa, Kalinowa, Kaliska, Hm. Aleksandra Kamińskiego, Karminowa, Kasztanowa, Kaszubska, Kielecka, Klonowa, Kłodzka, Kolonijna, Janusza Korczaka, Koszalińska, Kresowa, Kręta, Krokusów, Krótka, Krzemieniecka, Kujawska, Eugeniusza Kwiatkowskiego, Lawendowa, Legnicka, Leszczynowa, Leśna, Limby, Lipowa, Lubelska, Lwowska, Łanowa, Łowicka, Łódzka, Macierzankowa, 1 Maja numery parzyste od 28 do 38, Malinowa, Małopolska, Profesora Oswalda Matei, Mazowiecka, Mazurska, Modrzewiowa, Sergiusza Mossora, Myśliwska, Cypriana Kamila Norwida, Nowa, Nowogródzka, Nowowiejska, Obrońców Pokoju, Olchowa, Oleska numery parzyste od 120 do końca i numery nieparzyste od 129 do końca, Opolska, Orzechowa, Osiedle, Ozimska numery parzyste od 70 do końca i numery nieparzyste od 153 do końca, Piotrkowska, Plebiscytowa numery nieparzyste od 19 do końca, Pogodna, Pomarańczowa, Pomorska, Poprzeczna, Porzeczkowa, Poziomkowa, Poznańska, Prywatna, Pszeniczna, Kazimierza Pużaka numery nieparzyste i numery parzyste od 2 do 6, Marii Rodziewiczówny, Rondo Ronalda Reagana, Rondo gen. Stanisława Rostworowskiego, Różowa, Rumiankowa, Rzepakowa, Sadowa, Samborska, Sandomierska, Sarnia, Sasanki, Seledynowa, Sieradzka, Siewna, Skośna, Skowronka, Skrajna, Skromna, Słubicka, Kazimierza Sosnkowskiego, Sosnowa, Pawła Stalmacha, Stanisławowska, Stryjska, Suchoborska, Swornicka, Szafirowa, Szałwiowa, Szarotki, Szczecińska, Szkolna, Śląska, Środkowa, Światowida, Świerkowa, Świętojańska, Tarnopolska, Topolowa, Toruńska, Turkusowa, Tymiankowa, Tysiąclecia, Ustronna, Wapienna, Warszawska, Wiejska, Wielkopolska, Wieluńska, Wierzbowa, Wilcza, Wileńska, Thomasa Wilsona, Wolna, Wrzosowa, Wschodnia numer 23, Wygonowa, Zagrodowa, Zapłocie, Gabrieli Zapolskiej, Zgorzelecka, Zielonogórska, Ziemi Lubuskiej, Ziołowa, Żurawinowa, Żytnia."
"Rada Miasta Opola";"166101";"3";"5";"7";"60";"20507";"Miasto Opole - ulice: Adama, Jana Adamka, Aleja Przyjaźni, Armii Krajowej numery od 7 do 20, Jana Augustyna, Krzysztofa Kamila Baczyńskiego, Augusta Bassego, Stefana Batorego, Bolesława Biegasa, Bolka II, Tadeusza Borowskiego, Tadeusza Boya - Żeleńskiego, Tadeusza Brezy, Jana Brzechwy, Brzegowa, Franciszka Józefa Buhla, Bolesława Chrobrego, Ciekawa, Konstantego Ciołkowskiego, Jana Cybisa, Leona Czogały, Plac Ignacego Daszyńskiego, Dekabrystów, Romana Dmowskiego, Józefa Dobisa, Witolda Doroszewskiego, Dożynkowa, Stanisława Duboisa, Ksawerego Dunikowskiego, Józefa von Eichendorffa, Alberta Einsteina, Juliana Fałata, Ojca Edwarda Frankiewicza, Doktora Franciszka Gabriela, Jurija Gagarina, Tadeusza Gajcego, Konstantego Ildefonsa Gałczyńskiego, Geodetów, Józefa Glogego, Poli Gojawiczyńskiej, Gołębia, Witolda Gombrowicza, Gomołów, Wiktora Gorzołki, Heleny Gozdek, Górnicza, Graniczna, Grenadierów, Stanisława Grochowiaka, Groszowicka, Karola Grzesika, Stanisława Grzonki, Gwarków, Hutnicza, Irydowa, Jarosława Iwaszkiewicza, Świętego Jacka, Królowej Jadwigi, Jagiellonów, Jana, Jana Nikodema Jaronia, Józefa, Jakuba Kani numery parzyste i numery nieparzyste od 11 do końca, Mieczysława Karłowicza, Kazimierza Kasperka, Jana Kasprowicza, Katarzyny, Katowicka numery nieparzyste od 1 do 55 i numery parzyste, Jana Kilińskiego, Konduktorska, Kosmonautów, Kosynierów, Plac Kościelny, Tadeusza Kościuszki, Kowalska, Józefa Ignacego Kraszewskiego, Kredytowa, Fryderyka Kremsera, Iwana Kryłowa, Książęca, Kwiatowa, Jana Lechonia, Bolesława Leśmiana, Juliusza Ligonia, Bolesława Limanowskiego, Lipiny, Księdza Józefa Londzina, Władysława Łokietka, Ignacego Łukasiewicza, 1 Maja numery parzyste od 10 do 26 i od 42 do końca i numery nieparzyste od 49 do końca, Majowa, Kornela Makuszyńskiego, Mała, Małgorzaty, Marka z Jemielnicy, Stanisława Masłowskiego, Metalowa, Karola Miarki, Adama Mickiewicza, Plac Adama Mickiewicza, Miedziana, Mieszka I, Czesława Miłosza, Krystiana Minkusa, Miodowa, Młodej Polski, Młodzieżowa, Heleny Modrzejewskiej, Gustawa Morcinka, Franciszka Myśliwca, Zofii Nałkowskiej, Kostki Napierskiego, Gabriela Narutowicza, Niepodległości, Niklowa, Obrońców Stalingradu, Odrzańska, Olimpijska, Władysława Orkana, Elizy Orzeszkowej, Jana Ostroroga, Oświęcimska, Ozimska numery parzyste od 2 do 48, Ignacego Paderewskiego, Piotra Pampucha, Piotra Pandzy, Jana Parandowskiego, Marii Pawlikowskiej-Jasnorzewskiej, Piaskowa, Piastów, Pionierska, Władysława Planetorza, Platynowa, Plebiscytowa numery nieparzyste od 7 do 17 i numery parzyste od 20 do końca, Henryka Pobożnego, Podborna, Podlesie, Podmiejska, Polna, Południowa, Księdza Jerzego Popiełuszki, Powszechna, Prosta, Bolesława Prusa, Przedmieście, Przedpole, Przelotowa, Przemysłowa, Przepiórki, Kazimierza Przerwy-Tetmajera, Przeskok, Przewozowa, Juliana Przybosia, Stanisława Przybyszewskiego, Przytulna, Aleksandra Puszkina, Mikołaja Reja, Tadeusza Rejtana numery nieparzyste i numery parzyste od 10 do końca, Władysława Reymonta numery parzyste od 8 do końca i numery nieparzyste od 15 do końca, Robotnicza, Rodzinna, Profesora Stanisława Rosponda, Księdza Franciszka Rudzkiego, Lucjana Rydla, Rzeczna, Semaforowa, Juliusza Słowackiego, Emanuela Smolki, Ludwika Solskiego, Sportowa, Srebrna, Leopolda Staffa, Stalowa, Jana Stanisławskiego, Plac Księdza Stanisława Staszica, Andrzeja Struga, Strzelecka, Jerzego Szaniawskiego, Jana Szczeszyńskiego, Majora Zygmunta, Szendzielarza 'Łupaszki"",  Szeroka, Śluza-Groszowice, Średnia, Wawrzyńca Świerzego, Świętokrzyska, Targowa, Leonida Teligi, Torowa, Romualda Traugutta, Juliana Tuwima, Józefa Walecki, Melchiora Wańkowicza, Warsztatowa, Kazimierza Wielkiego, Kazimierza Wierzyńskiego, Jana Wiktora, Stanisława Witkiewicza, Witolda Wojtkiewicza, Wschodnia z wyłączeniem numeru 23, Stanisława Wyspiańskiego, Wyzwolenia, Zielona, Złota, Żeglarska, Żelazna, Żwirowa."
"Rada Miasta Opola";"166101";"4";"5";"8";"64";"18732";"Miasto Opole - ulice: Armii Krajowej numery od 1 do 6, Norberta Barlickiego, Józefa Barona, Wojciecha Biasa, Browarna, Chmielowicka, o. Józefa Czaplaka, Alojzego Dambonia, Księdza Konstantego Damrota, Księcia Jana Dobrego, Księdza Bolesława Domańskiego numery nieparzyste od 79 do końca i numery parzyste od 82 do końca, Dworska, Księdza Jana Dzierżona, Franciszkańska, Gospodarcza, Gruntowa, Józefa Hallera numery nieparzyste, Wincentego Hlouszka, Kamienna, Marcina Kasprzaka, Katedralna numery nieparzyste, Katowicka numery nieparzyste od 61 do końca, Jana Kochanowskiego, Księdza Hugona Kołłątaja, Konsularna, Plac Mikołaja Kopernika, Bronisława Koraszewskiego, Wojciecha Korfantego, Augustyna Kośnego numery nieparzyste od 1 do 49 i numery parzyste od 2 do 46, Krakowska, Krapkowicka numery parzyste od 12 do końca, numery nieparzyste od 15 do końca, Krawiecka, Jana Kropidły, Krupnicza, Książąt Opolskich numery nieparzyste od 1 do 17 i numery parzyste od 2 do 30, Jana Kwoczka, Joachima Lelewela, 11 Listopada, Luboszycka numery nieparzyste od 1 do 9 i numery parzyste od 2A do 8, Jana Łangowskiego numery parzyste, 1 Maja numery nieparzyste od 1 do 47 i numery parzyste od 2 do 8, Franciszka Kazimierza Malczewskiego, Mały Rynek, Jana Matejki, Franciszka Mehla, Minorytów, Młyńska, Roberta Morysa, Wolfganga Amadeusza Mozarta, Bulwar im. Karola Musioła, Muzealna, Mieczysława Niedziałkowskiego, Niemodlińska numery nieparzyste od 59 do końca i numery parzyste od 62 do końca, Nysy Łużyckiej numery nieparzyste od 9 do 25 i numer 32, Odrodzenia, Odrowążów, Oleska numery nieparzyste od 1 do 5, Księcia Władysława II Opolczyka, Edmunda Osmańczyka, Ostrówek, Ozimska numery nieparzyste od 1 do 51 i 51a, Parkowa, Pasieczna, Plac Jana Pawła II, Piastowska, Rondo Rotmistrza Witolda Pileckiego, Piwna, Podgórna, Franciszka Poliwody, Leona Powolnego, Powstańców Śląskich, Prószkowska, Władysława Reymonta numery nieparzyste od 1 do 13 i numery parzyste od 2 do 6, Rynek, Rzemieślnicza, Sąsiedzka, Plac Świętego Sebastiana, Stefanii Sempołowskiej, Henryka Sienkiewicza, Marii Skłodowskiej - Curie, Słoneczna, Spacerowa, Stara Droga, Staromiejska, Stawowa, Strzelców Bytomskich, Studzienna, Szpitalna, Plac Teatralny, Tęczowa, Rafała Urbana, Ludwika Waryńskiego numery nieparzyste, Stanisława Wasylewskiego, Jana Wawrzynka, Wąska, Jakuba Wilczka, Winowska, Wiosenna, Wodna, Świętego Wojciecha, Wojska Polskiego, Plac Wolności, Wójtowa, Walerego Wróblewskiego, Bogumiła Wyszomirskiego, Zamkowa, Zwierzyniecka, Zwycięstwa, Stefana Żeromskiego, Żniwna, Żwirki i Wigury."
