"Electoral institution";"Teritorial code";"Constituency no";"Mandates quantity";"Committees quantity";"Candidates quantity";"Electorals quantity";"Constituency boundaries"
"Sejmik Województwa Opolskiego";"160000";"1";"7";"6";"77";"206515";"M. Opole, p. opolski"
"Sejmik Województwa Opolskiego";"160000";"2";"6";"7";"70";"145844";"p. kluczborski, p. namysłowski, p. oleski"
"Sejmik Województwa Opolskiego";"160000";"3";"5";"6";"55";"143701";"p. kędzierzyńsko- kozielski, p. strzelecki"
"Sejmik Województwa Opolskiego";"160000";"4";"5";"7";"61";"141057";"p. głubczycki, p. krapkowicki, p. prudnicki"
"Sejmik Województwa Opolskiego";"160000";"5";"7";"7";"74";"191384";"p. brzeski, p. nyski"
"Rada Powiatu Brzeskiego";"160100";"1";"9";"7";"108";"30436";"Gmina Miasto Brzeg "
"Rada Powiatu Brzeskiego";"160100";"2";"5";"7";"59";"16886";"Gmina Lubsza, Gmina Olszanka, Gmina Skarbimierz "
"Rada Powiatu Brzeskiego";"160100";"3";"4";"6";"39";"15846";"Gmina Grodków "
"Rada Powiatu Brzeskiego";"160100";"4";"3";"7";"38";"10689";"Gmina Lewin Brzeski "
"Rada Powiatu w Głubczycach";"160200";"1";"8";"9";"111";"19082";"Miasto i Gmina Głubczyce, "
"Rada Powiatu w Głubczycach";"160200";"2";"6";"9";"96";"14495";"Miasto i Gmina Kietrz, Miasto i Gmina Baborów"
"Rada Powiatu w Głubczycach";"160200";"3";"3";"6";"36";"5863";"Gmina Branice "
"Rada Powiatu Kędzierzyńsko-Kozielskiego";"160300";"1";"3";"6";"32";"13204";"miasto Kędzierzyn-Koźle 1 - osiedla: Koźle Rogi, Koźle Zachód, Stare Miasto, Kłodnica"
"Rada Powiatu Kędzierzyńsko-Kozielskiego";"160300";"2";"3";"6";"36";"10045";"miasto Kędzierzyn-Koźle 2 - osiedle: Pogorzelec"
"Rada Powiatu Kędzierzyńsko-Kozielskiego";"160300";"3";"3";"6";"33";"12155";"miasto Kędzierzyn-Koźle 3 - osiedla: Śródmieście, Kuźniczka"
"Rada Powiatu Kędzierzyńsko-Kozielskiego";"160300";"4";"4";"6";"48";"16294";"miasto Kędzierzyn-Koźle 4 - osiedla: Piastów, Blachownia, Przyjaźni, Lenartowice, Cisowa, Miejsce Kłodnickie, Sławięcice, Azoty"
"Rada Powiatu Kędzierzyńsko-Kozielskiego";"160300";"5";"4";"5";"32";"13520";"gminy: Pawłowiczki, Reńska Wieś"
"Rada Powiatu Kędzierzyńsko-Kozielskiego";"160300";"6";"4";"5";"37";"14980";"gminy: Bierawa, Cisek, Polska Cerekiew"
"Rada Powiatu w Kluczborku";"160400";"1";"3";"7";"38";"7771";"Gmina Byczyna"
"Rada Powiatu w Kluczborku";"160400";"2";"7";"8";"99";"20751";"Gmina Kluczbork 1 obejmująca miasto Kluczbork"
"Rada Powiatu w Kluczborku";"160400";"3";"5";"7";"58";"15963";"Gmina Kluczbork 2 obejmująca sołectwa: Bażany, Bąków, Biadacz, Bogacica, Bogacka Szklarnia, Bogdańczowice, Borkowice, Czaple Stare z przysiółkiem Czaple Wolne, Gotartów, Krasków, Krzywizna, Kujakowice Dolne, Kujakowice Górne, Kuniów, Ligota Dolna, Ligota Górna z przysiółkiem Ligota Zamecka, Łowkowice, Maciejów, Nowa Bogacica, Smardy Dolne, Smardy Górne, Unieszów, Żabiniec, , Gmina Lasowice Wielkie"
"Rada Powiatu w Kluczborku";"160400";"4";"4";"7";"50";"11382";"Gmina Wołczyn"
"Rada Powiatu Krapkowickiego";"160500";"1";"7";"6";"52";"19564";"Miasto i Gmina Krapkowice"
