"Electoral institution";"Teritorial code";"Constituency no";"Mandates quantity";"Committees quantity";"Candidates quantity";"Electorals quantity";"Constituency boundaries"
"Sejmik Województwa Zachodniopomorskiego";"320000";"1";"8";"11";"107";"372450";"Miasto Szczecin, , powiat policki"
"Sejmik Województwa Zachodniopomorskiego";"320000";"2";"5";"7";"55";"216673";"Miasto Świnoujście, , powiat goleniowski, , powiat gryficki, , powiat kamieński, , powiat łobeski, "
"Sejmik Województwa Zachodniopomorskiego";"320000";"3";"6";"9";"71";"273031";"powiat białogardzki, , powiat choszczeński, , powiat drawski, , powiat kołobrzeski, , powiat świdwiński, , powiat wałecki, "
"Sejmik Województwa Zachodniopomorskiego";"320000";"4";"5";"8";"60";"247097";"Miasto Koszalin, , powiat koszaliński, , powiat sławieński, , powiat szczecinecki"
"Sejmik Województwa Zachodniopomorskiego";"320000";"5";"6";"9";"84";"249536";"powiat gryfiński, , powiat myśliborski, , powiat pyrzycki, , powiat stargardzki"
"Rada Powiatu w Białogardzie";"320100";"1";"9";"6";"100";"19544";"Miasto Białogard"
"Rada Powiatu w Białogardzie";"320100";"2";"5";"6";"56";"11768";"Gmina Białogard, Gmina Tychowo"
"Rada Powiatu w Białogardzie";"320100";"3";"3";"5";"29";"7262";"Miasto i Gmina Karlino"
"Rada Powiatu w Choszcznie";"320200";"1";"3";"4";"22";"7153";"gminy: Bierzwnik, Krzęcin"
"Rada Powiatu w Choszcznie";"320200";"2";"7";"4";"53";"17965";"gmina Choszczno"
"Rada Powiatu w Choszcznie";"320200";"3";"4";"3";"24";"8963";"gminy: Drawno, Recz"
"Rada Powiatu w Choszcznie";"320200";"4";"3";"4";"19";"6418";"gmina Pełczyce"
"Rada Powiatu w Drawsku";"320300";"1";"5";"5";"42";"13295";"Cały obszar gmin Czaplinek i Wierzchowo"
"Rada Powiatu w Drawsku";"320300";"2";"7";"6";"75";"19563";"Cały obszar gmin Drawsko Pomorskie i Kalisz Pomorski."
"Rada Powiatu w Drawsku";"320300";"3";"5";"6";"51";"14740";"Cały obszar gmin Ostrowice i Złocieniec."
"Rada Powiatu w Goleniowie";"320400";"1";"8";"4";"42";"27108";"Miasto i Gmina Goleniów"
"Rada Powiatu w Goleniowie";"320400";"2";"6";"4";"42";"19529";"Miasto i Gmina Nowogard"
"Rada Powiatu w Goleniowie";"320400";"3";"5";"4";"32";"16817";"Gminy: Osina, Stepnica, Przybiernów, Maszewo"
"Rada Powiatu w Gryficach";"320500";"1";"9";"9";"130";"22749";"gminy: Gryfice, Karnice"
"Rada Powiatu w Gryficach";"320500";"2";"6";"9";"85";"16347";"gminy: Trzebiatów, Rewal"
"Rada Powiatu w Gryficach";"320500";"3";"4";"7";"50";"10296";"gminy: Płoty, Brojce"
"Rada Powiatu w Gryfinie";"320600";"1";"8";"7";"99";"25350";"Miasto i gmina Gryfino"
"Rada Powiatu w Gryfinie";"320600";"2";"4";"7";"46";"12654";"Gminy: Banie, Stare Czarnowo, Widuchowa"
"Rada Powiatu w Gryfinie";"320600";"3";"6";"5";"49";"19245";"Miasta i gminy: Chojna, Cedynia, Trzcińsko-Zdrój"
"Rada Powiatu w Gryfinie";"320600";"4";"3";"4";"24";"9483";"Miasta i gminy: Mieszkowice, Moryń"
"Rada Powiatu w Kamieniu Pomorskim";"320700";"1";"5";"10";"92";"12105";"Gmina Kamień Pomorski"
"Rada Powiatu w Kamieniu Pomorskim";"320700";"2";"4";"9";"65";"10142";"Gmina Wolin"
