"Electoral institution";"Teritorial code";"Constituency no";"Mandates quantity";"Committees quantity";"Candidates quantity";"Electorals quantity";"Constituency boundaries"
"Rada Powiatu w Bełchatowie";"100100";"5";"4";"5";"36";"17567";"Gmina Szczerców, gmina Rusiec, gmina Kluki, gmina Kleszczów, "
"Rada Powiatu w Kutnie";"100200";"1";"10";"8";"132";"39229";"Miasto Kutno"
"Rada Powiatu w Kutnie";"100200";"2";"4";"8";"54";"14147";"Gmina Krośniewice, Gmina Dąbrowice, Gmina Nowe Ostrowy, Gmina Łanięta"
"Rada Powiatu w Kutnie";"100200";"3";"3";"8";"40";"10593";"Gmina Bedlno, Gmina Oporów, Gmina Strzelce"
"Rada Powiatu w Kutnie";"100200";"4";"3";"8";"47";"10786";"Gmina Żychlin"
"Rada Powiatu w Kutnie";"100200";"5";"3";"8";"43";"10508";"Gmina Kutno, Gmina Krzyżanów"
"Rada Powiatu w Łasku";"100300";"1";"10";"7";"109";"23343";"gmina Łask"
"Rada Powiatu w Łasku";"100300";"2";"7";"6";"73";"18280";"gmina Buczek, gmina Sędziejowice, gmina Widawa, gmina Wodzierady, "
"Rada Powiatu Łęczyckiego";"100400";"1";"5";"7";"68";"12497";" Miasto Łęczyca"
"Rada Powiatu Łęczyckiego";"100400";"2";"3";"7";"40";"8552";"Gminy: Grabów, Świnice Warckie"
"Rada Powiatu Łęczyckiego";"100400";"3";"5";"7";"68";"11658";"Gminy: Góra Św. Małgorzaty, Piątek, Witonia"
"Rada Powiatu Łęczyckiego";"100400";"4";"4";"7";"53";"10427";"Gminy: Daszyna, Łęczyca"
"Rada Powiatu Łowickiego";"100500";"1";"8";"7";"97";"24612";"Miasto Łowicz"
"Rada Powiatu Łowickiego";"100500";"2";"4";"6";"40";"13095";"Gmina Łyszkowice, Gmina Nieborów"
"Rada Powiatu Łowickiego";"100500";"3";"3";"5";"24";"9772";"Gmina Bielawy, Gmina Zduny"
"Rada Powiatu Łowickiego";"100500";"4";"3";"7";"34";"9768";"Gmina Domaniewice, Gmina Łowicz"
"Rada Powiatu Łowickiego";"100500";"5";"3";"5";"26";"9038";"Gmina Chąśno, Gmina Kiernozia, Gmina Kocierzew Płd."
"Rada Powiatu Łódzkiego Wschodniego";"100600";"1";"3";"4";"21";"9628";"gmina Tuszyn"
"Rada Powiatu Łódzkiego Wschodniego";"100600";"2";"4";"5";"27";"12077";"gminy: Brójce, Rzgów"
"Rada Powiatu Łódzkiego Wschodniego";"100600";"3";"5";"6";"37";"13312";"gminy: Andrespol, Nowosolna"
"Rada Powiatu Łódzkiego Wschodniego";"100600";"4";"7";"6";"70";"19013";"gmina Koluszki"
"Rada Powiatu w Opocznie";"100700";"1";"9";"6";"100";"28630";"Gmina i Miasto Opoczno"
"Rada Powiatu w Opocznie";"100700";"2";"4";"6";"48";"11743";"gmina Drzewica; gmina Poświętne "
"Rada Powiatu w Opocznie";"100700";"3";"8";"7";"91";"23244";"gmina Białaczów; gmina Mniszków; gmina Paradyż; gmina Sławno; gmina Żarnów"
"Rada Powiatu Pabianickiego";"100800";"1";"4";"4";"31";"15967";"Miasto Pabianice, Granica miasta do rzeki Dobrzynki w kierunku północnym, wzdłuż ul. Rypułtowickiej do ulicy Widzewskiej, ul. Konstantynowska do ul. Warszawskiej, ul. Warszawska do ul. Lipowej, wzdłuż , ul. Grobelnej do ul. Strażackiej, ul. Zamkowa do ul. Kardynała Wyszyńskiego, ul. Broniewskiego, , ul. Wyspiańskiego w kierunku południowym, ul. Skłodowskiej - Curie do ul. Konopnickiej, ul. Jana Pawła II, ul. Cmentarna, ul. Niecała, ul. Ostatnia, ul. Łaska do granicy miasta."
"Rada Powiatu Pabianickiego";"100800";"2";"4";"4";"29";"15413";"Miasto Pabianice, Granica miasta od strony południowej wzdłuż rzeki Dobrynki do ul. Rydzyńskiej, rzeka Dobrzynka do ul. Grobelnej, wzdłuż Grobelnej, ul. Lipowa, ul. Zamkowa do ul. Kardynała Wyszyńskiego, , ul. Broniewskiego, ul. Wyspiańskiego, ul. Skłodowskiej - Curie do ul. Konopnickiej, ul. Jana Pawła II, , ul. Cmentarna, ul. Niecała, ul. Ostatnia, ul. Łaska do granicy miasta."
"Rada Powiatu Pabianickiego";"100800";"3";"3";"4";"23";"15415";"Miasto Pabianice, Rzeka Dobrzynka w kierunku południowym od ul. Zamkowej do ul. Rydzyńskiej, granica miasta wzdłuż rzeki Dobrzynki do ul. Granicznej, ul. Graniczna, ul. 20 Stycznia do ul. Waltera Janke, , ul. 20 Stycznia do ul. Stefana Grota Roweckiego, ul. Nawrockiego, ul. Piotra Skargi, ul. Boczna, , ul. Żytnia, ul. Narcyza Gryzla, ul. Stefana Grota Roweckiego do rzeki Dobrzynki., "
"Rada Powiatu Pabianickiego";"100800";"4";"3";"4";"23";"11202";"Miasto Pabianice, Granica miasta od północy wzdłuż ul. Widzewskiej, granica miasta, ul. Ksawerowska, , ul. Zaradzyńska, granica miasta do ul. Granicznej, ul. 20 Stycznia, ul. Nawrockiego, ul. Piotra Skargi, , ul. Boczna, ul. Żytnia, ul. Narcyza Gryzla, ul. Stefana Grota Roweckiego do rzeki Dobrzynki, , ul. Grobelna, ul. Zamkowa, ul. Warszawska do ul. Konstantynowskiej, ul. Widzewska."
"Rada Powiatu Pabianickiego";"100800";"5";"3";"4";"24";"14577";"Miasto Konstantynów Łódzki"
"Rada Powiatu Pabianickiego";"100800";"6";"6";"4";"43";"25909";"Gmina Dłutów, Gmina Dobroń, Gmina Ksawerów, Gmina Lutomiersk, Gmina Pabianice"
"Rada Powiatu Pajęczańskiego";"100900";"1";"4";"5";"35";"10508";"gm. Działoszyn"
"Rada Powiatu Pajęczańskiego";"100900";"2";"3";"5";"25";"7546";"gm. Siemkowice, gm. Kiełczygłów"
"Rada Powiatu Pajęczańskiego";"100900";"3";"3";"4";"24";"7846";"gm. Strzelce Wielkie, gm. Nowa Brzeźnica"
"Rada Powiatu Pajęczańskiego";"100900";"4";"4";"4";"32";"9712";"gm. Pajęczno"
"Rada Powiatu Pajęczańskiego";"100900";"5";"3";"5";"25";"7654";"gm. Rząśnia, gm. Sulmierzyce"
"Rada Powiatu w Piotrkowie Trybunalskim";"101000";"1";"3";"6";"35";"9829";"obszar gmin:, Aleksandrów, Ręczno, Łęki Szlacheckie"
"Rada Powiatu w Piotrkowie Trybunalskim";"101000";"2";"6";"6";"67";"19598";"obszar gmin:, Czarnocin, Moszczenica, Wolbórz"
"Rada Powiatu w Piotrkowie Trybunalskim";"101000";"3";"5";"6";"59";"16424";"Obszar gmin:, Gorzkowice, Rozprza"
"Rada Powiatu w Piotrkowie Trybunalskim";"101000";"4";"4";"5";"40";"13910";"Obszar gmin, Grabica, Wola Krzysztoporska"
"Rada Powiatu w Piotrkowie Trybunalskim";"101000";"5";"3";"6";"34";"12583";"obszar gminy i miasta Sulejów"
"Rada Powiatu w Poddębicach";"101100";"1";"6";"4";"48";"13034";"gmina Poddębice"
"Rada Powiatu w Poddębicach";"101100";"2";"3";"4";"22";"6104";"gmina Uniejów "
"Rada Powiatu w Poddębicach";"101100";"3";"3";"4";"24";"5133";"gmina Wartkowice "
"Rada Powiatu w Poddębicach";"101100";"4";"5";"4";"36";"10488";"gmina Dalików, gmina Pęczniew, gmina Zadzim "
"Rada Powiatu Radomszczańskiego";"101200";"1";"9";"8";"118";"39940";"Miasto Radomsko"
"Rada Powiatu Radomszczańskiego";"101200";"2";"3";"6";"31";"13707";"Gminy: Gidle, Ładzice, Radomsko"
"Rada Powiatu Radomszczańskiego";"101200";"3";"3";"6";"29";"11725";"Gminy: Dobryszyce, Kamieńsk, Lgota Wielka"
"Rada Powiatu Radomszczańskiego";"101200";"4";"4";"6";"38";"15867";"Gminy: Gomunice, Kodrąb, Kobiele Wielkie, Masłowice"
"Rada Powiatu Radomszczańskiego";"101200";"5";"4";"6";"39";"14759";"Gminy: Przedbórz, Wielgomłyny, Żytno"
"Rada Powiatu Rawskiego";"101300";"1";"6";"5";"56";"14686";"Miasto Rawa Mazowiecka"
"Rada Powiatu Rawskiego";"101300";"2";"4";"5";"33";"9412";"Gmina i Miasto Biała Rawska"
"Rada Powiatu Rawskiego";"101300";"3";"3";"5";"24";"6862";"Gmina Rawa Mazowiecka"
"Rada Powiatu Rawskiego";"101300";"4";"4";"5";"30";"9407";"Gminy: Cielądz, Regnów, Sadkowice"
"Rada Powiatu Sieradzkiego";"101400";"1";"9";"4";"72";"36233";"Miasto Sieradz"
"Rada Powiatu Sieradzkiego";"101400";"2";"3";"4";"24";"12113";"Miasto i Gmina Błaszki"
"Rada Powiatu Sieradzkiego";"101400";"3";"3";"3";"18";"10496";"Miasto i Gmina Warta"
"Rada Powiatu Sieradzkiego";"101400";"4";"3";"4";"20";"12595";"Gminy: Sieradz i Burzenin"
"Rada Powiatu Sieradzkiego";"101400";"5";"4";"5";"31";"14539";"Gminy: Brzeźnio, Goszczanów, Wróblew"
"Rada Powiatu Sieradzkiego";"101400";"6";"3";"4";"21";"11777";"Gminy: Złoczew, Brąszewice, Klonowa"
"Rada Powiatu w Skierniewicach";"101500";"1";"8";"6";"84";"16575";"Gmina Maków, Gmina Lipce Reymontowskie, Gmina Słupia, Gmina Głuchów, Gmina Godzianów, "
"Rada Powiatu w Skierniewicach";"101500";"2";"3";"6";"34";"5614";"Gmina Skierniewice, "
"Rada Powiatu w Skierniewicach";"101500";"3";"4";"5";"36";"8450";"Gmina Bolimów, Gmina Nowy Kawęczyn, Gmina Kowiesy, "
"Rada Powiatu w Tomaszowie Mazowieckim";"101600";"1";"3";"4";"24";"11581";"Miasto Tomaszów Mazowiecki, ULICE: , Bardowskiego, Barlickiego, Bohuszewiczówny, Chłodna, Ciasna, Ciesielska, Cmentarna, Dojazd, Dubois, Dzieci Polskich, Dywanowa, Fabryczna, Farbiarska, T. Gabrysiewicz, Górna, Gen. J. Hallera, Handlowa, Koplina, O. M. Kolbe, Kombatantów, Krótka, Kwiatowa, Legionów od nr 1 do 35a i od nr 2 do nr 32, Letnia, Literacka, Mielczarskiego, Milenijna, Mostowa, Murarska, Plac Narutowicza, Niebrowska, Obwodowa, Orzeszkowej, Ostrowskiego, Paszkowskiego, Aleja Marszałka J. Piłsudskiego, Poprzeczna, Przemysłowa, Przędzalniana, Ruda, Rybaki, Siedmiodomki, Sienna, Ks. I. Skorupki, Smutna, Spacerowa, Sowińskiego, Szarych Szeregów,  Śląska, Środkowa, Świeża, Warszawska od nr 49 do 101 i od nr 46 do 108, Widok, Wróblewskiego, Zaułek, Zawadzka, Zbocze, Zdrojowa, Żytnia, "
"Rada Powiatu w Tomaszowie Mazowieckim";"101600";"2";"3";"5";"28";"11909";"Miasto Tomaszów Mazowiecki, ULICE: , Adama, Aliny, Andrzeja, Anny, Barbary, Bartłomieja, W. Białego, Białobrzeska, Boczna, Bogumiła, Borek, Brukowa, Cegielniana, Cekanowska, Celiny, Cezarego, Chopina, Chrobrego, Cisowa, Czarna, Czysta, Damazego, Danuty, Dębowa, Długa, Dobra, Drewniana, Duracza, Dworcowa, S. Dziubałtowskiego, Edwarda, Elżbiety, Flory, Garbarska, Gdyńska, Gęsia, Gliniana, Główna, Gminna, Grażyny, Gen. Grota Roweckiego, Grzegorza, Grzybowa, Haliny, Helska, Henryka, Henrykowska, S. Hojnowskiego, Hubala, Ignacego, Ireny, Jadwigi, Jagiellońska, Jana, Jasna, Jelenia, Jerzego, Joanny, Jolanty, S. Kałużyńskiego, Kamienna, Kamila, Katarzyny, Kępa, Kilińskiego, Klonowa, Kolejowa, H. Kołłątaja, Konopnickiej, Konstytucji 3-go Maja, Kopalna, , Plac Kopernika, Koszykowa, Kowalska, Krańcowa, Krawiecka, Kręta, Krucza, Krzywa, Kwarcowa, Lecha, Leśna, Lipowa, Lisia, Lubocheńska, Luboszewska, Lucyny, Ludwikowska, Łączna, B. A. Łozińskiego, Łucji, Łukasza, Macieja, Magdaleny, Michałowska, Mickiewicza, Młodzieżowa, Modrzewskiego od nr 5 do końca, Myśliwska, Nadrzeczna, Narewskiego, Na Skarpie, Natalii, J. U. Niemcewicza, Nikodema, Nowa, Nowowiejska od nr 29 do 41 i od nr 28 do nr 40/42, Odległa, Odkrywkowa, Okopowa, Okrzei, Olgi, Opoczyńska, Orla, Pauliny, Pawła, Peryferyjna, Piaskowa, Piastowska, P. Pliszczyńskiego, Podgórna, Podoba, Ks. J. Popiełuszki, Północna, Pułaskiego, 25 Pułku Armii Krajowej, Radomska, Radosna, Rawska, M. Reja, Renaty, Robotnicza, Romana, Romanówek, Równa, Sabiny, Sierakowskiego, M.C. Skłodowskiej, Smardzewicka, Smolna, Sosnowa, Spalska, Spokojna, Staszica, Stefana, B. Stolarskiego, Strefowa, Sucha, Sypka, Szczęśliwa, Szeroka, Szewska, Szklarska, Szymanówek, Ślusarska, Tamka, Teresy, Tomasza, Torowa, Traugutta, Twarda, Tuwima, Ugaj, Ujezdzka, Utrata, Wacława, Wapienna, Warszawska od nr 1 do 47 i od nr 2 do 44 i od nr 103 do końca i od nr 110 do końca, Wąwalska, Wilcza, W. Witosa, Włókiennicza, Wolna, Wrzosowa, Wspólna, Wysoka, Wzgórze, Zajęcza, Zakątna, Zgodna, Ziemowita, Żelazna, Żeromskiego, Żurawia, Żwirowa, Źródlana, "
"Rada Powiatu w Tomaszowie Mazowieckim";"101600";"3";"4";"5";"36";"14099";"Miasto Tomaszów Mazowiecki, ULICE:, Akacjowa, Św. Antoniego, Armii Krajowej, Biernackiego, Bociania, Boh. 14-tej Brygady, Browarna, Bukowa, Chemików, Czołgistów, Dolna, B. Głowackiego, Grabowa, Hoża, Inżynierska, Jałowcowa, Jodłowa, Jarzębinowa, Kasztanowa, Leszczynowa, Łąkowa, Majowa, O. A. Małkowskich, Mazowiecka, Miła, Mireckiego, Modra, Modrzewskiego od nr 1-4, Morelowa, , Prez. I. Mościckiego, Nadpiliczna, Niecała, Niska, Nowowiejska od nr 1 do nr 27 i od nr 2 do nr 26, Nowy Port, Osiedlowa, Parkowa, P.C.K., Partyzantów, Piękna, P.O.W., Prosta, Prof. T. Seweryna, Sikorskiego, Strzelecka, Ściegiennego, Świerkowa, Techniczna, Topolowa, Ustronie, Wiejska, Willowa, Wodna, Zacisze, Zagajnikowa, Zapiecek, "
