"Electoral institution";"Teritorial code";"Constituency no";"Mandates quantity";"Committees quantity";"Candidates quantity";"Electorals quantity";"Constituency boundaries"
"Sejmik Województwa Łódzkiego";"100000";"1";"5";"10";"82";"314053";"Miasto Łódź: Okręg obejmuje obszar od zbiegu północnej granicy Miasta i torów PKP trasy Łódź-Widzew – Zgierz, następnie w kierunku południowym wzdłuż torów PKP do ul. Bema, ul. Bema – numery parzyste do ul. Zgierskiej, ul. Zgierską – numery parzyste do ul. Julianowskiej, ul. Julianowską – numery nieparzyste, następnie ul. Inflancką – numery nieparzyste do skrzyżowania ul. Strykowskiej z torami PKP trasy Łódź-Widzew – Zgierz, wzdłuż torów PKP do ul. Telefonicznej, ul. Telefoniczną – numery parzyste do al. Grzegorza Palki (d. ul. Strykowskiej), al. Grzegorza Palki (d. ul. Strykowską) – numery parzyste do ul. Źródłowej, ul. Źródłową – numery parzyste do  ul. Dwernickiego, ul. Dwernickiego – numery parzyste do ul. Północnej, ul. Północną – numery parzyste do ul. Kilińskiego (z włączeniem ul. Kilińskiego nr 2), ul. Kilińskiego – numery nieparzyste do granicy stacji PKP Łódź-Fabryczna, następnie wzdłuż południowej granicy stacji PKP do torów trasy Łódź-Fabryczna – Koluszki, dalej wzdłuż torów do ul. Targowej, ul. Targową – numery nieparzyste do ul. Tuwima, ul. Tuwima – numery parzyste do ul. Dowborczyków, ul. Dowborczyków – numery nieparzyste do al. Piłsudskiego, dalej al. Piłsudskiego – numery parzyste do ul. Kilińskiego, ul. Kilińskiego – numery nieparzyste do ul. Tymienieckiego, ul. Tymienieckiego – numery parzyste, następnie w kierunku południowo-zachodnim przez teren d. ZPB „Uniontex” do ul. Piotrkowskiej, ul. Piotrkowską – numery nieparzyste do ul. Czerwonej, ul. Czerwoną – numery nieparzyste do ul. Wólczańskiej, ul. Wólczańską – numery nieparzyste do ul. Wróblewskiego, ul. Wróblewskiego – numery nieparzyste do torów PKP trasy Łódź-Kaliska – Łódź-Chojny, dalej wzdłuż torów PKP do rzeki Jasień, następnie  wzdłuż rzeki Jasień do ul. Prądzyńskiego, ul. Prądzyńskiego – numery nieparzyste do wschodniej granicy lotniska Lublinek, dalej wzdłuż wschodniej, północnej i zachodniej granicy lotniska Lublinek do ul. Ikara, ul. Ikara – numery parzyste do  ul. Biwakowej, ul. Biwakową – numery nieparzyste i przedłużeniem ul. Biwakowej do zbiegu ul. Maratońskiej i granicy Łodzi z gminą Pabianice, dalej wzdłuż granicy Łodzi w kierunku północnym do ul. Zadraż, dalej od zbiegu ul. Zadraż i ul. Szczecińskiej wzdłuż granicy Łodzi z gminą  Aleksandrów Łódzki, dalej wzdłuż zachodnio-północnej granicy miasta do torów PKP trasy Łódź-Widzew – Zgierz."
"Sejmik Województwa Łódzkiego";"100000";"2";"5";"11";"88";"283840";"Miasto Łódź: Okręg obejmuje obszar od zbiegu północnej granicy miasta i torów PKP trasy Łódź-Widzew – Zgierz, dalej wzdłuż północno-wschodniej granicy Miasta do ul. Ziemiańskiej, dalej wzdłuż wschodniej granicy Łodzi do jej zbiegu z linią rozdzielającą prawnie tereny dawnych wsi Józefów i Bronisin, dalej wzdłuż południowej granicy Łodzi do zbiegu przedłużenia ul. Biwakowej i ul. Maratońskiej z gminą Pabianice, następnie przedłużeniem ul. Biwakowej i ul. Biwakową – numery parzyste do ul. Ikara, ul. Ikara – numery nieparzyste do granicy lotniska Lublinek, dalej wzdłuż zachodniej, północnej i wschodniej granicy lotniska Lublinek do ul. Prądzyńskiego, ul. Prądzyńskiego – numery parzyste do rzeki Jasień, następnie wzdłuż rzeki Jasień do torów PKP trasy Łódź-Kaliska – Łódź-Chojny, dalej wzdłuż torów PKP do ul. Wróblewskiego, ul. Wróblewskiego – numery parzyste do ul. Wólczańskiej, ul. Wólczańską – numery parzyste do ul. Czerwonej, ul. Czerwoną – numery parzyste do ul. Piotrkowskiej, ul. Piotrkowską – numery parzyste do d. ZPB „Uniontex”, następnie w kierunku północno-wschodnim przez teren d. ZPB „Uniontex” do ul. Tymienieckiego, ul. Tymienieckiego – numery nieparzyste do ul. Kilińskiego, ul. Kilińskiego – numery parzyste do al. Piłsudskiego, dalej al. Piłsudskiego – numery nieparzyste do ul. Dowborczyków, ul. Dowborczyków – numery parzyste do ul. Tuwima, ul. Tuwima – numery nieparzyste do ul. Targowej, ul. Targową – numery parzyste do torów PKP trasy Łódź-Fabryczna – Koluszki, następnie wzdłuż południowej granicy stacji PKP Łódź-Fabryczna do ul. Kilińskiego, ul. Kilińskiego – numery parzyste (wyłączając nr 2) do ul. Północnej, ul. Północną – numery nieparzyste do ul. Dwernickiego, ul. Dwernickiego – numery nieparzyste do ul. Źródłowej, ul. Źródłową – numery nieparzyste do  al. Grzegorza Palki (d. ul. Strykowskiej), al. Grzegorza Palki (d. ul. Strykowską) – numery nieparzyste do ul. Telefonicznej, ul. Telefoniczną – numery nieparzyste do torów PKP trasy Łódź-Widzew – Zgierz, następnie wzdłuż torów PKP trasy Łódź-Widzew – Zgierz do ul. Strykowskiej, ul. Inflancką – numery parzyste, ul. Julianowską – numery parzyste do ul. Zgierskiej, ul. Zgierską – numery nieparzyste do ul. Bema, ul. Bema – numery nieparzyste do torów PKP trasy Łódź-Widzew – Zgierz, następnie w kierunku  północnym wzdłuż torów PKP do granic Miasta Łodzi."
"Sejmik Województwa Łódzkiego";"100000";"3";"6";"10";"99";"327531";"powiaty: kutnowski, łowicki, łęczycki, zgierski"
"Sejmik Województwa Łódzkiego";"100000";"4";"8";"11";"116";"468504";"powiaty: poddębicki, pabianicki, łaski, zduńskowolski, sieradzki, wieruszowski, wieluński, pajęczański"
"Sejmik Województwa Łódzkiego";"100000";"5";"7";"11";"112";"376752";"powiaty: łódzki wschodni, bełchatowski, radomszczański, piotrkowski, miasto Piotrków Trybunalski"
"Sejmik Województwa Łódzkiego";"100000";"6";"5";"11";"88";"297047";"powiaty: brzeziński, skierniewicki, rawski, tomaszowski, opoczyński, miasto Skierniewice"
"Rada Powiatu w Bełchatowie";"100100";"1";"6";"5";"60";"22832";"Osiedle Dolnośląskie bloki: 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 204, 222, 223, 224, 225, 226, 227, 228, 229, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, Osiedle Łąkowa, Ulice: Aleja. Ks. Kard. Wyszyńskiego nr 40 i 44, Al. Włókniarzy, Aliny, J. Bema, Braci Śniadeckich, F. Chopina, Cmentarna, Czapliniecka, Edwardów, Grabowa, Grażyny, Arkadiusza Gołasia, Bolesława Gotwalda, Juranda, Kątna, Ketlinga, Klonowa, Kmicica, Haliny Konopackiej, Kossaka, Kotarbińskiego, Stanisława Królaka, Jerzego Kukuczki, Janusza Kusocińskiego, płk Ryszarda Kuklińskiego, Lipowa, Leśna, Łagodna, Henryka Łasaka, Łączna, Łąkowa, W. Malczewskiej, Bronisława Malinowskiego, Heleny Marusarzówny, Męczenników Katyńskich, Michałowskiego, Miodowa, Mokra, Moniuszki, Myśliwska, Piaskowa, E. Plater, Podgórze, Pod Ługami, Przejazd, Wł. Rodziewicza, Wandy Rutkiewicz, Sercańska, Janusza Sidły, Wł. Sikorskiego, M. Curie Skłodowskiej, Skrzetuskiego, Spokojna, Feliksa Stamma, Tadeusza Ślusarskiego, Transportowa, Ustronie, Weigla, Wołodyjowskiego, Wrzosowa, Wyspiańskiego, Zacisze, Zakątek, Zagłoby, Żymierskiego, Osiedle Dolnośląskie bloki: 201, 202, 203, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, Ulice: Aleje Jana Pawła II, Aleja Ks. Kardynała Wyszyńskiego 4, 6 i 10, A. Asnyka, , K.K. Baczyńskiego, Wł. Broniewskiego, J. Brzechwy, B. Chrobrego, Bronisława Czecha, Energetyków, Kazimierza Deyny, , W. Gombrowicza, Kazimierza Górskiego, Grabskiego, Graniczna, Joachima Halupczoka, Hubala, Wł. Jagiełły, Edwarda Jancarza, Kaczeńcowa, Kletnia, Władysława Komara, Konwaliowa, J. Korczaka, Królowej Jadwigi, B. Leśmiana, Liliowa, Ludwikowska, Wł. Łokietka, C. K. Norwida, I.J. Paderewskiego, Piastowska, Pod Górami, B. Prusa, Wł. St. Reymonta, Różana, J. Słowackiego, Spacerowa, L. Staffa, J. Tuwima, Huberta Wagnera, Wesoła, Wojska Polskiego od nr 1 do 147 i od nr 2 do 128 ( do nasypu kolejowego), Wycieczkowa, Zamoście od nr 85 do końca i od nr 78 do końca, Zalesie, Zawilcowa, St. Żeromskiego., "
"Rada Powiatu w Bełchatowie";"100100";"2";"7";"5";"69";"26919";"Osiedle Okrzei bloki:1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 112 (segmenty), Osiedle Słoneczne, Ulice: Aleja A. M. Ampera, Antracytowa, Armii Krajowej, Berylowa, Brylantowa, Brzozowa, W. Budryka, Bugaj, Bursztynowa, Daleka, Diamentowa, Cicha, Ciepłownicza, J. Chełmońskiego, Częstochowska, Fryzego, Goetla, Groszkowskiego, Jasna, Kalcytowa, Karbońska, Jana Kiepury, Kolejowa, K. Kopeckiego, W. Korfantego, Józefa Kraszewskiego, Kredowa, Kwarcowa, , 11 Listopada, Miedziana, Milenijna, Mioceńska, A.J. Morawskiego, Morenowa, Mostowa, Nefrytowa, L. Nehrebeckiego, Obr. Gór Borowskich, Okrzei, Ogrodowa, Opalowa, Platynowa, Piotrkowska, Pl. Ks. T. Kwarto, Polarna, Południowa, Powstańców 1863, Powstańców Śląskich, Powstańców Wielkopolskich, Pożaryskiego, Promienna, Przemysłowa, Radomszczańska, Rynek Grocholski, Rzymowskiego, Skaleniowa, Smugowa, Solna, Srebrna, Szafirowa, Szkolna, Szmaragdowa, St. Szpora, K. Szpotańskiego, Świętej Barbary, Świętej Kingi, Św. Maksymiliana Kolbe, Św. Faustyny Kowalskiej, Świętojańska, Świętokrzyska, Tęczowa, Tkacka, Turkusowa, Tylna, Uskok, Węglowa, Wichrowa, Wojska Polskiego od nr 130 i 149 do końca, Zamoście od nr 1 do nr 83 i od nr 2 , do nr 76, Zdzieszulicka, Złota, Osiedle Budowlanych, Osiedle Czaplinieckie, Osiedle 1 Maja, Osiedle M. Konopnickiej, , Osiedle 1000- lecia, Osiedle Wolność, Osiedle Żołnierzy POW bloki :1, 2, 3, 4, 4a, 5, 6, 6a, 8, 9, 10, 11, 12, 15, 16, Ulice: Akacjowa, Batorego, Bawełniana, Boczna, Dąbrowskiego, Cegielniana, Chabrowa, Chełmińska, Czereśniowa, Dębowa, Dolna, Dzika, Fabryczna, , Gen. Czyżewskiego, gen. Janusza Głuchowskiego, Gen. Grota-Roweckiego, Gliniana, Górna, Grzybowa, Harcerska, Iglasta, Jagodowa, Jaworowa, Jarzębinowa, Jesienna, Jesionowa, Jęczmienna, Jutrzenki, Kaczkowskiego, Kalinowa, Kaliska, Kasztanowa, Kaszubska, Krótka, Kempfinówka, Kopernika, Kościuszki, Kręta, Ks. Popiełuszki, Ks. Piotra Skargi, Ks. Ignacego Skorupki, Kujawska, Kurpiowska, Kwiatowa, Lazurowa, Leszczynowa, Letnia, Lniana, Łęczycka, Łowicka, Łódzka, 1 Maja, 9 Maja, Malinowa, Małopolska, Matejki, Mazowiecka, Mazurska, Mickiewicza, Mielczarskiego, Modra, Modrzewiowa, Nadrzeczna, Niecała, Nowa, Olchowa, Olsztyńska, Owocowa, Orzechowa, Pabianicka, J. Piłsudskiego, Plac Narutowicza, Plac Wolności, Poziomkowa, Podmiejska, Podlaska, Podleśna, Pogodna, Pojezierska, Polna, Pomorska, Poranna, Północna, Przedwiośnie, Pszeniczna, Pusta, Rodziny Hellwigów, Rolna, Rzemieślnicza, Sadowa, Sarnia, Sienkiewicza, Sieradzka, Siewna, Słoneczna, Sportowa, Staszica, 19 Stycznia, Św. Stanisława Biskupa, Św. Alberta Chmielowskiego, Targowa, Topolowa, Warmińska, Warszawska, Wąska, J. Wieczorkiewicza, Wielkopolska, Wiejska, Wiosenna, Wiśniowa, Wincentego Witosa, Wodna, Wschodnia, Wspólna, Zajęcza, Zielona, Zimowa, Żabia, Zbożowa, Żniwna, Żuławska, Żytnia., "
"Rada Powiatu w Bełchatowie";"100100";"3";"3";"5";"30";"12270";"Gmina Zelów"
"Rada Powiatu w Bełchatowie";"100100";"4";"3";"5";"30";"12163";"Gmina Bełchatów, gmina Drużbice"
