"Electoral institution";"Teritorial code";"Constituency no";"Mandates quantity";"Committees quantity";"Candidates quantity";"Electorals quantity";"Constituency boundaries"
"Sejmik Województwa Pomorskiego";"220000";"1";"7";"10";"102";"382491";"1. Słupsk - miasto na prawach powiatu, 2. Powiat Słupski, 3. Powiat Lęborski, 4. Powiat Bytowski, 5. Powiat Człuchowski, 6. Powiat Chojnicki"
"Sejmik Województwa Pomorskiego";"220000";"2";"8";"13";"134";"438874";"1. Gdynia - miasto na prawach powiatu, 2. Sopot - miasto na prawach powiatu, 3. Powiat Pucki, 4. Powiat Wejherowski"
"Sejmik Województwa Pomorskiego";"220000";"3";"7";"12";"116";"360224";"1. Gdańsk - miasto na prawach powiatu"
"Sejmik Województwa Pomorskiego";"220000";"4";"6";"10";"95";"308249";"1. Powiat Kartuski, 2. Powiat Kościerski, 3. Powiat Gdański, 4. Powiat Starogardzki"
"Sejmik Województwa Pomorskiego";"220000";"5";"5";"10";"79";"266125";"1. Powiat Tczewski, 2. Powiat Nowodworski, 3. Powiat Malborski, 4. Powiat Sztumski, 5. Powiat Kwidzyński"
"Rada Powiatu Bytowskiego";"220100";"1";"6";"5";"60";"19128";"Gmina Bytów"
"Rada Powiatu Bytowskiego";"220100";"2";"5";"5";"50";"15915";"Gmina Miastko"
"Rada Powiatu Bytowskiego";"220100";"3";"4";"5";"39";"12558";"Gminy: Tuchomie, Lipnica, Parchowo, Studzienice"
"Rada Powiatu Bytowskiego";"220100";"4";"4";"5";"40";"12956";"Gminy: Czarna Dąbrówka, Borzytuchom, Kołczygłowy, Trzebielino"
"Rada Powiatu Chojnickiego";"220200";"1";"9";"6";"85";"31924";"Tereny gminy miejskiej Miasto Chojnice"
"Rada Powiatu Chojnickiego";"220200";"2";"4";"6";"41";"14625";"Tereny gmin Konarzyny i gminy wiejskiej Chojnice"
"Rada Powiatu Chojnickiego";"220200";"3";"3";"5";"29";"10322";"Misto i gmina Brusy"
"Rada Powiatu Chojnickiego";"220200";"4";"5";"5";"37";"16317";"Teren miasta i gminy Czersk"
"Rada Powiatu Człuchowskiego";"220300";"1";"4";"5";"32";"11894";"W granicach administracyjnych miasta Człuchów"
"Rada Powiatu Człuchowskiego";"220300";"2";"3";"3";"17";"7360";"W granicach administracyjnych gminy Czarne"
"Rada Powiatu Człuchowskiego";"220300";"3";"3";"3";"18";"7956";"W granicach administracyjnych gminy Człuchów"
"Rada Powiatu Człuchowskiego";"220300";"4";"3";"2";"12";"7339";"W granicach administracyjnych gminy Debrzno"
"Rada Powiatu Człuchowskiego";"220300";"5";"4";"3";"19";"10828";"W granicach administracyjnych gminy Koczała, Przechlewo, Rzeczenica"
"Rada Powiatu Gdańskiego";"220400";"1";"6";"4";"38";"20758";"Miasto Pruszcz Gdański"
"Rada Powiatu Gdańskiego";"220400";"2";"4";"4";"24";"14501";"Gminy: Cedry Wielkie, Pszczółki, Suchy Dąb"
"Rada Powiatu Gdańskiego";"220400";"3";"3";"4";"19";"10496";"Gmina Kolbudy"
"Rada Powiatu Gdańskiego";"220400";"4";"4";"4";"25";"11817";"Gminy: Przywidz, Trąbki Wielkie"
"Rada Powiatu Gdańskiego";"220400";"5";"4";"5";"29";"15333";"Gmina Pruszcz Gdański"
"Rada Powiatu Kartuskiego";"220500";"1";"6";"7";"45";"21507";"Gminy: Chmielno, Sierakowice, Sulęczyno"
"Rada Powiatu Kartuskiego";"220500";"2";"6";"7";"59";"24097";"Gmina Kartuzy"
"Rada Powiatu Kartuskiego";"220500";"3";"7";"6";"53";"26525";"Gminy: Przodkowo, Żukowo"
"Rada Powiatu Kartuskiego";"220500";"4";"4";"6";"39";"13728";"Gminy: Somonino, Stężyca"
