"Electoral institution";"Teritorial code";"Constituency no";"Mandates quantity";"Committees quantity";"Candidates quantity";"Electorals quantity";"Constituency boundaries"
"Rada Powiatu Kościerskiego";"220600";"1";"6";"4";"48";"18445";"Miasto Kościerzyna"
"Rada Powiatu Kościerskiego";"220600";"2";"4";"4";"32";"10778";"Gmina Kościerzyna"
"Rada Powiatu Kościerskiego";"220600";"3";"4";"4";"30";"10491";"Gmina Lipusz, Dziemiany, Karsin"
"Rada Powiatu Kościerskiego";"220600";"4";"5";"4";"40";"13549";"Gmina Nowa Karczma, Liniewo, Stara Kiszewa"
"Rada Powiatu Kwidzyńskiego";"220700";"1";"10";"4";"66";"29948";"Miasto Kwidzyn"
"Rada Powiatu Kwidzyńskiego";"220700";"2";"3";"4";"22";"10427";"Gmina Prabuty"
"Rada Powiatu Kwidzyńskiego";"220700";"3";"4";"3";"24";"10855";"Gminy Gardeja i Sadlinki"
"Rada Powiatu Kwidzyńskiego";"220700";"4";"4";"4";"28";"12698";"Gminy Kwidzyn i Ryjewo"
"Rada Powiatu Lęborskiego";"220800";"1";"10";"6";"96";"27988";"Lębork"
"Rada Powiatu Lęborskiego";"220800";"2";"3";"6";"31";"7802";"Łeba, Wicko"
"Rada Powiatu Lęborskiego";"220800";"3";"6";"6";"56";"15296";"Cewice, Nowa Wieś Lęborska"
"Rada Powiatu Malborskiego";"220900";"1";"5";"5";"43";"15092";"Miasto Malbork 1 -  Agrestowa, Akacjowa, Akademicka, Aleja Wojska Polskiego, Gen. Andersa, Boczna, Brukowa, Brzozowa,  Bukowa, Bydgoska, Ceglana, Chopina, Ciepła, Daleka, Dąbrowskiego, Działkowa, Elbląska, Głogowa, Główna, Gen. Grota Roweckiego,  Grudziądzka, Jaśminowa, Jesionowa, Kielecka, Jana Kiepury, Klonowa,  Koszykowa, Kościelna, Krajewskiego, Krzywa, Kwidzyńska, Leśna,  Lotnicza, Lubelska, Łąkowa, Sportowa, Gen. Maczka, Malinowa,  Marszałkowska, Młodych, Nogatowa, Ogrodowa, Okopowa, Piaskowa,  Piastowska, Pomorska, Parkowa, Porzeczkowa, Rakowiec, Reja,  Saperów, Solskiego, Stare Miasto, Starościńska, Szymanowskiego,  Tczewska, Toruńska, Wałowa, Warszawska, Warsztatowa, Wąska,  Wierzbowa, Wilcza, Wiosenna, Wiślana, Wołyńska, Wróblewskiego,  Wspólna, Zamkowa, Zieleniecka, Żuławska, 17-go Marca od ulicy  Piłsudskiego do Al. Rodła (obie strony tj. od nr 1 do nr 2 i od nr 31 do  końca), Al. Rodła, Gen. Bema, Dworcowa, Fałata, Jasna, Kościuszki,  Krakowska, Kraszewskiego, Matejki, Mazurów, Orzeszkowej, Plac  Narutowicza, Piłsudskiego, Plac Wyspiańskiego, Poczty Gdańskiej,  Prusa, Reymonta, Sienkiewicza, Skłodowskiej, Warecka, Westerplatte, Witosa, Żelazna, Cisowa, Pilotów, Dębowa, Czereśniowa, Solna, Kwiatowa, Różana, Topolowa"
"Rada Powiatu Malborskiego";"220900";"2";"6";"5";"47";"16302";"Miasto Malbork 2 - Cebertowicza, Chodkiewicza, Chrobrego,  Czerskiego, Dybowskiego, Gen. de Gaulle’a, Jaskółcza, Konopnickiej,  Kotarbińskiego, Krucza, Kwiatkowskiego, Michałowskiego,  Mikołajczyka, Norwida, Nowowiejskiego, Okrzei, Orla, Partyzantów,  Pionierów, Plac Kusocińskiego, Plac Waryńskiego, Pomianowskiego,  Poznańska, Rolnicza, Sadowa, Sikorskiego, Słoneczna, Słowicza,  Sucharskiego, Torowa, Wybickiego, 17-go Marca od Al. Rodła do ul.  Pasteura (obie strony tj. od nr 6 do nr 32), 500-Lecia, Admiralicji, Aleja  Armii Krajowej, Aleja Sprzymierzonych, Asnyka, Bałtycka, Batorego,  Bażyńskiego, Broniewskiego, Dąbrówki, Derdowskiego, Dygata,  Gałczyńskiego, Głowackiego, Góralska, Grunwaldzka, Gen. Hallera,  Jagiellońska, Jagiełły, Jana III Sobieskiego, Kasprowicza,  Kochanowskiego, Kopernika, Korczaka, Kostki, Koszalińska, Krótka,  Mała, Mazowiecka, Mickiewicza, Mieszka I, Morska, Na Skarpie,  Pasteura, Plac 3 Maja, Plac Małachowskiego, Plac Słowiański, Plac  Staffa, Plac Wolności, Plac Zamenhofa, Pola, Polna, Poprzeczna,  Prądzyńskiego, Pstrowskiego, Pułaskiego, Gen. Raczkiewicza,  Rodziewiczówny, Rzemieślnicza, Słowackiego, Słupecka, Struga,  Szeroka, Targowa, Teligi, Tuwima, Urocza, Wejhera, Wileńska,  Włościańska, Zaciszna, Zagórna, Zakopiańska, Zapolskiej, Zygmunta  Starego, Żeglarska, Żeromskiego, Bronisława Czecha, Stanisława  Hadyny, Jana Pawła II, Stefana Jaracza, Bolesława Krzywoustego,  Haliny Konopackiej, Heleny Marusarzówny, Heleny Modrzejewskiej,  Olimpijczyków, Hanki Ordonówny, Bolesława Śmiałego, Kazimierza  Wielkiego, Stanisławy Walasiewiczówny, Żwirki i Wigury, Henryka  Łasaka, Bronisława Malinowskiego, Feliksa Stamma, Mariana  Smoluchowskiego, Kardynała Stanisława Wyszyńskiego, Piękna, Miła, Widokowa, Skwer Esperanto, Św. Faustyny Kowalskiej"
"Rada Powiatu Malborskiego";"220900";"3";"8";"5";"64";"19479";"Gminy: Nowy Staw, Lichnowy, Miłoradz, Malbork, Stare Pole"
"Rada Powiatu Nowodworskiego";"221000";"1";"8";"9";"119";"14377";"Miasto i Gmina Nowy Dwór Gdański"
"Rada Powiatu Nowodworskiego";"221000";"2";"7";"8";"90";"14542";"Gminy: Ostaszewo, Sztutowo, Stegna, Miasto Krynica Morska"
"Rada Powiatu Puckiego";"221100";"1";"6";"5";"43";"18354";"Miasta: Hel, Jastarnia, Władysławowo"
"Rada Powiatu Puckiego";"221100";"2";"3";"4";"18";"9171";"Miasto Puck"
"Rada Powiatu Puckiego";"221100";"3";"10";"5";"79";"32653";"Gminy: Kosakowo, Krokowa i Puck"
"Rada Powiatu Słupskiego";"221200";"1";"3";"4";"22";"10393";"gmina Damnica, gmina Potęgowo"
"Rada Powiatu Słupskiego";"221200";"2";"5";"4";"32";"16295";"gmina Smołdzino, gmina Główczyce, gmina Ustka"
"Rada Powiatu Słupskiego";"221200";"3";"5";"4";"30";"19040";"gmina Słupsk, gmina Dębnica Kaszubska"
"Rada Powiatu Słupskiego";"221200";"4";"4";"4";"29";"15592";"gmina Kępice, gmina Kobylnica"
"Rada Powiatu Słupskiego";"221200";"5";"4";"4";"28";"13497";"miasto Ustka"
"Rada Powiatu Starogardzkiego";"221300";"1";"3";"5";"28";"13599";"Miasto Czarna Woda, Gmina Kaliska, Gmina Osieczna, Gmina Lubichowo"
"Rada Powiatu Starogardzkiego";"221300";"2";"10";"5";"87";"37790";"Miasto Starogard Gdański"
"Rada Powiatu Starogardzkiego";"221300";"3";"6";"5";"53";"21516";"Gmina Bobowo, Gmina Starogard Gdański, Gmina Zblewo"
"Rada Powiatu Starogardzkiego";"221300";"4";"3";"5";"27";"12488";"Gmina Osiek, Gmina Skórcz, Miasto Skórcz, Gmina Smętowo Graniczne"
"Rada Powiatu Starogardzkiego";"221300";"5";"3";"5";"27";"10831";"Gmina Skarszewy"
"Rada Powiatu Tczewskiego";"221400";"1";"5";"5";"46";"20452";"miasto Tczew 1 - osiedla: Staszica, Zatorze, Stare Miasto, Czyżykowo, Za Parkiem,  Bema, Górki, Kolejarz"
"Rada Powiatu Tczewskiego";"221400";"2";"7";"6";"71";"26889";"miasto Tczew 2 - osiedla: Garnuszewskiego, Nowe Miasto, Prątnica, Bajkowe - Piotrowo,  Suchostrzygi"
"Rada Powiatu Tczewskiego";"221400";"3";"4";"5";"40";"15407";"gminy: Gniew, Morzeszczyn"
"Rada Powiatu Tczewskiego";"221400";"4";"3";"5";"28";"12922";"gmina Pelplin"
"Rada Powiatu Tczewskiego";"221400";"5";"4";"6";"40";"13323";"gminy: Tczew, Subkowy"
"Rada Powiatu Wejherowskiego";"221500";"1";"3";"4";"20";"15916";"miasto: Reda"
"Rada Powiatu Wejherowskiego";"221500";"2";"7";"5";"55";"36244";"miasto: Rumia"
"Rada Powiatu Wejherowskiego";"221500";"3";"7";"5";"64";"37511";"miasto: Wejherowo"
"Rada Powiatu Wejherowskiego";"221500";"4";"3";"4";"21";"13091";"gminy: Choczewo, Łęczyce"
"Rada Powiatu Wejherowskiego";"221500";"5";"5";"4";"35";"24813";"gminy: Linia, Luzino, Szemud"
"Rada Powiatu Wejherowskiego";"221500";"6";"4";"4";"29";"20208";"gminy: Gniewino, Wejherowo"
"Rada Powiatu Sztumskiego";"221600";"1";"4";"5";"34";"7598";"Gmina Dzierzgoń"
"Rada Powiatu Sztumskiego";"221600";"2";"3";"5";"24";"6238";"Gminy: Mikołajki Pomorskie, Stary Dzierzgoń"
"Rada Powiatu Sztumskiego";"221600";"3";"3";"4";"20";"5072";"Gmina Stary Targ"
"Rada Powiatu Sztumskiego";"221600";"4";"7";"5";"64";"14503";"Gmina Sztum"
"Rada Miasta Gdańska";"226101";"1";"6";"7";"61";"59444";"Brzeźno, Nowy Port, Letnica, Młyniska, Stogi (z Przeróbką), Krakowiec-Górki Zachodnie, Wyspa Sobieszewska, Rudniki, Olszynka, Orunia-Św. Wojciech-Lipce "
"Rada Miasta Gdańska";"226101";"2";"8";"9";"87";"83526";"Śródmieście, Chełm (z dzielnicą Gdańsk Południe), Wzgórze Mickiewicza "
"Rada Miasta Gdańska";"226101";"3";"5";"8";"51";"57376";"Siedlce, Suchanino, Piecki – Migowo, Brętowo, Matarnia, Kokoszki"
"Rada Miasta Gdańska";"226101";"4";"5";"8";"56";"52176";"Aniołki, Wrzeszcz, Strzyża"
"Rada Miasta Gdańska";"226101";"5";"5";"9";"58";"49625";"Zaspa Rozstaje, Zaspa Młyniec, Przymorze Wielkie"
"Rada Miasta Gdańska";"226101";"6";"5";"10";"69";"58077";"Przymorze Małe, Żabianka-Wejhera-Jelitkowo-Tysiąclecia, Oliwa, VII Dwór, Osowa"
"Rada Miasta Gdyni";"226201";"1";"6";"4";"47";"41316";"Dzielnice: Babie Doły, Oksywie, Obłuże, Pogórze"
"Rada Miasta Gdyni";"226201";"2";"6";"5";"54";"39451";"Dzielnice: Cisowa, Pustki Cisowskie-Demptowo, Chylonia"
"Rada Miasta Gdyni";"226201";"3";"6";"5";"54";"44392";"Dzielnice: Leszczynki, Grabówek, Działki Leśne, Witomino Radiostacja, Witomino Leśniczówka, Chwarzno-Wiczlino"
"Rada Miasta Gdyni";"226201";"4";"5";"5";"46";"38471";"Dzielnice: Śródmieście, Kamienna Góra, Wzgórze Św. Maksymiliana, Redłowo, Orłowo"
"Rada Miasta Gdyni";"226201";"5";"5";"4";"40";"35011";"Dzielnice: Wielki Kack, Mały Kack, Karwiny, Dąbrowa"
"Rada Miejska w Słupsku";"226301";"1";"7";"10";"106";"23625";"Andersa, Batalionów Chłopskich,  Boya-Żeleńskiego, Bora-Komorowskiego, Braci Gierymskich, Budzyńskiego, Chełmońskiego, Daszyńskiego, Dąbrowskiej, Dmowskiego, Dunikowskiego, Fałata, Fiedlera, Frąckowskiego, Gałczyńskiego, Grabskiego, Grottgera, Herbsta, Iwaszkiewicza, Jagiellońska, Jastruna, Kadłubka, Kochanowskiego, Kossaka, Koszalińska, Kotarbińskiego, Kozłowskiego, Kruczkowskiego, Krzywoustego, Książąt Pomorskich, Kulczyńskiego, 11 Listopada, Legionów Polskich, Limanowskiego, Malczewskiego, Małcużyńskiego, Matejki, Matuszewskiego, Michałowskiego, Nałkowskiej, Narutowicza, Norwida, Paukszty, Pestkowskiego, Piłsudskiego, Powstańców Wielkopolskich, Przybosia, Reja, Romera, Roweckiego „Grota”, Rzymowskiego, Sołdka, Staffa, Struga, Szczecińska, Trusiewicza, Tyszki, Wesołowskiego, Witosa, Wyszyńskiego, Zaborowskiej, Ziemowita, Kołobrzeska"
"Rada Miejska w Słupsku";"226301";"2";"5";"9";"76";"16805";"Anny Gryfitki, Banacha, Batorego, Bogusława X, Chodkiewicza, Chrobrego, Czarnieckiego, Fabryczna, Grażyny, Grunwaldzka, Jana Kazimierza, Konarskiego, Królowej Jadwigi, Leszczyńskiego, Łokietka, 3 Maja, Mochnackiego, Modrzewskiego, Ostroroga, Przemysława II, Rejtana, Piotra Skargi, Sobieskiego, Towarowa, Wazów, Wiatraczna, Władysława IV, Włodkowica, Zamojskiego, Zygmunta Augusta, Żółkiewskiego. Braille'a"
"Rada Miejska w Słupsku";"226301";"3";"6";"10";"89";"19421";"Bema, Plac Broniewskiego, Cecorska, Chocimska, Chopina, Cicha, Plac Dąbrowskiego, Deotymy, Długa, Dominikańska, Drewniana, Filmowa, Grodzka, Jagiełły, Jaracza, Jedności Narodowej, Kasprowicza, Kołłątaja, Konopnickiej, Kopernika, Krasińskiego, Kowalska, Legnicka, Lutosławskiego, Anny Łajming, Łukasiewicza, Małachowskiego, Mickiewicza, Miedziana, Mieszka I, Mikołajska, Moniuszki, Morcinka, Mostnika, Murarska, Niedziałkowskiego, Niemcewicza, Nowobramska, Francesco Nullo, Ogrodowa, Orkana, Paderewskiego, Piekiełko, Płowiecka, Pomorska, Polna, Poniatowskiego, Poprzeczna, Poznańska, Prosta, Prusa, Przemysłowa, Reymonta, Rybacka, Rynek Rybacki, Rzemieślnicza, Sienkiewicza, Słoneczna, Słowackiego, Solskiego, Starzyńskiego, Stary Rynek, Staszica, Wita Stwosza, Sygietyńskiego, Szymanowskiego, Świętopełka, Teatralna, Tuwima, Waryńskiego, Wieniawskiego, Wileńska, Wojska Polskiego, Wolności, Wrocławska, Wyspiańskiego, Zamenhofa, Zielona, Złota, Plac Zwycięstwa, Żelazna, Żeromskiego, Jana Pawła II, Braci Staniuków, Zachodnia"
"Rada Miejska w Słupsku";"226301";"4";"5";"10";"82";"17615";"Akacjowa, Aluchny-Emelianow, Arciszewskiego, Armii Krajowej, Awstrica, Bałtycka, Bauera, Biernackiego, Bogdanowicza, Bohaterów Westerplatte, Borchardta, Borówkowa, Browicza, Brzozowa, Ks. Brzóski, Bukowa, Chłopickiego, Cienista, Cisowa, Curie-Skłodowskiej, Czaplińskiego, Czecha, Dąbrówki, Degi, Dembińskiego, Dębowa, Długosza, Drzymały, Dwernickiego, Gajowa, Garncarska, Gdańska, Gdyńska, Gellerta, Głogowa, Górna, Grucy, Grzybowa, Gwardii Ludowej, Hubalczyków, Jałowcowa, Jarzębinowa, Jasna, Jaśminowa, Jaworowa, Jesionowa, Jodłowa, Jordana, Kalinowa, Kasztanowa, Kaszubska, Kijowskiego, Kilińskiego, Klonowa, Kniaziewicza, Konwaliowa, Kosynierów Gdyńskich, Kościuszki, Kozietulskiego, Krajewskiego, Krofeya, Krzywa, Kusocińskiego, Kwapisza, Kwiatowa, Lelewela, Leśna, Lipowa, Lokajskiego, Lotha, Łady-Cybulskiego, Łąkowa, Madalińskiego, Malinowa, Marusarzówny, Mierosławskiego, Młyńska, Modrzejewskiego, Modrzewiowa, Myśliwska, Nad Śluzami, Na Skarpie, Na Wzgórzu, Nowowiejska, Obrońców Wybrzeża, Ojca Pio, Olchowa, Olimpijska, Orłowicza, Orłowskiego, Orzeszkowej, Owocowa, Pałubickiego, Parkowa, Partyzantów, Piastów, Henryka Pobożnego, Podchorążych, Podgórna, Pogodna, Pojdy, Portowa, Posmykiewicza, Poziomkowa, Plac Powstańców Warszawskich, Prądzyńskiego, Przechodnia, Psie Pole, Pułaskiego, Racławicka, Raszyńska, Repelowskiego, Różana, Rydygiera, Sadowa, Sądowa, Sierpinka, Sikorskiego, Słowiańska, Sojki, Sokolnickiego, Sosnowa, Sowińskiego, Spacerowa, Spokojna, Sportowa, Strumykowa, Styp-Rekowskich, Sułkowskiego, Szafranka, Szarych Szeregów, Szkolna, Sucharskiego, Świerkowa, Świętego Piotra, Teligi, Topolowa, Traugutta, Trzeciak, Turystyczna, Walasiewiczówny, Wandy, Wczasowa, Wędkarska, Wiejska, Wielicka, Wierzbowa, Wiśniowa, Wybickiego, Wysockiego, Wysoka, Gen. Zajączka, Zamiejska, Zamkowa, Ziei, Żurawinowa, Żwirki i Wigury, Druyffa, Hołdu Pruskiego, Rabina dr. Maxa Josepha, Krakusa, Leszczynowa, Morska"
"Rada Miasta Sopotu";"226401";"1";"6";"5";"50";"8774";"Sopot Centrum - granice okręgu wyznaczają: granica miasta z Gdynią, linia kolei PKP do ul. 3 Maja (bez ulic Podjazd i Marynarzy), ulica 3 Maja strona parzysta, strona nieparzysta Nr 1 - 7, ul. Bitwy pod Płowcami strona nieparzysta i od nr 28 strona parzysta, granica z m. Gdańskiem, wzdłuż Al. Wojska Polskiego do mola, brzeg Zatoki Gdańskiej"
"Rada Miasta Sopotu";"226401";"2";"5";"6";"50";"7447";"Sopot Południe - granice okręgu wyznaczają: ul. 3-go Maja strona nieparzysta od Nr 9 do końca i Nr 50, ul. Boczna, ul. Armii Krajowej do Nr 95, ul. Andersa, wzdłuż ul. Abrahama, stadion przy ulicy Wybickiego, granica z m. Gdańskiem, ul. Bitwy pod Płowcami strona parzysta od Nr 2 do Nr 26"
"Rada Miasta Sopotu";"226401";"3";"5";"5";"42";"8188";"Sopot Zachód - granice okręgu wyznaczają: ul. Abrahama, ul. Armii Krajowej od Nr 96, wzdłuż Armii Krajowej do ul. Bocznej, linia kolei PKP wraz z ul. Marynarzy i ul. Podjazd, do wiaduktu PKP - Kamienny Potok, granica osiedla Kamienny Potok"
"Rada Miasta Sopotu";"226401";"4";"5";"6";"47";"7863";"Sopot Kamienny Potok i Brodwino - granice okręgu wyznaczają: osiedla Kamienny Potok I i II oraz Brodwino"
"Rada Gminy Borzytuchom";"220101";"1";"5";"3";"13";"713";"Borzytuchom"
"Rada Gminy Borzytuchom";"220101";"2";"1";"2";"2";"156";"Chotkowo"
"Rada Gminy Borzytuchom";"220101";"3";"3";"2";"6";"441";"Dąbrówka"
"Rada Gminy Borzytuchom";"220101";"4";"1";"3";"3";"204";"Jutrzenka, Kamieńc, Ryczyn"
"Rada Gminy Borzytuchom";"220101";"5";"1";"2";"2";"160";"Krosnowo"
"Rada Gminy Borzytuchom";"220101";"6";"1";"3";"3";"182";"Niedarzyno"
"Rada Gminy Borzytuchom";"220101";"7";"2";"2";"3";"234";"Osieki"
"Rada Gminy Borzytuchom";"220101";"8";"1";"2";"2";"132";"Struszewo"
"Rada Miejska w Bytowie";"220102";"1";"5";"5";"50";"4959";"BYTÓW ULICE: BRONIEWSKIEGO, BURSZTYNOWA, CEYNOWY, DZIAŁKOWA, DĄBROWSKIEJ, DUNIKOWSKIEGO, GAŁCZYŃSKIEGO, GDAŃSKA, JEZIORNA, KOLONIA JEZIORKI, KRUCZKOWSKIEGO, KS. DOMAŃSKIEGO, KS. POPIEŁUSZKI, LĘBORSKA, MAJKOWSKIEGO, MARSZAŁKA PIŁSUDSKIEGO, MIŁA, MOSTNIKA, NAŁKOWSKIEJ, OŚRODEK JELEŃ, PRZEMYSŁOWA, SĘDZICKIEGO, SIENKIEWICZA, SŁONECZNA, STAFFA, SZENWALDA, ŚW. FILIPA NERI, TETMAJERA, TUWIMA, WYBICKIEGO, WYSPIAŃSKIEGO, ZAKŁADOWA, ZWYCIĘSTWA"
"Rada Miejska w Bytowie";"220102";"2";"5";"5";"49";"4475";"BYTÓW ULICE: BAUERA, BRZOZOWA, CICHA, FIOŁKOWA, GÓRNA, HARCERSKA, JAGODOWA, KILIŃSKIEGO, KOCHANOWSKIEGO, KOŁŁĄTAJA, KOMISJI EDUKACJI NARODOWEJ, KONARSKIEGO, KONWALIOWA, KOŚCIUSZKI, 1 MAJA, MALINOWA, MAŁACHOWSKIEGO, MICKIEWICZA, MIEROSŁAWSKIEGO, NARUSZEWICZA, NIEMCEWICZA, NIEZAPOMINAJKI, OGRODOWA, PIWONII, POCHYŁA, POGODNA, POZIOMKOWA, RACŁAWICKA, REJTANA, SIKORSKIEGO, SPORTOWA, STASZICA, STOKROTKI, STYP-REKOWSKIEGO, TREMBECKIEGO, WERY"
"Rada Miejska w Bytowie";"220102";"3";"5";"5";"49";"4134";"BYTÓW ULICE: ARMII KRAJOWEJ, BYDGOSKA, CHOJNICKA, DERDOWSKIEGO, DRZYMAŁY, DWORCOWA, DWORZEC, JANA PAWŁA II, JESIONOWA, KĄPIELOWA, KOŚCIELNA, KRÓTKA, KROFEYA, KWIATOWA, LEŚNA, 11 LISTOPADA, ŁĄKOWA, MIASTECKA, MŁYŃSKA, NAD BORUJĄ, PARKOWA, PODZAMCZE, POLNA, PLAC KARDYNAŁA WYSZYŃSKIEGO, PROSTA, RYCERSKA, RZEMIEŚLNICZA, SZEROKA, STAROCHOJNICKA, STAROKOŚCIELNA, STARY DWORZEC, STOBNICKA, SUCHARSKIEGO, SZKOLNA, SZARYCH SZEREGÓW, ŚRÓDMIEJSKA, TARTACZNA, WĄSKA, WIEŻA WODNA, WOJSKA POLSKIEGO, WOLNOŚCI, ZAMKOWA, ZAUŁEK DROZDOWY, ZAUŁEK SŁOWICZY, ZIELONA "
"Rada Miejska w Bytowie";"220102";"4";"6";"4";"48";"5560";"BORY, BRYNKI REKOWSKIE, CHOMICE, DĄBIE, DĄBKI, GOSTKOWO, GRZMIĄCA, LEŚNO, MAŁA WIEŚ, MĄDRZECHOWO, MIĘDZYGÓRZE, MOKRZYN, NIECZULICE, NIEZABYSZEWO, PŁOTOWO, POMYSK MAŁY, POMYSKI MŁYN, POMYSK WIELKI, PRZYBORZYCE, PÓŁCZYNEK, PUSTKOWIE REKOWSKIE, PYSZNO, REKOWO, SARNIAK, SIERZENKO, SIERZNO, SZARZYN, ŚWIĄTKOWO, ŚWIERKÓWKO, UDORPIE, UDORPIE ULICE: AKACJOWA, JESIONOWA, LIPOWA, LEŚNA; ZĄBINOWICE, ZBYSŁAW, RZEPNICA ULICE: BOLESŁAWA CHROBREGO, CALINECZKI, CZERWONEGO KAPTURKA, CHOPINA, JANA III SOBIESKIEGO, JASIA I MAŁGOSI, JAŚMINOWA, KAZIMIERZA WIELKIEGO, KONWALIOWA, KOPCIUSZKA, KRÓLEWNY ŚNIEŻKI, KS. DOMAŃSKIEGO, KS. POPIEŁUSZKI, KUBUSIA PUCHATKA, LILIOWA, MAGNOLI, MARGARETKI, MARSZAŁKA PIŁSUDSKIEGO, MIEROSŁAWSKIEGO, MIESZKA I, MONIUSZKI, PADEREWSKIEGO, PIWONII, RÓŻANA, SIEDMIU KRASNOLUDKÓW, STEFANA BATOREGO, STORCZYKOWA, STYP-REKOWSKIEGO, SZEWCZYKA DRATEWKI, SZYMANOWSKIEGO, ŚW. HUBERTA, ŚW. WOJCIECHA, TULIPANOWA, WŁADYSŁAWA JAGIEŁŁY, WŁADYSŁAWA ŁOKIETKA, WIENIAWSKIEGO, WRZOSOWA"
"Rada Gminy Czarna Dąbrowka";"220103";"1";"3";"6";"16";"988";"Czarna Dąbrówka, Podkomorzyce, Święchowo"
"Rada Gminy Czarna Dąbrowka";"220103";"2";"1";"5";"5";"194";"Jerzkowice"
"Rada Gminy Czarna Dąbrowka";"220103";"3";"1";"6";"6";"241";"Flisów, Karwno, Nowe Karwno, Podkomorki, Soszyca"
"Rada Gminy Czarna Dąbrowka";"220103";"4";"1";"4";"4";"282";"Wargowo, Wargówko, Drążkowo, Mikorowo, Przybin, Kotuszewo"
"Rada Gminy Czarna Dąbrowka";"220103";"5";"1";"4";"4";"290";"Kozy, Kozin, Kostorga"
"Rada Gminy Czarna Dąbrowka";"220103";"6";"1";"5";"5";"232";"Brzezinka, Kleszczyniec, Osowskie, Połupino"
"Rada Gminy Czarna Dąbrowka";"220103";"7";"1";"5";"5";"389";"Nożyno, Nożynko"
"Rada Gminy Czarna Dąbrowka";"220103";"8";"1";"5";"5";"275";"Kartkowo, Skotawsko, Unichowo"
"Rada Gminy Czarna Dąbrowka";"220103";"9";"1";"6";"6";"299";"Bochowo, Bochówko, Gliśnica, Rokitki"
