"Electoral institution";"Teritorial code";"Constituency no";"Mandates quantity";"Committees quantity";"Candidates quantity";"Electorals quantity";"Constituency boundaries"
"Sejmik Województwa Małopolskiego";"120000";"1";"5";"10";"88";"324282";"Powiaty: olkuski, chrzanowski, oświęcimski"
"Sejmik Województwa Małopolskiego";"120000";"2";"6";"11";"100";"365871";"Powiaty: miechowski, proszowicki, krakowski, wielicki"
"Sejmik Województwa Małopolskiego";"120000";"3";"8";"11";"134";"597005";"m. Kraków"
"Sejmik Województwa Małopolskiego";"120000";"4";"7";"12";"126";"479691";"Powiaty: wadowkicki, myslenicki, suski, nowotarski, tatrzański"
"Sejmik Województwa Małopolskiego";"120000";"5";"7";"11";"111";"446494";"Powiaty: bocheński, brzeski, dąbrowski, tarnowski, m. Tarnów"
"Sejmik Województwa Małopolskiego";"120000";"6";"6";"11";"110";"403980";"Powiaty: limanowski, gorlicki, nowosądecki, m. Nowy Sącz"
"Rada Powiatu w Bochni";"120100";"1";"7";"8";"97";"23839";" Miasto Bochnia"
"Rada Powiatu w Bochni";"120100";"2";"4";"7";"47";"14697";" Gmina Bochnia"
"Rada Powiatu w Bochni";"120100";"3";"3";"6";"31";"10020";" Miasto i Gmina Nowy Wiśnicz"
"Rada Powiatu w Bochni";"120100";"4";"4";"7";"43";"13449";" Gminy: Drwinia, Rzezawa"
"Rada Powiatu w Bochni";"120100";"5";"5";"6";"50";"18054";" Gminy: Lipnica Murowana, Łapanów, Trzciana, Żegocina."
"Rada Powiatu Brzeskiego";"120200";"1";"8";"6";"82";"28703";"Gmina Brzesko"
"Rada Powiatu Brzeskiego";"120200";"2";"3";"6";"33";"11056";"Gmina Dębno"
"Rada Powiatu Brzeskiego";"120200";"3";"5";"6";"49";"14428";"Gmina Borzęcin, Gmina Szczurowa"
"Rada Powiatu Brzeskiego";"120200";"4";"5";"5";"43";"17651";"Gmina Gnojnik, Gmina Czchów, Gmina Iwkowa"
"Rada Powiatu Chrzanowskiego";"120300";"1";"4";"5";"34";"17578";"gminy: Alwernia, Babice"
"Rada Powiatu Chrzanowskiego";"120300";"2";"10";"5";"92";"40141";"gmina: Chrzanów"
"Rada Powiatu Chrzanowskiego";"120300";"3";"4";"5";"39";"18596";"gmina: Libiąż"
"Rada Powiatu Chrzanowskiego";"120300";"4";"7";"5";"63";"28311";"gmina: Trzebinia"
"Rada Powiatu w Dąbrowie Tarnowskiej";"120400";"1";"6";"4";"48";"16601";"gmina Dąbrowa Tarnowska"
"Rada Powiatu w Dąbrowie Tarnowskiej";"120400";"2";"5";"5";"48";"14442";"gmina Bolesław, gmina Gręboszów, gmina Mędrzechów, gmina Olesno"
"Rada Powiatu w Dąbrowie Tarnowskiej";"120400";"3";"6";"6";"63";"16386";"gmina Radgoszcz, gmina Szczucin"
"Rada Powiatu Gorlickiego";"120500";"1";"6";"5";"57";"24106";"Miasto - Gorlice"
"Rada Powiatu Gorlickiego";"120500";"2";"3";"5";"27";"13293";"Gmina - Gorlice"
"Rada Powiatu Gorlickiego";"120500";"3";"4";"5";"34";"13726";"Gmina - Biecz"
