"Electoral institution";"Teritorial code";"Constituency no";"Mandates quantity";"Committees quantity";"Candidates quantity";"Electorals quantity";"Constituency boundaries"
"Sejmik Województwa Lubuskiego";"080000";"1";"7";"9";"95";"193636";"strzelecko-drezdenecki, gorzowski, miasto Gorzów Wielkopolski"
"Sejmik Województwa Lubuskiego";"080000";"2";"6";"8";"76";"157603";"świebodziński, sulęciński, słubicki, międzyrzecki"
"Sejmik Województwa Lubuskiego";"080000";"3";"5";"8";"68";"125545";"żarski, krośnieński"
"Sejmik Województwa Lubuskiego";"080000";"4";"6";"8";"79";"166163";"zielonogórski, miasto Zielona Góra"
"Sejmik Województwa Lubuskiego";"080000";"5";"6";"9";"83";"167221";"wschowski, żagański, nowosolski"
"Rada Powiatu Gorzowskiego";"080100";"1";"5";"6";"47";"13994";"Miasto Kostrzyn nad Odrą."
"Rada Powiatu Gorzowskiego";"080100";"2";"4";"4";"29";"10181";"Miasto i Gmina Witnica."
"Rada Powiatu Gorzowskiego";"080100";"3";"4";"5";"38";"11731";"Miejscowości Gminy Deszczno i Gminy Bogdaniec."
"Rada Powiatu Gorzowskiego";"080100";"4";"6";"5";"53";"17232";"Miejscowości Gminy:, - Lubiszyn, , - Kłodawa, , - Santok."
"Rada Powiatu Krośnieńskiego";"080200";"1";"5";"5";"44";"13743";"Miasto Gubin"
"Rada Powiatu Krośnieńskiego";"080200";"2";"6";"6";"72";"15125";"Krosno Odrzańskie"
"Rada Powiatu Krośnieńskiego";"080200";"3";"3";"6";"34";"8476";"Bobrowice, gmina Gubin"
"Rada Powiatu Krośnieńskiego";"080200";"4";"3";"6";"32";"8430";"Bytnica, Dąbie, Maszewo"
"Rada Powiatu w Międzyrzeczu";"080300";"1";"3";"5";"28";"8360";"Gmina Bledzew, Przytoczna"
"Rada Powiatu w Międzyrzeczu";"080300";"2";"7";"5";"39";"20125";"Gmina Międzyrzecz"
"Rada Powiatu w Międzyrzeczu";"080300";"3";"3";"5";"23";"8586";"Gmina Pszczew, Trzciel"
"Rada Powiatu w Międzyrzeczu";"080300";"4";"4";"5";"32";"10167";"Gmina Skwierzyna"
"Rada Powiatu Nowosolskiego";"080400";"1";"10";"6";"109";"32504";"Miasto Nowa Sól"
"Rada Powiatu Nowosolskiego";"080400";"2";"4";"6";"42";"12976";"Miasto i Gmina Kożuchów"
"Rada Powiatu Nowosolskiego";"080400";"3";"3";"6";"33";"11527";"Gminy: Bytom Odrzański, Nowe Miasteczko, Siedlisko"
