"Electoral institution";"Teritorial code";"Constituency no";"Mandates quantity";"Committees quantity";"Candidates quantity";"Electorals quantity";"Constituency boundaries"
"Sejmik Województwa Śląskiego";"240000";"1";"7";"15";"141";"525703";"miasto na prawach powiatu: Bielsko - Biała, powiaty: bielski, cieszyński, żywiecki"
"Sejmik Województwa Śląskiego";"240000";"2";"7";"16";"156";"547930";"miasta na prawach powiatu: Katowice, Mysłowice, Tychy, powiaty: bieruńsko-lędziński, pszczyński"
"Sejmik Województwa Śląskiego";"240000";"3";"8";"13";"137";"584767";"miasta na prawach powiatu: Jastrzębie Zdrój, Rybnik, Żory, powiaty: mikołowski, raciborski, rybnicki, wodzisławski"
"Sejmik Województwa Śląskiego";"240000";"4";"7";"16";"154";"555354";"miasta na prawach powiatu: Bytom, Gliwice, powiaty: gliwicki, lubliniecki, tarnogórski"
"Sejmik Województwa Śląskiego";"240000";"5";"6";"16";"140";"498097";"miasta na prawach powiatu: Chorzów, Piekary Śląskie, Ruda Śląska, Siemianowice Śląskie, Świętochłowice, Zabrze"
"Sejmik Województwa Śląskiego";"240000";"6";"6";"16";"147";"434530";"miasto na prawach powiatu: Częstochowa, powiaty: częstochowski, kłobucki, myszkowski"
"Sejmik Województwa Śląskiego";"240000";"7";"7";"19";"172";"591446";"miasta na prawach powiatu: Dąbrowa Górnicza, Jaworzno, Sosnowiec, powiaty: będziński, zawierciański"
"Rada Powiatu Będzińskiego";"240100";"1";"6";"5";"52";"27119";"Miasto Będzin: SYBERKA, MAŁOBĄDZ, ŚRÓDMIEŚCIE, WARPIE I, WARPIE II, który obejmuje ulice: 1 Maja, 11-go Listopada, 27 Stycznia, 9 Maja, Aleja H.Kołłątaja, Baczyńskiego Kamila, Bema Józefa, Boya-Żeleńskiego Tadeusza, Broniewskiego Władysława, Brzozowa, Chmielewskiego Wirginiusza, Cicha, Czeladzka, Dąbrowszczaków, Dębowa, Długa, Gawlika Stanisława, Generała Władysława Andersa, Góra Zamkowa, Górna, Grabowa, Gwardii Ludowej, Hibnera Władysława, I Armii Wojska Polskiego, Jarzębinowa, Jasna, Jaworowa, Jesionowa, Joselewicza Berka, Kalinowa, Kamienna, Kamienne Schodki, Kasprzaka Marcina, Kasztanowa, Kielecka, Klonowa, Kniewskiego Władysława, Kochanowskiego Jana, Kopernika Mikołaja, Koszelew, Kościuszki Tadeusza, Kowalczyka Anastazego, Krakowska, Krasickiego Ignacego, Kruczkowskiego Leona, Lipowa, Ludowa, Łąkowa, Małachowskiego Stanisława, Małobądzka, Modrzejewska, Moniuszki Stanisława, Nadbrzeżna, Nałkowskiej Zofii, Niemcewicza Juliana Ursyna, Norwida Cypriana Kamila, Olszynowa, Orla, Piłsudskiego, Plac 3 Maja, Plac Bohaterów Getta Będzińskiego, Plac Kazimierza Wielkiego, Plac Kolei Warszawsko-Wiedeńskiej, Plebańska, Podjazie, Podmiejska, Podsiadły Józefa, Podskarpie, Podwale, Podzamcze, Pola Wincentego, Potockiego I., Powstańców Śląskich, Promyka Kazimierza, Prusa Bolesława, Przyjaźni, Pstrowskiego Wincentego, Reja Mikołaja, Rewolucjonistów, Reymonta Władysława, Robotnicza, Rolnicza, Rondo Unii Europejskiej, Rutkowskiego Henryka, Rybna, Rybny Rynek, Sączewskiego, Sielecka, Sienkiewicza Henryka, sierżanta Grzegorza Załogi, Skalskiego Józefa, Słoneczna, Słowiańska, Sportowa, Spółdzielcza, Staszica Stanisława, Stawowa, Szenwalda Lucjana, Szkolna, Szybowa, Św.Brata Alberta, Teatralna, Topolowa, Tuwima, Walki Młodych, Wapienna, Wesoła, Wierzbowa, Wilcza, Wolska, Wspólna, Wyspiańskiego Stanisława, Wyzwolenia, XXXV-lecia PRL, Zagórska, Zamkowa, Zawale, Zawodzie, Zwycięstwa, Żeromskiego Stefana."
"Rada Powiatu Będzińskiego";"240100";"2";"5";"5";"43";"21070";"Miasto Będzin: ZAMKOWE, NAMIARKOWA, BRZOZOWICKA, KSAWERA, GRODZIEC, ŁAGISZA, który obejmuje ulice: 15 Grudnia, Akacjowa, Armii Krajowej, Armii Ludowej, Asnyka Adama, Astrów, Barlickiego, Basztowa, Bławatków, Boleradz, Bolesława Chrobrego, Bory, Browarna, Brzozowicka, Bursztynowa, Chopina Fryderyka, Cynkowa, Dąbrowska, Doroty, Drzewna, Dworska, Energetyczna, Filtrowa, Findera Pawła, Fornalskiej Małgorzaty, Górnicza, Graniczna, Grobla, Grunwaldzka, Hutnicza, Jabłoniowa, Jagiellońska, Jasielska,  Jaśminowa, Jedności, Kempy Stanisława, Kijowska, Kolejowa, Kolorowa, Kołłątaja Hugo, Konopnickiej Marii, Korczaka Janusza, Krasickiego Janka, Kręta, Krośnieńska, Królowej Jadwigi, Krótka, Kwiatowa, Leśna, Limanowskiego Bolesława, Luksemburg Róży, Łączna, Mickiewicza Adama, Mieszka I, Modrzewiowa, Mostowa, Nadgórników, Namiarkowa, Niecała, Niepiekło, Niepodległości, Nowa, Nowotki Marcelego, Odkrywkowa, Odrodzenia, Ogrodowa, Okrzei Stefana, Orkana Władysława, Orzeszkowej Elizy, Osiedlowa, Parkowa, Partyzantów, Paryska, Paziowa, Piaskowa, Piastowska, Podgórna, Podgrodzie, Podleśna, Podłosie, Pokoju, Polna, Południowa, Poprzeczna, Produkcyjna, Prosta, Przechodnia, Przodowników Pracy, Pustkowie, Racjonalizatorów, Radosna, Różana, Różyckiego Ludomira, Rycerska, Rzeczna, Rzemieślnicza, Rzeszowska, Sadowa, Siemońska, Sierakowskiego Zygmunta, Skośna, Słowackiego Juliusza, Spacerowa, Spokojna, Stachowe, Stalickiego Wawrzyńca, Stokrotek, Strzyżowicka, Szybowcowa, Środkowa, Świerczewskiego, Świerkowa, Torowa, Traugutta Romualda, Tulipanów, Turniejowa, Usługowa, Wąska, Węgroda, Wiejska, Willowa, Wiśniowa, Władysława Jagiełły, Wojska Polskiego, Wolności, Wróblewskiego Walerego, Zaciszna, ZBoWiD, Zielona, Żwirki i Wigury, Żytnia."
"Rada Powiatu Będzińskiego";"240100";"3";"6";"5";"51";"28304";"Miasto Czeladź"
