"Electoral institution";"Teritorial code";"Constituency no";"Mandates quantity";"Committees quantity";"Candidates quantity";"Electorals quantity";"Constituency boundaries"
"Rada Powiatu Krotoszyńskiego";"301200";"1";"10";"6";"96";"32296";"Miasto i Gmina Krotoszyn"
"Rada Powiatu Krotoszyńskiego";"301200";"2";"5";"5";"42";"14896";"Miasto i Gmina Koźmin Wlkp., Gmina Rozdrażew"
"Rada Powiatu Krotoszyńskiego";"301200";"3";"4";"5";"35";"14265";"Miasto i Gmina Kobylin, Miasto Sulmierzyce, Gmina i Miasto Zduny"
"Rada Powiatu Leszczyńskiego";"301300";"1";"3";"4";"24";"6692";"gm. Krzemieniewo"
"Rada Powiatu Leszczyńskiego";"301300";"2";"4";"5";"38";"10896";"gm. Lipno, gm. Święciechowa"
"Rada Powiatu Leszczyńskiego";"301300";"3";"3";"5";"30";"6985";"gm. Osieczna"
"Rada Powiatu Leszczyńskiego";"301300";"4";"3";"4";"24";"6513";"gm. Rydzyna"
"Rada Powiatu Leszczyńskiego";"301300";"5";"4";"5";"39";"9594";"gm. Włoszakowice, gm. Wijewo"
"Rada Powiatu Międzychodzkiego ";"301400";"1";"8";"4";"52";"14692";"Gmina Międzychód, "
"Rada Powiatu Międzychodzkiego ";"301400";"2";"3";"2";"12";"6933";"Gmina Sieraków, "
"Rada Powiatu Międzychodzkiego ";"301400";"3";"4";"4";"24";"7473";", Gmina Kwilcz, Gmina Chrzypsko Wielkie, "
"Rada Powiatu Nowotomyskiego";"301500";"1";"5";"5";"31";"14372";"gm. Kuślin, gm. Miedzichowo, gm. Lwówek"
"Rada Powiatu Nowotomyskiego";"301500";"2";"4";"5";"34";"12596";"gm. Opalenica"
"Rada Powiatu Nowotomyskiego";"301500";"3";"6";"5";"49";"19661";"gm. Nowy Tomyśl"
"Rada Powiatu Nowotomyskiego";"301500";"4";"4";"4";"27";"10662";"gm. Zbąszyń"
"Rada Powiatu Obornickiego";"301600";"1";"10";"9";"136";"25663";"gmina Oborniki"
"Rada Powiatu Obornickiego";"301600";"2";"7";"8";"91";"19334";"gmina Rogoźno, gmina Ryczywół"
"Rada Powiatu Ostrowskiego";"301700";"1";"4";"5";"39";"19587";"GMINA MIASTO OSTRÓW WIELKOPOLSKI OSIEDLA: ŚRÓDMIEŚCIE, WENECJA, KRĘPA"
"Rada Powiatu Ostrowskiego";"301700";"2";"5";"5";"48";"21518";"GMINA MIASTO OSTRÓW WIELKOPOLSKI OSIEDLA: PRUŚLIN, KAMIENICE STARE, ZACISZE-ZĘBCÓW, ODOLANOWSKIE,  NOWE PARCELE, PARCELE ZACHARZEWSKIE"
"Rada Powiatu Ostrowskiego";"301700";"3";"4";"5";"38";"18858";"GMINA MIASTO OSTRÓW WIELKOPOLSKI OSIEDLA: JANA PAWŁA II, POWSTAŃCÓW WIELKOPOLSKICH"
"Rada Powiatu Ostrowskiego";"301700";"4";"4";"5";"35";"19720";"GMINA I MIASTO NOWE SKALMIERZYCE, GMINA SIEROSZEWICE"
"Rada Powiatu Ostrowskiego";"301700";"5";"5";"5";"50";"23486";"GMINA I MIASTO RASZKÓW, GMINA OSTRÓW WIELKOPOLSKI"
"Rada Powiatu Ostrowskiego";"301700";"6";"5";"4";"40";"25460";"GMINA I MIASTO ODOLANÓW, GMINA PRZYGODZICE, GMINA SOŚNIE"
"Rada Powiatu w Ostrzeszowie";"301800";"1";"9";"5";"69";"23678";"Miasto i Gmina Ostrzeszów, Gmina Kobyla Góra"
"Rada Powiatu w Ostrzeszowie";"301800";"2";"8";"4";"56";"20031";"Miasto i Gmina Grabów n. Prosną, Miasto i Gmina Mikstat, Gmina Czajków, Gmina Doruchów, Gmina Kraszewice, "
"Rada Powiatu w Pile";"301900";"1";"3";"5";"26";"12915";"Miasto Piła"
"Rada Powiatu w Pile";"301900";"2";"4";"5";"38";"17784";"Miasto Piła"
"Rada Powiatu w Pile";"301900";"3";"3";"5";"27";"12491";"Miasto Piła"
"Rada Powiatu w Pile";"301900";"4";"4";"5";"34";"16406";"Miasto Piła"
"Rada Powiatu w Pile";"301900";"5";"4";"5";"35";"18761";"Miasto i gmina Łobżenica, miasto i gmina Wyrzysk"
"Rada Powiatu w Pile";"301900";"6";"3";"5";"28";"11667";"Miasto i gmina Wysoka, gmina Białośliwie, gmina Miasteczko Krajeńskie"
"Rada Powiatu w Pile";"301900";"7";"4";"5";"37";"18808";"Miasto i gmina Ujście, gmina Kaczory, gmina Szydłowo"
"Rada Powiatu w Pleszewie";"302000";"1";"9";"7";"125";"24154";"Miasto i Gmina Pleszew"
"Rada Powiatu w Pleszewie";"302000";"2";"4";"5";"35";"11196";"Gmina Chocz, Gmina Czermin, Gmina Gizałki"
"Rada Powiatu w Pleszewie";"302000";"3";"3";"4";"20";"6565";"Gmina Dobrzyca"
"Rada Powiatu w Pleszewie";"302000";"4";"3";"6";"35";"7930";"Gmina Gołuchów"
"Rada Powiatu Poznańskiego";"302100";"1";"4";"5";"28";"34264";"gminy: Buk, Dopiewo, Stęszew, "
"Rada Powiatu Poznańskiego";"302100";"2";"4";"5";"31";"32545";"gminy: Czerwonak, Murowana Goślina, "
"Rada Powiatu Poznańskiego";"302100";"3";"4";"5";"31";"36401";"gminy: Rokietnica, Suchy Las, Tarnowo Podgórne, "
"Rada Powiatu Poznańskiego";"302100";"4";"4";"5";"32";"33789";"gmina Swarzędz"
"Rada Powiatu Poznańskiego";"302100";"5";"5";"5";"37";"44448";"gminy: Luboń, Puszczykowo, Komorniki, "
"Rada Powiatu Poznańskiego";"302100";"6";"4";"5";"29";"36774";"gminy: Kórnik, Mosina, "
"Rada Powiatu Poznańskiego";"302100";"7";"4";"5";"30";"31526";"gminy: Kostrzyn, Kleszczewo, Pobiedziska, "
"Rada Powiatu Rawickiego";"302200";"1";"3";"6";"31";"7025";"gm. Bojanowo"
"Rada Powiatu Rawickiego";"302200";"2";"4";"5";"31";"9110";"gm. Pakosław, gm. Jutrosin"
"Rada Powiatu Rawickiego";"302200";"3";"3";"5";"28";"7413";"gm. Miejska Górka"
"Rada Powiatu Rawickiego";"302200";"4";"9";"5";"78";"23877";"gm. Rawicz"
"Rada Powiatu Słupeckiego";"302300";"1";"4";"5";"38";"11709";"Miasto Słupca"
"Rada Powiatu Słupeckiego";"302300";"2";"4";"5";"34";"11829";"Gmina Lądek, Gmina i Miasto Zagórów"
"Rada Powiatu Słupeckiego";"302300";"3";"3";"5";"28";"9071";"Gmina Orchowo. Gmina Powidz, Gmina Ostrowite"
"Rada Powiatu Słupeckiego";"302300";"4";"3";"5";"27";"7265";"Gmina Słupca"
"Rada Powiatu Słupeckiego";"302300";"5";"3";"5";"27";"7807";"Gmina Strzałkowo"
"Rada Powiatu w Szamotułach";"302400";"1";"3";"6";"32";"9161";"Miasto Obrzycko, Gmina Obrzycko, Gmina Ostroróg"
"Rada Powiatu w Szamotułach";"302400";"2";"4";"5";"33";"12531";"Gmina Duszniki, Gmina Kaźmierz"
"Rada Powiatu w Szamotułach";"302400";"3";"3";"6";"36";"9715";"Gmina Pniewy"
"Rada Powiatu w Szamotułach";"302400";"4";"7";"6";"78";"23077";"Gmina Szamotuły"
"Rada Powiatu w Szamotułach";"302400";"5";"4";"6";"41";"14957";"Gmina Wronki"
"Rada Powiatu Średzkiego";"302500";"1";"9";"9";"108";"24442";"Gmina Środa Wielkopolska"
"Rada Powiatu Średzkiego";"302500";"2";"3";"8";"42";"7118";"Gmina Nowe Miasto"
"Rada Powiatu Średzkiego";"302500";"3";"5";"9";"63";"12598";"Gminy Dominowo, Krzykosy i Zaniemyśl"
"Rada Powiatu Śremskiego";"302600";"1";"5";"6";"51";"14958";"Gminy: Brodnica, Dolsk, Książ Wlkp."
"Rada Powiatu Śremskiego";"302600";"2";"6";"6";"54";"16125";"Gmina Śrem 1- granica biegnie od Mostu 23 Stycznia biegiem rzeki Warty, dalej północną, zachodnią i południową granicą miasta, dalej ulicami Staszica do skrzyżowania z ulicą Grunwaldzką, ulicą Grunwaldzką do ulicy Zamenhofa, dalej południowo-zachodnią granicą ulicy Przemysłowej i Konopnickiej do ulicy Zielonej obejmując ulice: Nałkowskiej, Norwida, Orzeszkowej, Reymonta i Długą, dalej przejściem ulicą Kilińskiego w kierunku północnym do ulicy Kolejowej i dalej ulicą Nadbrzeżną do rzeki Warty."
"Rada Powiatu Śremskiego";"302600";"3";"6";"6";"57";"15901";"Gmina Śrem 2 - pozostała część miasta Śrem oraz wsie Gminy Śrem"
"Rada Powiatu Tureckiego";"302700";"1";"7";"6";"82";"24104";"Miasto Turek, "
"Rada Powiatu Tureckiego";"302700";"2";"7";"6";"82";"20954";"Gmina Turek, Gmina i Miasto Tuliszków, Gmina Władysławów"
"Rada Powiatu Tureckiego";"302700";"3";"4";"6";"47";"13239";"Gmina Brudzew, Gmina Przykona, Gmina i Miasto Dobra."
"Rada Powiatu Tureckiego";"302700";"4";"3";"6";"36";"9170";"Gmina Kawęczyn, Gmina Malanów"
"Rada Powiatu Wągrowieckiego";"302800";"1";"7";"5";"59";"20043";"Miasto Wągrowiec"
"Rada Powiatu Wągrowieckiego";"302800";"2";"5";"4";"37";"13502";"Miasto i Gmina Gołańcz, Gmina Damasławek, Gmina Wapno"
"Rada Powiatu Wągrowieckiego";"302800";"3";"4";"4";"32";"11594";"Miasto i Gmina Skoki, Gmina Mieścisko"
"Rada Powiatu Wągrowieckiego";"302800";"4";"3";"5";"27";"8904";"Gmina Wągrowiec"
"Rada Powiatu Wolsztyńskiego";"302900";"1";"4";"4";"31";"10741";"gm. Przemęt"
"Rada Powiatu Wolsztyńskiego";"302900";"2";"4";"5";"36";"9449";"gm. Siedlec"
"Rada Powiatu Wolsztyńskiego";"302900";"3";"9";"5";"76";"23458";"gm. Wolsztyn"
"Rada Powiatu we Wrześni";"303000";"1";"4";"6";"43";"10544";"Okręg Wyborczy nr 1, Kołaczkowo - Pyzdry"
"Rada Powiatu we Wrześni";"303000";"2";"4";"6";"41";"13844";"Okręg Wyborczy nr 2 , Nekla - Miłosław, , "
"Rada Powiatu we Wrześni";"303000";"3";"4";"6";"47";"12083";"Okręg Wyborczy nr 3 , Gmina Września (wieś), Dębina, Gulczewo, Gulczewko, Sokołowo, Grzybowo, Gutowo Małe, Kleparz, Ostrowo Szlacheckie, Sobiesiernie, Stanisławowo, Wódki, Broniszewo, Gutowo Wielkie, Otoczna, Sędziwojewo, Kawęczyn, Marzenin, Noskowo, Radomice, Strzyżewo, Psary Małe, Przyborki, Chociczka, Żerniki, Marzelewo, Nowy Folwark, Psary Polskie, Psary Wielkie, Słomowo, Słomówko, Białężyce, Chocicza Wielka, Obłaczkowo, Osowo, Bardo, Chocicza Mała, Chwalibogowo, Dębina, Grzymysławice, Bierzglinek, Kaczanowo, Neryngowo, Nowa Wieś Królewska, Gozdowo, Gozdowo Młyn, Nadarzyce, Sołeczno, Bierzglin, Gonice, Goniczki, Węgierki, , "
"Rada Powiatu we Wrześni";"303000";"4";"7";"6";"83";"23519";"Okręg Wyborczy nr 4, Gmina Września (miasto), ulice:, Akacjowa, Brzozowa, 17 Dywizji Piechoty, 3 Maja, 68 Pułku Piechoty, Gen.Romana Abrahama, Armii Poznań, Adama Asnyka, Jana Bartkowiaka, Krzysztofa Kamila Baczyńskiego, Błękitna, Bohaterów Monte Cassino, Władysława Broniewskiego, Brylantowa, Józefa Chełmońskiego, Alberta Chmielowskiego, Fryderyka Chopina, Antoniego Ciszaka, Majora Stanisława Culica, Franciszka Czapskiego, Czerniejewska, Daszyńskiego, Marii Dąbrowskiej, Jana Długosza, Dondajewskiego, Michała Drzymały, Dworcowa, Działkowców, Dzieci Wrzesińskich, Fabryczna, Kazimierza Fedyka, Kpt. Tadeusza Fenrycha, Konstantego Gałczyńskiego, Gnieźnieńska, Artura Grottgera, Gen. Kazimierza Grudzielskiego, Harcerska, Jagodowa, Jana Pawła II, Piotra Jarocińskiego, Jasna, Wincentego Kadłubka, Jana Kasprowicza, Kolejowa, Hugona Kołłątaja, Stanisława Konarskiego, Konopnickiej, Kopernika, Koralowa, Gen. Antoniego Kosińskiego, Wojciecha Kossaka, Kosynierów, Kościelna, Leona Kruczkowskiego, Gen. Tadeusza Kutrzeby, Kwiatowa, Ks. Jana Laskowskiego, Lazurowa, Legii Wrzesińskiej, Bolesława Leśmiana, Leśna, Letnia, Karola Libelta, Władysława Łokietka, Tadeusza Makowskiego, Jacka Malczewskiego, Malinowa, Marcinkowskiego, Jana Matejki, Mickiewicza, Gen. Ludwika Mierosławskiego, Miłosławska, Stanisława Moniuszki, Ppor. Stanisława Mycielskiego, Zofii Nałkowskiej, Leona Niestrawskiego, Cypriana Norwida, Ppłk. Alojzego Nowaka, Władysława Orkana, Elizy Orzeszkowej, Ignacego Paderewskiego, Parkowa, Plac Świętego Stanisława, Pogodna, Pola, Powstańców Wielkopolskich, Gen. Ignacego Prądzyńskiego, Promienista, Prusa, Ratuszowa, Reymonta, Rubinowa, Rynek, Rzeczna, Rzemieślnicza, Sądowa, Sienkiewicza, Sienna, Filipa Skoraczewskiego, Słoneczna, Sokołowska, Spacerowa, Leopolda Staffa, Stasiewskiego, Staszica, Szafirowa, Kpt. Antoniego Szała, Szeroka, Szkolna, Szosa Witkowska, Piotra Ściegiennego, Świętokrzyska, Tęczowa, Romualda Traugutta, Por. Józefa Trawińskiego, Stefana Tuhego, Turkusowa, Mariana Turwida, Juliana Tuwima, Warszawska, Waryńskiego, Księdza Wawrzyniaka, Wczasowa, Wielkopolska, Władysława Wiewiórowskiego, Wiśniowa, Stanisława Witkiewicza, Witkowska, Wita Stwosza, Wrzosowa, Stanisława Wyspiańskiego, Antoniego Zamysłowskiego, Gabrieli Zapolskiej, Stefana Żeromskiego, Żwirki i Wigury. Stefana Batorego, Gen. Józefa Bema, Bytomska, Bolesława Chrobrego, Generała Dąbrowskiego, Dolnośląska, Elbląska, Fromborska, Antoniego Gendka, Gdańska, Gliwicka, Głogowska, Gorzowska, Grunwaldzka, Gubińska, Kaliska, Kilińskiego, Kołobrzeska, Koszalińska, Koszarowa, Kościuszki, Stanisława Koniecznego, Kożuchowska, Królowej Jadwigi, Krzyżagórskich, Kwidzyńska, Legnicka, Lubuska, Łużycka, Malborska, Mazurska, Objazdowa, Ogrodowa, Oleśnicka, Olsztyńska, Opieszyn, Opolska, Owocowa, Piastów, Polkowicka, Przemysłowa, Gen. Kazimierza Pułaskiego, Raciborska, Gen. Władysława Sikorskiego, Słowackiego, Słowian, Słupska, Wacława Sołtysiaka, Spokojna, Michała Strzykały, Suwalska, Szczecińska, Świdnicka, Wałbrzyska, Warmińska, Warsztatowa, Wojska Polskiego, Wrocławska, Józefa Wybickiego, Zielonogórska, Żagańska."
"Rada Powiatu Złotowskiego ";"303100";"1";"5";"4";"40";"15053";"miasto Złotów"
"Rada Powiatu Złotowskiego ";"303100";"2";"3";"5";"29";"9235";"gmina i miasto Jastrowie"
"Rada Powiatu Złotowskiego ";"303100";"3";"3";"4";"24";"8289";"gmina i miasto Krajenka, gmina Tarnówka"
"Rada Powiatu Złotowskiego ";"303100";"4";"5";"5";"47";"15515";"gmina Złotów, gmina Zakrzewo, gmina Lipka"
"Rada Powiatu Złotowskiego ";"303100";"5";"3";"4";"21";"7225";"miasto i gmina Okonek"
"Rada Miejska Kalisza";"306101";"1";"5";"6";"60";"17104";"ulice: , Aleja Wolności, Babina, Bankowa, Biskupia, Browarna, Adama Chodyńskiego, Fryderyka Chopina, Ciasna, Cmentarna, Czaszkowska, Częstochowska od nr 1-19 nieparzyste i 2-6 parzyste, Jarosława Dąbrowskiego, Fabryczna, Franciszkańska, Garbarska, Główny Rynek, Gołębia, Górna, Górnośląska od nr 1-37 nieparzyste i 2-46 parzyste, Grodzka, Harcerska, Wojciecha Jabłkowskiego, Jasna, Berka Joselewicza, Kadecka, Kanonicka, Kazimierzowska, Kolegialna, Mikołaja Kopernika, Tadeusza Kościuszki, Kredytowa, Krótka, Łazienna, 3 Maja, Mariańska, Młynarska od nr 1-27 nieparzyste i 2-12 parzyste, Mostowa, Gabriela Narutowicza, Niecała, Nowy Rynek, Nowy Świat od nr 1-21 nieparzyste i 2-26 parzyste, Alfonsa Parczewskiego, Park Miejski, Piekarska, Piskorzewska, Plac Wojciecha Bogusławskiego, Plac Jana Pawła II, Plac Jana Kilińskiego, Plac Świętego Józefa, Podgórze, Przechodnia, Przeskok, Kazimierza Pułaskiego, Rzeźnicza, Stanisława Staszica od nr 19-35 nieparzyste i 20-28a parzyste, Strzelecka, Sukiennicza, Śródmiejska, Świętego Stanisława, Szklarska, Szkolna, Targowa, Teatralna, Towarowa, Ułańska, Wał Staromiejski, Wąska, Widok od nr 35-51 nieparzyste i 42-78 parzyste, Wodna nr 1, 2, 3, 4 parzyste i nieparzyste, Wronia, Wspólna, Zamkowa, Złota od nr 1-23 nieparzyste  i 2-12 parzyste."
