"Electoral institution";"Teritorial code";"Constituency no";"Mandates quantity";"Committees quantity";"Candidates quantity";"Electorals quantity";"Constituency boundaries"
"Sejmik Województwa Wielkopolskiego";"300000";"1";"6";"11";"90";"433846";"Miasto Poznań"
"Sejmik Województwa Wielkopolskiego";"300000";"2";"7";"11";"98";"468662";"powiaty: chodzieski, czarnkowsko-trzcianecki, miedzychodzki, obornicki, pilski, szamotulski, wagrowiecki, złotowski, "
"Sejmik Województwa Wielkopolskiego";"300000";"3";"7";"10";"92";"514263";"powiaty: poznański, śremski, średzki, gnieźnieński, wrzesiński, "
"Sejmik Województwa Wielkopolskiego";"300000";"4";"5";"12";"85";"350736";"Miasto Konin, powiaty: koniński, kolski, słupecki, turecki, "
"Sejmik Województwa Wielkopolskiego";"300000";"5";"7";"9";"86";"474020";"Miasto Kalisz, powiaty: kępiński, kaliski, ostrowski, ostrzeszowski, jarociński, pleszewski, "
"Sejmik Województwa Wielkopolskiego";"300000";"6";"7";"10";"89";"463582";"Miasto Leszno, powiaty: leszczyński, gostyński, grodziski, kościański, krotoszyński, nowotomyski, rawicki, wolsztyński"
"Rada Powiatu Chodzieskiego";"300100";"1";"7";"4";"51";"16033";"miasto Chodzież"
"Rada Powiatu Chodzieskiego";"300100";"2";"3";"3";"15";"6551";"gmina Budzyń"
"Rada Powiatu Chodzieskiego";"300100";"3";"3";"3";"18";"5771";"gmina Szamocin"
"Rada Powiatu Chodzieskiego";"300100";"4";"4";"3";"22";"9359";"gmina Margonin i gmina Chodzież"
"Rada Powiatu Czarnkowsko-Trzcianeckiego";"300200";"1";"5";"6";"58";"17862";"Miasto Czarnków, Gmina Czarnków"
"Rada Powiatu Czarnkowsko-Trzcianeckiego";"300200";"2";"3";"5";"30";"10356";"Gmina Połajewo , Gmina Lubasz"
"Rada Powiatu Czarnkowsko-Trzcianeckiego";"300200";"3";"4";"6";"41";"11769";"Gmina Drawsko, Gmina Krzyż Wlkp."
"Rada Powiatu Czarnkowsko-Trzcianeckiego";"300200";"4";"6";"5";"55";"19135";"Miasto i Gmina Trzcianka"
"Rada Powiatu Czarnkowsko-Trzcianeckiego";"300200";"5";"3";"6";"34";"10098";"Miasto i Gmina Wieleń"
"Rada Powiatu Gnieźnieńskiego";"300300";"1";"6";"6";"66";"26816";"obejmuje obszar okręgów wyborczych nr III i IV ustalonych przez Radę miasta Gniezna w uchwale nr XXXIX/375/2002 z dnia 3 lipca 2002 r. w sprawie podziału miasta Gniezna na okręgi wyborcze oraz ustalenia liczby radnych wybieranych w każdym okręgu tj.: Winiary, Tysiąclecie, Ustronie, Arkuszewo, Konikowo;  "
"Rada Powiatu Gnieźnieńskiego";"300300";"2";"7";"6";"76";"29512";"obejmuje obszar okręgów wyborczych nr I i II ustalonych przez Radę miasta Gniezna w uchwale nr XXXIX/375/2002 tj.: Piekary, Skiereszewo, Dalki, Kawiary, Grunwald, Pustachowa, Stare Miasto"
"Rada Powiatu Gnieźnieńskiego";"300300";"3";"3";"6";"36";"11277";"Gmina Trzemeszno"
"Rada Powiatu Gnieźnieńskiego";"300300";"4";"3";"5";"29";"10907";"Gmina Witkowo"
"Rada Powiatu Gnieźnieńskiego";"300300";"5";"4";"6";"48";"17186";"Gminy Gniezno, Czerniejewo, Niechanowo"
"Rada Powiatu Gnieźnieńskiego";"300300";"6";"4";"6";"47";"17685";"Gminy  Kiszkowo, Kłecko, Mieleszyn, Łubowo"
"Rada Powiatu Gostyńskiego";"300400";"1";"7";"4";"43";"22533";"gm.Gostyń"
"Rada Powiatu Gostyńskiego";"300400";"2";"4";"4";"29";"12785";"gm.Borek Wlkp., gm.Piaski"
"Rada Powiatu Gostyńskiego";"300400";"3";"3";"4";"21";"8795";"gm. Pogorzela, gm. Pępowo"
"Rada Powiatu Gostyńskiego";"300400";"4";"5";"4";"35";"16683";"gm.Krobia, gm. Poniec"
"Rada Powiatu Grodziskiego";"300500";"1";"7";"6";"72";"14971";"gm. Grodzisk wlkp."
"Rada Powiatu Grodziskiego";"300500";"2";"4";"6";"41";"9747";"gm. Rakoniewice"
"Rada Powiatu Grodziskiego";"300500";"3";"6";"6";"51";"14198";"gm. Granowo, gm. Kamieniec, gm. Wielichowo"
"Rada Powiatu w Jarocinie";"300600";"1";"7";"6";"82";"21631";"Gmina Jarocin - Miasto Jarocin"
"Rada Powiatu w Jarocinie";"300600";"2";"5";"6";"56";"14773";"Gmina Jarocin - Sołectwa: Annapol, Bachorzew, Cielcza, Cząszczew, Dąbrowa, Golina i Stefanów, Hilarów, Kadziak, Kąty, Łuszczanów, Mieszków, Osiek, Potarzyca, Prusy i Roszkówko, Radlin, Roszków, Siedlemin i Ciświca, Tarce, Wilczyniec, Wilkowyja, Witaszyce, Witaszyczki, Zakrzew"
"Rada Powiatu w Jarocinie";"300600";"3";"3";"6";"36";"8299";"Gmina Żerków"
"Rada Powiatu w Jarocinie";"300600";"4";"4";"6";"47";"12176";"Gmina Jaraczewo i Gmina Kotlin"
"Rada Powiatu Kaliskiego";"300700";"1";"4";"6";"47";"10840";"Gmina Brzeziny, Gmina Szczytniki"
"Rada Powiatu Kaliskiego";"300700";"2";"5";"6";"59";"15400";"Gmina Opatówek, Gmina Godziesze Wielkie"
"Rada Powiatu Kaliskiego";"300700";"3";"3";"6";"35";"10285";"Gmina Koźminek, Gmina Lisków"
"Rada Powiatu Kaliskiego";"300700";"4";"5";"6";"57";"14958";"Gmina Blizanów, Gmina Żelazków"
"Rada Powiatu Kaliskiego";"300700";"5";"4";"6";"47";"13636";"Gmina Ceków Kolonia, Gmina Mycielin, Gmina i Miasto Stawiszyn"
"Rada Powiatu Kępińskiego";"300800";"1";"7";"8";"86";"19795";"Miasto i Gmina Kępno"
"Rada Powiatu Kępińskiego";"300800";"2";"6";"8";"80";"13911";"Gmina Baranów, Gmina Łęka Opatowska, Gmina Trzcinica"
"Rada Powiatu Kępińskiego";"300800";"3";"4";"6";"46";"10797";"Gmina Bralin, Gmina Perzów, Gmina Rychtal"
"Rada Powiatu Kolskiego";"300900";"1";"6";"7";"66";"19125";"Miasto Koło"
"Rada Powiatu Kolskiego";"300900";"2";"3";"7";"37";"11005";"Gmina Babiak, Osiek Mały"
"Rada Powiatu Kolskiego";"300900";"3";"3";"6";"30";"10169";"Gmina Chodów, Olszówka, Przedecz"
"Rada Powiatu Kolskiego";"300900";"4";"3";"7";"38";"9915";"Gmina Dąbie, Grzegorzew"
"Rada Powiatu Kolskiego";"300900";"5";"3";"6";"32";"10943";"Gmina Kłodawa"
"Rada Powiatu Kolskiego";"300900";"6";"3";"6";"34";"11089";"Gmina Koło, Kościelec"
"Rada Powiatu Konińskiego";"301000";"1";"3";"6";"33";"9897";"Wilczyn, Skulsk"
"Rada Powiatu Konińskiego";"301000";"2";"4";"6";"46";"14281";"Wierzbinek, Sompolno"
"Rada Powiatu Konińskiego";"301000";"3";"5";"6";"56";"22312";"Stare Miasto, Kramsk, Krzymów, "
"Rada Powiatu Konińskiego";"301000";"4";"4";"6";"46";"16115";"Rychwał, Grodziec, Rzgów"
"Rada Powiatu Konińskiego";"301000";"5";"6";"6";"66";"25845";"Kleczew, Kazimierz Biskupi, Golina"
"Rada Powiatu Konińskiego";"301000";"6";"3";"6";"34";"10731";"Ślesin"
"Rada Powiatu Kościańskiego";"301100";"1";"6";"6";"65";"19514";"m. Kościan"
"Rada Powiatu Kościańskiego";"301100";"2";"6";"7";"65";"19897";"gm. Kościan, gm. Krzywiń"
"Rada Powiatu Kościańskiego";"301100";"3";"3";"6";"35";"8973";"gm. Czempiń"
"Rada Powiatu Kościańskiego";"301100";"4";"4";"6";"38";"13879";"gm. Śmigiel"
