"Electoral institution";"Teritorial code";"Constituency no";"Mandates quantity";"Committees quantity";"Candidates quantity";"Electorals quantity";"Constituency boundaries"
"Sejmik Województwa Kujawsko-Pomorskiego";"040000";"1";"6";"13";"122";"287238";"miasto BYDGOSZCZ"
"Sejmik Województwa Kujawsko-Pomorskiego";"040000";"2";"6";"12";"113";"295700";"powiaty: BYDGOSKI, NAKIELSKI, SĘPOLEŃSKI, ŚWIECKI, TUCHOLSKI"
"Sejmik Województwa Kujawsko-Pomorskiego";"040000";"3";"5";"11";"96";"233346";"miasto GRUDZIĄDZ, powiaty:  BRODNICKI, GOLUBSKO-DOBRZYŃSKI, GRUDZIĄDZKI,  WĄBRZESKI, "
"Sejmik Województwa Kujawsko-Pomorskiego";"040000";"4";"5";"12";"101";"273814";"miasto TORUŃ, powiaty: CHEŁMIŃSKI, TORUŃSKI, "
"Sejmik Województwa Kujawsko-Pomorskiego";"040000";"5";"5";"11";"85";"261655";"powiaty: INOWROCŁAWSKI, MOGILEŃSKI, RADZIEJOWSKI, ŻNIŃSKI"
"Sejmik Województwa Kujawsko-Pomorskiego";"040000";"6";"6";"10";"99";"297866";"miasto WŁOCŁAWEK, powiaty: ALEKSANDROWSKI, LIPNOWSKI, RYPIŃSKI, WŁOCŁAWSKI, "
"Rada Powiatu w Aleksandrowie Kujawskim";"040100";"1";"4";"6";"41";"10087";"Miasto Aleksandrów Kujawski"
"Rada Powiatu w Aleksandrowie Kujawskim";"040100";"2";"3";"5";"27";"9057";"Miasto Ciechocinek"
"Rada Powiatu w Aleksandrowie Kujawskim";"040100";"3";"3";"4";"22";"7695";"Miasto Nieszawa, Gmina Raciążek, Gmina Waganiec, "
"Rada Powiatu w Aleksandrowie Kujawskim";"040100";"4";"3";"5";"25";"8751";"Gmina Aleksandrów Kujawski"
"Rada Powiatu w Aleksandrowie Kujawskim";"040100";"5";"4";"4";"28";"9386";"Gmina Bądkowo, Gmina Koneck, Gmina Zakrzewo"
"Rada Powiatu w Brodnicy";"040200";"1";"7";"5";"60";"21798";"Brodnica miasto"
"Rada Powiatu w Brodnicy";"040200";"2";"4";"5";"36";"12203";"Jabłonowo Pomorskie, Bobrowo"
"Rada Powiatu w Brodnicy";"040200";"3";"5";"5";"45";"16580";"Brodnica gmina, Osiek, Świedziebnia, Zbiczno"
"Rada Powiatu w Brodnicy";"040200";"4";"3";"5";"30";"9690";"Górzno, Brzozie, Grążawy"
"Rada Powiatu Bydgoskiego";"040300";"1";"5";"6";"51";"18705";"gmina KORONOWO"
"Rada Powiatu Bydgoskiego";"040300";"2";"4";"5";"36";"12864";"gmina SOLEC KUJAWSKI"
"Rada Powiatu Bydgoskiego";"040300";"3";"6";"7";"57";"19567";"gminy: BIAŁE BŁOTA, NOWA WIEŚ WIELKA"
"Rada Powiatu Bydgoskiego";"040300";"4";"4";"6";"37";"15451";"gminy: OSIELSKO, SICIENKO "
"Rada Powiatu Bydgoskiego";"040300";"5";"4";"5";"32";"13630";"gminy: DĄBROWA CHEŁMIŃSKA, DOBRCZ"
"Rada Powiatu w Chełmnie";"040400";"1";"7";"6";"68";"16220";"Chełmno miasto"
"Rada Powiatu w Chełmnie";"040400";"2";"3";"6";"32";"8097";"Chełmno gmina, Stolno"
"Rada Powiatu w Chełmnie";"040400";"3";"4";"6";"43";"8834";"Unisław, Kijewo Królewskie"
"Rada Powiatu w Chełmnie";"040400";"4";"3";"6";"31";"7545";"Lisewo, Papowo Biskupie"
"Rada Powiatu Golubsko-Dobrzyńskiego";"040500";"1";"5";"6";"57";"10124";"Golub-Dobrzyń miasto"
"Rada Powiatu Golubsko-Dobrzyńskiego";"040500";"2";"3";"6";"35";"6646";"Golub-Dobrzyń gmina"
"Rada Powiatu Golubsko-Dobrzyńskiego";"040500";"3";"6";"6";"64";"12116";"Kowalewo Pomorskie, Ciechocin"
"Rada Powiatu Golubsko-Dobrzyńskiego";"040500";"4";"3";"5";"28";"6760";"Radomin, Zbójno"
"Rada Powiatu Grudziądzkiego";"040600";"1";"5";"7";"54";"8908";"Grudziądz gmina"
"Rada Powiatu Grudziądzkiego";"040600";"2";"3";"8";"40";"6607";"Łasin"
"Rada Powiatu Grudziądzkiego";"040600";"3";"4";"7";"44";"7214";"Radzyń Chełmiński, Świecie nad Osą"
"Rada Powiatu Grudziądzkiego";"040600";"4";"5";"8";"55";"8449";"Gruta, Rogóźno"
