"Electoral institution";"Teritorial code";"Constituency no";"Mandates quantity";"Committees quantity";"Candidates quantity";"Electorals quantity";"Constituency boundaries"
"Sejmik Województwa Mazowieckiego";"140000";"1";"5";"13";"99";"407701";"Dzielnice m. st. Warszawy: , Ursynów, Wilanów, Śródmieście, Mokotów , "
"Sejmik Województwa Mazowieckiego";"140000";"2";"6";"14";"114";"484028";"Dzielnice m. st. Warszawy:, Bemowo, Bielany, Ursus, Włochy, Ochota, Wola, Żoliborz"
"Sejmik Województwa Mazowieckiego";"140000";"3";"5";"13";"94";"451477";"Dzielnice m. st. Warszawy: , Białołęka, Rembertów, Targówek, Wawer, Wesoła, Praga Północ, Praga Południe, "
"Sejmik Województwa Mazowieckiego";"140000";"4";"9";"15";"161";"717462";"Powiaty: ciechanowski, gostyniński, mławski, płocki, płoński, przasnyski, pułtuski, sierpecki, sochaczewski, żuromiński, żyrardowski oraz miasto Płock"
"Sejmik Województwa Mazowieckiego";"140000";"5";"7";"18";"168";"582243";"Powiaty: białobrzeski, grójecki, kozienicki, lipski, przysuski, radomski, szydłowiecki, zwoleński oraz miasto Radom"
"Sejmik Województwa Mazowieckiego";"140000";"6";"9";"15";"157";"719665";"Powiaty: garwoliński, łosicki, makowski, miński, ostrołęcki, ostrowski, siedlecki, sokołowski, węgrowski, wyszkowski oraz miasta Ostrołęka i Siedlce"
"Sejmik Województwa Mazowieckiego";"140000";"7";"10";"17";"182";"790872";"Powiaty: grodziski, legionowski, nowodworski, otwocki, piaseczyński, pruszkowski, warszawski – zachodni, wołomiński"
"Rada Powiatu Białobrzeskiego  ";"140100";"1";"7";"6";"81";"12756";"Białobrzegi, Stromiec"
"Rada Powiatu Białobrzeskiego  ";"140100";"2";"4";"6";"47";"7057";"Wyśmierzyce, Promna"
"Rada Powiatu Białobrzeskiego  ";"140100";"3";"4";"6";"47";"7037";"Radzanów, Stara Błotnica"
"Rada Powiatu Ciechanowskiego";"140200";"1";"8";"8";"103";"26237";"Miasto Ciechanów:, Osiedle Nr 1 ""Powstańców Wielkopolskich"", Osiedle Nr 2 ""Aleksandrówka II"", Osiedle Nr 3 ""Aleksandrówka"", Osiedle Nr 4 ""Śródmieście"", Osiedle Nr 8 ""Kwiatowe"", Osiedle Nr 9 ""Bloki"", Osiedle Nr 10 ""Kargoszyn"", Osiedle Nr 11 ""Podzamcze"", , "
