"Electoral institution";"Teritorial code";"Constituency no";"Mandates quantity";"Committees quantity";"Candidates quantity";"Electorals quantity";"Constituency boundaries"
"Sejmik Województwa Warmińsko-Mazurskiego";"280000";"1";"6";"8";"73";"228612";"powiaty: Miasto Olsztyn, olsztyński"
"Sejmik Województwa Warmińsko-Mazurskiego";"280000";"2";"6";"8";"77";"244462";"powiaty: działdowski, iławski, nowomiejski, ostródzki"
"Sejmik Województwa Warmińsko-Mazurskiego";"280000";"3";"7";"7";"77";"265231";"powiaty: bartoszycki, braniewski, elbląski, Miasto Elbląg, lidzbarski"
"Sejmik Województwa Warmińsko-Mazurskiego";"280000";"4";"6";"7";"64";"239210";"powiaty: ełcki, giżycki, gołdapski, kętrzyński, olecki, węgorzewski"
"Sejmik Województwa Warmińsko-Mazurskiego";"280000";"5";"5";"9";"66";"170974";"powiaty: mrągowski, nidzicki, piski, szczycieński"
"Rada Powiatu Bartoszyckiego";"280100";"1";"8";"8";"111";"20712";"280101 m. Bartoszyce"
"Rada Powiatu Bartoszyckiego";"280100";"2";"3";"6";"29";"8729";"280103 gm. Bartoszyce"
"Rada Powiatu Bartoszyckiego";"280100";"3";"4";"7";"42";"9491";"280105 gm. Górowo Iławeckie, 280102 m. Górowo Iławeckie"
"Rada Powiatu Bartoszyckiego";"280100";"4";"4";"7";"54";"11163";"280106 gm. Sępopol, 280104 gm. Bisztynek"
"Rada Powiatu Braniewskiego";"280200";"1";"9";"7";"117";"19239";"Miasto Braniewo, Gmina Braniewo"
"Rada Powiatu Braniewskiego";"280200";"2";"4";"7";"49";"7712";"Gmina Frombork, Gmina Płoskinia, Gmina Wilczęta"
"Rada Powiatu Braniewskiego";"280200";"3";"4";"7";"48";"8282";"Gmina Lelkowo, Gmina Pieniężno"
"Rada Powiatu Działdowskiego";"280300";"1";"6";"8";"82";"17592";"m.Działdowo"
"Rada Powiatu Działdowskiego";"280300";"2";"4";"8";"56";"11761";"gm. Lidzbark"
"Rada Powiatu Działdowskiego";"280300";"3";"5";"8";"73";"13200";"gm. Iłowo-Osada, gm. Działdowo"
"Rada Powiatu Działdowskiego";"280300";"4";"4";"7";"49";"10357";"gm. Rybno, gm. Płośnica"
"Rada Powiatu w Elblągu";"280400";"1";"6";"5";"53";"15809";"Pasłęk"
"Rada Powiatu w Elblągu";"280400";"2";"4";"5";"33";"10692";"Elbląg, Tolkmicko"
"Rada Powiatu w Elblągu";"280400";"3";"4";"5";"32";"10349";"Gronowo Elbląskie, Markusy, Rychliki"
"Rada Powiatu w Elblągu";"280400";"4";"3";"5";"28";"8863";"Godkowo, Młynary, Milejewo"
