"Electoral institution";"Teritorial code";"Constituency no";"Mandates quantity";"Committees quantity";"Candidates quantity";"Electorals quantity";"Constituency boundaries"
"Sejmik Województwa Dolnośląskiego";"020000";"1";"8";"15";"144";"498656";"miasto: Wrocław"
"Sejmik Województwa Dolnośląskiego";"020000";"2";"7";"11";"104";"470505";"powiaty: górowski, milicki, oleśnicki, oławski, strzeliński, średzki, trzebnicki, wołowski, wrocławski"
"Sejmik Województwa Dolnośląskiego";"020000";"3";"9";"12";"126";"561366";"powiaty: dzierżoniowski, kłodzki, świdnicki, wałbrzyski, ząbkowicki"
"Sejmik Województwa Dolnośląskiego";"020000";"4";"6";"11";"86";"393431";"miasto: Jelenia Góra, powiaty: bolesławiecki, jeleniogórski, kamiennogórski, lubański, lwówecki, zgorzelecki"
"Sejmik Województwa Dolnośląskiego";"020000";"5";"6";"11";"89";"413617";"miasto: Legnica, powiaty: głogowski, jaworski, legnicki, lubiński, polkowicki, złotoryjski"
"Rada Powiatu Bolesławieckiego";"020100";"1";"10";"7";"112";"32914";"miasto Bolesławiec"
"Rada Powiatu Bolesławieckiego";"020100";"2";"5";"7";"58";"17156";"Gmina i Miasto Nowogrodziec; Gmina Osiecznica"
"Rada Powiatu Bolesławieckiego";"020100";"3";"6";"7";"77";"21534";"Gmina wiejska Bolesławiec; Gmina Gromadka; Gmina Wart Bolesławiecka"
"Rada Powiatu Dzierżoniowskiego";"020200";"1";"7";"6";"61";"26565";"miasto Bielawa"
"Rada Powiatu Dzierżoniowskiego";"020200";"2";"8";"6";"94";"29163";"miasto Dzierżoniów"
"Rada Powiatu Dzierżoniowskiego";"020200";"3";"4";"7";"44";"15421";"miasto Pieszyce, gmina Dzierżoniów"
"Rada Powiatu Dzierżoniowskiego";"020200";"4";"4";"5";"27";"16439";"miasto Piława Górna, gmina Łagiewniki, miasto i gmina Niemcza"
"Rada Powiatu Głogowskiego";"020300";"1";"3";"4";"23";"12044";"Armii Krajowej (cała), Asnyka, Boczna, Budowlanych Nr:5, 7, 9, 11, 13, 15, 17, 17A, 17B, 19, 21, 22, 23, 25, 27, 29, 31, 33, 35, Chopina, Cybisa, Długosza, Gomółki, Grunwaldzka, Kadłubka, Kochanowskiego, Konopnickiej, Kossaka, Kościuszki, Legnicka, Lompy, 10 Maja, Merkurego, Morcinka (cała), Nowa, Obrońców Pokoju Nr: 6, 6A, 6B, 8, 8A, 8B, 8C, 8D, 8E,  10, 10A, 10B, 10C, 10D, 12, 14, 15, 15A, 15B, 15C, 15D,  16, 16A, 16B, 16C, 16D, 16E, 16F, 17, 18, 18A, 18B, 18C, 18D, 18E, 18F, 18G, 19, 20, 20A, 20B, 20C, 20D, 20E, 20F, 20G, 20H, 22, 22A, 22B, 23, 24, 24A, 24B, 24C, 25, 26, 27, 28, 29, 30, 30A, 30B, 32, 34, 36, 38, 40, 42, 44, 46, 46A, 48, 50, 52, 54, 56, Orbitalna  (cała), Orzeszkowej, Plac Prymasa Wyszyńskiego, Polna, Połaniecka, Reja, Różana, Samotna, Saturna, Stawna, Szymanowskiego, Wąska, Wojska Polskiego, Wybickiego, Żeromskiego."
