TERYT;women candidates;candidates;candidate%;women elected;elected;elected%
1802;39;180;22%;2;19;11%
1803;70;229;31%;8;25;32%
1804;48;225;21%;4;25;16%
1805;35;173;20%;4;23;17%
1806;28;123;23%;1;19;5%
1807;57;227;25%;2;23;9%
1808;47;230;20%;2;19;11%
1809;35;184;19%;4;17;24%
1810;40;188;21%;4;19;21%
1811;66;235;28%;2;25;8%
1812;39;202;19%;2;19;11%
1813;61;254;24%;2;19;11%
1814;46;208;22%;4;21;19%
1815;45;196;23%;0;19;0%
1816;41;197;21%;3;29;10%
1817;109;363;30%;2;21;10%
1818;51;177;29%;2;23;9%
1819;49;180;27%;5;19;26%
1820;53;179;30%;2;17;12%
1821;27;105;26%;2;15;13%
1861;42;183;23%;4;21;19%
1862;67;299;22%;3;23;13%
1863;91;290;31%;5;25;20%
1864;49;209;23%;0;21;0%
2001;52;191;27%;3;19;16%
2002;49;168;29%;6;25;24%
2003;36;164;22%;3;19;16%
2004;32;111;29%;6;17;35%
2005;31;111;28%;2;17;12%
2006;52;221;24%;1;17;6%
2007;43;147;29%;5;17;29%
2008;36;136;26%;1;17;6%
2009;39;130;30%;2;15;13%
2010;32;142;23%;0;17;0%
2011;24;128;19%;2;19;11%
2012;32;117;27%;1;15;7%
2013;36;130;28%;2;19;11%
2014;42;141;30%;2;17;12%
2061;85;255;33%;6;28;21%
2062;65;254;26%;8;23;35%
2063;90;260;35%;5;23;22%
2201;44;189;23%;2;19;11%
2202;33;192;17%;4;21;19%
2203;25;98;26%;2;17;12%
2204;38;135;28%;6;21;29%
2205;49;196;25%;3;23;13%
2206;36;150;24%;1;19;5%
2207;29;140;21%;4;21;19%
2208;54;183;30%;4;19;21%
2209;50;154;32%;3;19;16%
2210;84;209;40%;3;15;20%
2211;35;140;25%;2;19;11%
2212;44;141;31%;7;21;33%
2213;59;222;27%;5;25;20%
2214;65;225;29%;3;23;13%
2215;82;224;37%;8;29;28%
2216;30;142;21%;4;17;24%
2261;133;382;35%;9;34;26%
2262;80;241;33%;9;28;32%
2263;136;353;39%;6;23;26%
2264;65;189;34%;4;21;19%
2401;88;231;38%;7;27;26%
2402;52;212;25%;4;27;15%
2403;86;276;31%;6;29;21%
2404;113;341;33%;7;25;28%
2405;49;183;27%;2;23;9%
2406;84;243;35%;3;21;14%
2407;42;165;25%;5;19;26%
2408;71;196;36%;4;21;19%
2409;92;236;39%;4;19;21%
2410;35;168;21%;5;23;22%
2411;46;169;27%;2;23;9%
2412;49;160;31%;2;19;11%
2413;63;251;25%;4;25;16%
2414;21;77;27%;4;17;24%
2415;113;323;35%;8;27;30%
2416;83;266;31%;3;25;12%
2417;88;333;26%;3;27;11%
2461;96;279;34%;4;25;16%
2462;80;310;26%;2;25;8%
2463;77;242;32%;4;25;16%
2464;99;335;30%;5;28;18%
2465;105;318;33%;6;25;24%
2466;94;284;33%;5;25;20%
2467;90;274;33%;6;23;26%
2468;55;182;30%;7;23;30%
2469;96;349;28%;11;28;39%
2470;97;302;32%;5;23;22%
2471;35;143;24%;5;23;22%
2472;83;297;28%;4;25;16%
2473;88;286;31%;4;25;16%
2474;95;280;34%;9;23;39%
2475;81;274;30%;2;28;7%
2476;88;242;36%;7;23;30%
2477;121;330;37%;6;25;24%
2478;70;217;32%;7;25;28%
2479;73;231;32%;6;23;26%
2601;40;148;27%;1;19;5%
2602;44;162;27%;2;21;10%
2603;38;167;23%;2;15;13%
2604;67;272;25%;4;29;14%
2605;83;247;34%;4;21;19%
2606;52;157;33%;4;17;24%
2607;96;293;33%;1;23;4%
2608;41;159;26%;1;17;6%
2609;59;216;27%;1;21;5%
2610;66;217;30%;7;21;33%
2611;68;232;29%;7;21;33%
2612;63;238;26%;4;19;21%
2613;43;219;20%;0;17;0%
2661;103;349;30%;7;25;28%
2801;96;236;41%;6;19;32%
2802;76;214;36%;2;17;12%
2803;67;260;26%;0;19;0%
2804;37;146;25%;2;17;12%
2805;65;203;32%;9;21;43%
2806;60;189;32%;5;17;29%
2807;40;207;19%;3;21;14%
2808;92;275;33%;3;19;16%
2809;60;185;32%;1;17;6%
2810;49;178;28%;4;17;24%
2811;39;151;26%;1;15;7%
2812;48;181;27%;4;17;24%
2813;42;161;26%;3;15;20%
2814;76;225;34%;7;23;30%
2815;64;221;29%;8;23;35%
2816;64;224;29%;2;17;12%
2817;80;253;32%;5;19;26%
2818;53;127;42%;9;15;60%
2819;37;112;33%;5;15;33%
2861;113;316;36%;5;25;20%
2862;98;319;31%;4;25;16%
3001;31;106;29%;3;17;18%
3002;53;218;24%;2;21;10%
3003;84;302;28%;4;27;15%
3004;28;128;22%;2;19;11%
3005;55;164;34%;3;17;18%
3006;55;221;25%;2;19;11%
3007;77;245;31%;3;21;14%
3008;64;212;30%;1;17;6%
3009;68;237;29%;2;21;10%
3010;73;281;26%;4;25;16%
3011;70;203;34%;4;19;21%
3012;41;173;24%;1;19;5%
3013;51;155;33%;5;17;29%
3014;27;88;31%;3;15;20%
3015;32;141;23%;3;19;16%
3016;67;227;30%;1;17;6%
3017;79;250;32%;5;27;19%
3018;40;125;32%;5;17;29%
3019;69;225;31%;5;25;20%
3020;69;215;32%;5;19;26%
3021;71;218;33%;8;29;28%
3022;41;168;24%;0;19;0%
3023;39;154;25%;1;17;6%
3024;51;220;23%;2;21;10%
3025;51;213;24%;5;17;29%
3026;49;162;30%;4;17;24%
3027;56;247;23%;3;21;14%
3028;32;155;21%;2;19;11%
3029;22;143;15%;2;17;12%
3030;66;214;31%;3;19;16%
3031;42;161;26%;2;19;11%
3061;89;304;29%;7;25;28%
3062;62;201;31%;6;23;26%
3063;63;227;28%;4;23;17%
3064;145;444;33%;8;37;22%
3201;53;185;29%;2;17;12%
3202;31;118;26%;3;17;18%
3203;45;168;27%;3;17;18%
3204;40;116;34%;6;19;32%
3205;52;265;20%;2;19;11%
3206;61;218;28%;3;21;14%
3207;93;288;32%;4;17;24%
3208;41;159;26%;2;19;11%
3209;47;165;28%;7;19;37%
3210;31;116;27%;4;19;21%
3211;53;174;30%;5;19;26%
3212;43;138;31%;3;17;18%
3213;50;181;28%;2;17;12%
3214;37;196;19%;4;23;17%
3215;52;180;29%;2;19;11%
3216;55;164;34%;4;17;24%
3217;57;183;31%;3;17;18%
3218;20;95;21%;2;15;13%
3261;115;298;39%;6;25;24%
3262;175;473;37%;8;31;26%
3263;106;266;40%;6;21;29%
